input,name,quantity,unit,preparation,comment
1 tablespoon finely minced garlic,garlic,1,tablespoon,finely minced,
2 tablespoons finely chopped Italian parsley,Italian parsley,2,tablespoon,finely chopped,
Freshly ground pepper to taste,Freshly ground pepper,,,,to taste
"1 1/2 pounds skinless, boneless monkfish fillets, or another firm-fleshed, nonoily white fish like black bass or cod","skinless, boneless monkfish fillets",1.5,pound,,"or another firm-fleshed, nonoily white fish like black bass or cod"
"Salt to taste, if desired",Salt,,,,"to taste, if desired"
1 tablespoon dried oregano,dried oregano,1,tablespoon,,
3/4 cup dry white wine,dry white wine,0.75,cup,,
1 teaspoon dried hot red pepper flakes,dried hot red pepper flakes,1,teaspoon,,
1 tablespoon finely minced garlic,garlic,1,tablespoon,finely minced,
3 tablespoons finely chopped fresh basil or half that amount dried,fresh basil,3,tablespoon,finely chopped,or half that amount dried
1/4 cup finely chopped Italian parsley,Italian parsley,0.25,cup,finely chopped,
1/4 cup olive oil,olive oil,0.25,cup,,
1/2 cup finely chopped scallions,scallions,0.5,cup,finely chopped,
"5 pounds mussels, well-scrubbed",mussels,5,pound,well-scrubbed,
1/4 cup freshly squeezed lemon juice,lemon juice,0.25,cup,freshly squeezed,
1 cup olive oil,olive oil,1,cup,,
1 teaspoon finely minced garlic,garlic,1,teaspoon,finely minced,
2 tablespoons finely chopped Italian parsley,Italian parsley,2,tablespoon,finely chopped,
"16 bottled artichoke bottoms, packed in oil",artichoke bottoms,16,,,"bottled, packed in oil"
"24 medium-size shrimp, about 1 pound",shrimp,24 1,medium-size pound,,about
Freshly ground pepper to taste,Freshly ground pepper,,,,to taste
Salt to taste,Salt,,,,to taste
1 cup flour,flour,1,cup,,
"6 cups corn, peanut or vegetable oil","corn, peanut or vegetable oil",6,cup,,
1 pound whiting,whiting,1,pound,,
Freshly ground pepper to taste,Freshly ground pepper,,,,to taste
"Salt to taste, if desired",Salt,,,,"to taste, if desired"
1 teaspoon dried oregano,dried oregano,1,teaspoon,,
1 tablespoon finely chopped Italian parsley,Italian parsley,1,tablespoon,finely chopped,
1 teaspoon finely minced garlic,garlic,1,teaspoon,finely minced,
1 cup fine fresh bread crumbs,fresh bread crumbs,1,cup,,fine 
24 littleneck clams,littleneck clams,24,,,
2/3 cup heavy cream,heavy cream,0.667,cup,,
2 tablespoons chopped toasted almonds or pecans,almonds,2,tablespoon,chopped toasted or pecans,
3 tablespoons unsalted butter,unsalted butter,3,tablespoon,,
3 tablespoons sugar,sugar,3,tablespoon,,
3 large ripe Comice pears,ripe Comice pears,3,large,,
1/2 cup heavy cream,heavy cream,0.5,cup,,
3 tablespoons hot espresso,espresso,3,tablespoon,hot,
4 tablespoons water,water,4,tablespoon,,
1/2 cup sugar,sugar,0.5,cup,,
5 large egg yolks,egg yolks,5,large,,
2 1/4 cups half-and-half,half-and-half,2.25,cup,,
1 cup sugar,sugar,1,cup,,
2 to 3 tablespoons clarified butter,clarified butter,2-3,tablespoon,,
3 large bay leaves (more if necessary),bay leaves,3,large,,(more if necessary)
2 tablespoons heavy cream,heavy cream,2,tablespoon,,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,to taste
1/4 cup medium-dry sherry,medium-dry sherry,0.25,cup,,
"2 tablespoons brandy, Cognac or Armagnac, approximately",brandy,2,tablespoon,,"Cognac or Armagnac, approximately"
1/4 teaspoon crumbled dried thyme,dried thyme,0.25,teaspoon,crumbled,
1 pound chicken livers,chicken livers,1,pound,,
"1/2 clove garlic, peeled and flattened with knife blade",garlic,0.5,clove,peeled and flattened with knife blade,
1 cup finely minced onion,onion,1,cup,finely minced,
1/2 pound unsalted butter,unsalted butter,0.5,pound,,
2 ounces (4 tablespoons) Armagnac,Armagnac,2 4,ounce tablespoon,,()
4 ounces clarified butter or rendered chicken fat,clarified butter,4,ounce,,or rendered chicken fat
1 teaspoon freshly ground white pepper,freshly ground white pepper,1,teaspoon,, 
1 tablespoon chopped parsley,parsley,1,tablespoon,chopped,
"1/4 teaspoon or more quatre epices, made from 10 ground cloves, 1 ground cinnamon stick, 2/3 teaspoon ground ginger and 3/4 teaspoon freshly grated nutmeg",quatre epices,0.25,teaspoon,,"or more, made from 10 ground clove, 1 ground cinnamon stick, 0.667 teaspoon ground ginger and 0.75 teaspoon freshly grated nutmeg"
"4 shallots, finely chopped",shallots,4,,finely chopped,
"2 cloves garlic, peeled and finely chopped",garlic,2,clove,peeled and finely chopped,
"4 eggs, lightly beaten",eggs,4,,lightly beaten,
2 tablespoons heavy cream,heavy cream,2,tablespoon,,
"10 or more dashes freshly ground black pepper, or to taste",black pepper,10,dash,freshly ground ," or more , or to taste"
"2 1/2 teaspoons salt, or to taste",salt,2.5,teaspoon,,or to taste
"Herb bouquet (13 sprigs parsley, 2 sprigs thyme, 1 bay leaf and 1 leaf of fresh celery tied in cheesecloth)",Herb bouquet,1,,,"(13 sprig parsley, 2 sprig thyme, 1 bay leaf and 1 leaf of fresh celery tied in cheesecloth)"
2 cups water,water,2,cup,,
"1 medium-size tomato, coarsely chopped",tomato,1,medium-size,coarsely chopped,
"1 medium-size onion, peeled and coarsely chopped",onion,1,medium-size,peeled and coarsely chopped,
"1 medium-size turnip, peeled and coarsely chopped",turnip,1,medium-size,peeled and coarsely chopped,
"1 medium-size carrot, scraped and coarsely chopped",carrot,1,medium-size,scraped and coarsely chopped,
8 ounces pork liver,pork liver,8,ounce,,
"1 duckling, 4 1/2 pounds",duckling,1 4.5,pound,,
"8 to 10 large red or green chard leaves, parboiled 2 minutes, until limp",red or green chard leaves,8-10,,"parboiled 2 minutes, until limp",large
1/4 teaspoon cayenne pepper,cayenne pepper,0.25,teaspoon,,
3 teaspoons salt,salt,3,teaspoon,,
1 1/2 teaspoons black pepper,black pepper,1.5,teaspoon,,
1/2 teaspoon finely ground dried thyme,dried thyme,0.5,teaspoon,finely ground ,
1/2 teaspoon finely ground dried oregano,dried oregano,0.5,teaspoon,finely ground ,
1/2 teaspoon finely ground bay leaf,bay leaf,0.5,teaspoon,finely ground ,
1/2 teaspoon finely ground allspice,allspice,0.5,teaspoon,finely ground ,
"1/3 cup shelled pistachio nuts, parboiled 1 minute, skins removed",pistachio nuts,0.333,cup,"shelled, parboiled 1 minute, skins removed",
2 tablespoons chopped fresh parsley,fresh parsley,2,tablespoon,chopped,
"4 cloves garlic (1 ounce), peeled and pounded in a mortar",garlic,4 1,clove ounce,peeled and pounded in a mortar,()
1/2 cup dry white wine,dry white wine,0.5,cup,,
1 cup white bread crumbs,white bread crumbs,1,cup,,
1 tablespoon olive oil,olive oil,1,tablespoon,,
"4 shallots (4 ounces), finely diced",shallots,4 4,ounce,finely diced,()
"7 ounces fresh pork liver, trimmed of all veins",fresh pork liver,7,ounce,trimmed of all veins,
2 1/2 pounds pork shoulder,pork shoulder,2.5,pound,,
8 ounces fresh pork fatback,fresh pork fatback,8,ounce,,
Freshly ground black pepper to taste,black pepper,,,freshly ground ,to taste
Kosher salt to taste,kosher salt,,,,to taste
2 cups strong veal stock,strong veal stock,2,cup,,
"2 tablespoons unsalted butter, cut into 1/4-inch cubes",unsalted butter,2,tablespoon,cut into 0.25-inch cubes,
2 whole Treviso or Chioggia radicchio,whole Treviso or Chioggia radicchio,2,,,
Grated Parmesan cheese,Parmesan cheese,,,Grated ,
2 teaspoons fruity olive oil,fruity olive oil,2,teaspoon,,
2 teaspoons shredded fresh basil leaves,fresh basil leaves,2,teaspoon,shredded ,
"1 medium-size potato, peeled and cut into 1/2-inch chunks, cooked in boiling salted water until almost done",potato,1,medium-size,"peeled and cut into 0.5-inch chunks, cooked in boiling salted water until almost done",
Freshly ground black pepper to taste,black pepper,,,freshly ground ,to taste
Kosher salt to taste,kosher salt,,,,to taste
"2 1/2 cups liquid (veal stock, chicken stock, cooking liquid from other radicchio recipes or a combination of these)",liquid,2.5,cup,,"(veal stock, chicken stock, cooking liquid from other radicchio recipes or a combination of these)"
2 1/2 cups water,water,2.5,cup,,
2 heads radicchio,radicchio,2,head,,
"1/4 pound pink beans, preferably Spanish habichuelas rosadas",pink beans,0.25,pound,,preferably Spanish habichuelas rosadas
8 very thin slices of prosciutto,prosciutto,8,very thin slice,,of
4 tablespoons freshly grated Parmesan cheese,Parmesan cheese,4,tablespoon,freshly grated,
Freshly ground black pepper to taste,black pepper,,,freshly ground ,to taste
"1 teaspoon kosher salt, or to taste",kosher salt,1,teaspoon,,or to taste
1 1/2 cups milk,milk,1.5,cup,,
2 tablespoons flour,flour,2,tablespoon,,
"2 tablespoons unsalted butter, plus butter to coat baking dish",unsalted butter,2,tablespoon,,plus butter to coat baking dish
"2 heads Chioggia or Treviso radicchio halved lengthwise, or Verona radicchio cut into 2-inch-wide wedges",Chioggia or Treviso radicchio ,2,head,halved lengthwise,or Verona radicchio cut into 2-inch-wide wedges
Kosher salt to taste,kosher salt,,,,to taste
Olive oil,Olive oil,,,,
"1 head Treviso, Chioggia or Verona radicchio","Treviso, Chioggia or Verona radicchio",1,head,,
4 to 6 tablespoons heavy cream,heavy cream,4-6,tablespoon,,
1/4 to 1/2 cup chicken broth,chicken broth,0.25-0.5,cup,,
16 roasted and peeled piquillo peppers,piquillo peppers,16,,roasted and peeled,
"2 plum tomatoes, cored, seeded and diced",plum tomatoes,2,,"cored, seeded and diced",
1/2 cup chopped onion,onion,0.5,cup,chopped,
2 tablespoons olive oil,olive oil,2,tablespoon,,
Salt,Salt,,,,
3/4 cup peanut oil,peanut oil,0.75,cup,,
1 teaspoon mustard,mustard,1,teaspoon,,
1 teaspoon lemon juice or to taste,lemon juice,1,teaspoon,,or to taste
"2 cloves garlic, minced",garlic,2,clove,minced,
1 egg yolk,egg yolk,1,,,
"3 white potatoes, peeled and sliced",white potatoes,3,,peeled and sliced,
"1 pound salt cod, soaked overnight, rinsed 2 or 3 times",salt cod,1,pound,"soaked overnight, rinsed 2-3 times",
1 ounce white chocolate shavings for garnish (optional),white chocolate,1,ounce,,shavings for garnish (optional)
Minced crystallized ginger for garnish (optional),crystallized ginger,,,Minced ,for garnish (optional)
"5 ounces finely chopped white chocolate, melted and tepid",white chocolate,5,ounce,"finely chopped, melted and tepid",
2 large egg yolks,egg yolks,2,large,,
"1/4 cup fresh peeled, grated ginger (about 2 ounces)",ginger,0.25 2,cup ounce,"fresh peeled, grated ",(about)
1/4 cup sugar,sugar,0.25,cup,,
1 cup milk,milk,1,cup,,
1 cup heavy (whipping) cream,heavy cream,1,cup,,(whipping)
"Mint leaves, for garnish",Mint leaves,,,,for garnish
1 pint fresh raspberries,fresh raspberries,1,pint,,
"1/4 cup red-currant jelly, warm",red-currant jelly,0.25,cup,warm,
"8 ounces white chocolate, finely chopped",white chocolate,8,ounce,finely chopped,
1 tablespoon vegetable shortening,vegetable shortening,1,tablespoon,,
"4 ounces unsalted butter, diced",unsalted butter,4,ounce,diced,
"1/2 cup raspberry jam, warm (optional)",raspberry jam,0.5,cup,warm ,(optional)
"1 8-inch layer of plain white cake, pound or sponge",plain white cake,1 8,layer inch,,"of, pound or sponge"
"Cocoa powder, for dusting",Cocoa powder,,,,for dusting
2 tablespoons raspberry eau de vie (or use kirsch or Grand Marnier),raspberry eau de vie,2,tablespoon,,(or use kirsch or Grand Marnier)
6 tablespoons cold heavy cream,heavy cream,6,tablespoon,cold,
"4 tablespoons unsalted butter, diced",unsalted butter,4,tablespoon,diced,
"12 ounces white chocolate, finely chopped",white chocolate,12,ounce,finely chopped,
1 tablespoon cilantro leaves,cilantro leaves,1,tablespoon,,
"1 teaspoon Sichuan peppercorns (sold in Chinese groceries), ground in a mortar",Sichuan peppercorns,1,teaspoon,ground in a mortar,(sold in Chinese groceries)
2 teaspoons sugar,sugar,2,teaspoon,,
1 tablespoon soy sauce (preferably thin),soy sauce,1,tablespoon,,(preferably thin)
1 tablespoon rice wine or dry sherry,rice wine or dry sherry,1,tablespoon,,
1 1/2 tablespoons chili paste with soybeans (sold in Chinese groceries),chili paste with soybeans ,1.5,tablespoon,,(sold in Chinese groceries)
1 tablespoon finely chopped fresh ginger,fresh ginger,1,tablespoon,finely chopped ,
2 tablespoons finely chopped garlic,garlic,2,tablespoon,finely chopped,
3 tablespoons peanut oil,peanut oil,3,tablespoon,,
1 tablespoon salt,salt,1,tablespoon,,
6 slices fresh ginger 1/4 inch thick,fresh ginger,6,slice,,0.25 inch thick
"12 scallions, trimmed",scallions,12,,trimmed,
"2 pounds pork belly (fresh unsmoked bacon), in one piece",pork belly,2,pound,in one piece,(fresh unsmoked bacon)
"1 scallion, white part only, trimmed and cut in thin slivers",scallion,1,,trimmed and cut in thin slivers,white part only
1/2 teaspoon red pepper flakes,red pepper flakes,0.5,teaspoon,,
"2 teaspoons chili paste with soybeans (sold in Chinese groceries), or to taste",chili paste with soybeans ,2,teaspoon,,"(sold in Chinese groceries), or to taste"
2 tablespoons soy sauce,soy sauce,2,tablespoon,,
1/2 cup chicken stock,chicken stock,0.5,cup,,
"1 leek, white part only, coarsely chopped",leek,1,,coarsely chopped,white part only
6 cups Napa cabbage in 2-inch pieces,Napa cabbage,6,cup,,in 2-inch piece
"2 cloves garlic, minced",garlic,2,clove,minced,
2 tablespoons minced fresh ginger,fresh ginger,2,tablespoon,minced ,
2 cups peanut oil,peanut oil,2,cup,,
1 tablespoon Sichuan peppercorns (sold in Chinese groceries),Sichuan peppercorns,1,tablespoon,,(sold in Chinese groceries)
"1 pound skinless tilapia or gray sole fillets, cut in 2-inch squares",skinless tilapia fillets,1,pound,cut in 2-inch squares,or gray sole fillet
Salt,Salt,,,,
1 teaspoon sugar,sugar,1,teaspoon,,
2 tablespoons cornstarch,cornstarch,2,tablespoon,,
"1 egg white, beaten",egg white,1,,beaten,
Confectioners' sugar,Confectioners' sugar,,,,
10 ounces marrons glaces or chestnuts in syrup,marrons glaces,10,ounce,,or chestnuts in syrup
"1 tablespoon instant espresso or instant coffee, dissolved in 1 tablespoon lukewarm water",instant espresso or instant coffee,1,tablespoon,dissolved in 1 tablespoon lukewarm water,
"8 ounces (2 sticks) unsalted butter, at room temperature and cut into roughly half-inch cubes",unsalted butter,8 2,ounce stick,at room temperature and cut into roughly half-inch cubes,()
1/4 cup water,water,0.25,cup,,
1/3 cup sugar,sugar,0.333,cup,,
5 yolks from extra-large eggs,eggs,5,,,yolks from extra-large
2 tablespoons melted unsalted butter,unsalted butter,2,tablespoon,melted,
Pinch of salt,salt,,pinch,,of
"1/4 cup sugar, plus 1/3 cup",sugar,0.25,cup,,plus 0.333 cup
"6 extra-large eggs, separated, plus one egg white (total of 7 whites)",eggs,6,extra-large,separated,plus one egg white (total of 7 whites)
1 cup (nearly 3 ounces) hazelnuts,hazelnuts,1 3,cup ounce,,(nearly)
"3/4 cup flour, sifted, plus enough for flouring pan",flour,0.75,cup,sifted ,plus enough for flouring pan
Butter for greasing pan,Butter,,,,for greasing pan
Pinch of salt,salt,,pinch,,of
1 to 2 tablespoons Cognac (optional),Cognac,1-2,tablespoon,,(optional)
1 teaspoon vanilla,vanilla,1,teaspoon,,
3/4 cup sugar,sugar,0.75,cup,,
"10 eggs, separated",eggs,10,,separated,
1 cup heavy cream,heavy cream,1,cup,,
1/2 cup espresso or strong brewed coffee,strong brewed espresso or coffee,0.5,cup,,
14 ounces bittersweet chocolate,bittersweet chocolate,14,ounce,,
1/2 teaspoon ground cinnamon,ground cinnamon,0.5,teaspoon,,
2 cups heavy cream,heavy cream,2,cup,,
3/4 cup sugar,sugar,0.75,cup,,
5 egg yolks,egg yolks,5,,,
3 eggs,eggs,3,,,
Grated zest of two oranges (do not cut into bitter white rind),oranges,2,,Grated zest,of (do not cut into bitter white rind)
1/2 cup milk,milk,0.5,cup,,
5 cinnamon sticks,cinnamon,5,stick,,
"8 large dates, approximately 1/2 pound",dates,8 0.5,large pound,,approximately
1 cup sugar,sugar,1,cup,,
1 cup water,water,1,cup,,
1/4 cup Cognac,Cognac,0.25,cup,,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,to taste
"2 racks of lamb, each about 1 1/4 to 1 1/2 pounds",lamb,2 1.25-1.5,rack pound,,of each about 
1 scant tablespoon chopped parsley,parsley,1,scant tablespoon,chopped,
3/4 cup heavy cream,heavy cream,0.75,cup,,
1 ounce Madeira,Madeira,1,ounce,,
2 tablespoons butter,butter,2,tablespoon,,
"1/2 pound fresh chanterelles, wiped clean, trimmed and sliced",fresh chanterelles,0.5,pound,"wiped clean, trimmed and sliced",
All-purpose flour,all-purpose flour,,,,
Salt and freshly ground black pepper,Salt and freshly ground black pepper,,,,
"8 1/2-inch-thick slices boned veal loin, carefully trimmed",boned veal loin,8,slice,carefully trimmed,0.5-inch-thick
4 1/2 cups white rice cooked in salted water,white rice,4.5,cup,cooked in salted water,
2 tablespoons plus 1/2 teaspoon lime juice or to taste,lime juice,2,tablespoon,,plus 0.5 teaspoon or to taste
"1 tablespoon kosher salt, or to taste",kosher salt,1,tablespoon,,or to taste
"1 pound okra, trimmed and cut across into 1/4-inch rounds",okra,1,pound,trimmed and cut across into 0.25-inch rounds,
"2 medium sweet potatoes, peeled and cut into 1-inch cubes (about 3 cups)",sweet potatoes,2 3,medium cup,peeled and cut into 1-inch cubes ,(about)
"1 medium butternut squash, peeled, seeded and cut into 1-inch cubes (about 4 cups)",butternut squash,1 4,medium cup,"peeled, seeded and cut into 1-inch cubes ",(about)
"2 medium dried hot red peppers, crumbled",dried hot red peppers,2,medium,crumbled,
1 large pinch ground allspice,ground allspice,1,large pinch,,
1 bay leaf,bay leaf,1,,,
"2 medium bunches Swiss chard (about 1 3/4 pounds), washed well, the leaves separated from the stems, the stems cut across in 1/4-inch slices and the leaves cut across in 1/4-inch-wide strips",Swiss chard,2 1.75,medium bunch pound,"washed well, the leaves separated from the stems, the stems cut across in 0.25-inch slice and the leaves cut across in 0.25-inch-wide strip",(about )
"3 medium cloves garlic, smashed, peeled and coarsely chopped",garlic,3,medium clove,"smashed, peeled and coarsely chopped",
"1 large yellow onion, diced into 1/4-inch cubes",yellow onion,1,large,diced into 0.25-inch cubes,
2 tablespoons unsalted butter,unsalted butter,2,tablespoon,,
"Freshly ground black pepper, to taste",black pepper,,,freshly ground ,to taste
"1 10-ounce package frozen baby lima beans, defrosted in a sieve under warm running water",frozen baby lima beans,1 10,package ounce,defrosted in a sieve under warm running water,
1 tablespoon coarsely chopped fresh thyme,fresh thyme,1,tablespoon,coarsely chopped ,
1 tablespoon coarsely chopped fresh oregano,fresh oregano,1,tablespoon,coarsely chopped ,
"1 large bulb fennel, stalks removed, cut in half, cored and cut into thin strips",fennel,1,large bulb,"stalk removed, cut in half, cored and cut into thin strip",
"2 tablespoons kosher salt, or to taste",kosher salt,2,tablespoon,,or to taste
3/4 cup pearl barley,pearl barley,0.75,cup,,
"1 pound green string beans, tips and tails removed",green string beans,1,pound,tips and tails removed,
1 1-by-3-inch strip lemon zest,lemon zest,1,strip,,1-by-3-inch
1 bay leaf,bay leaf,1,,,
4 1-by-4-inch strips orange zest,orange zest,4,strip,,1-by-4-inch
3 cups diced canned or sterile-pack tomatoes,tomatoes,3,cup,diced,canned or sterile-pack
"6 cloves garlic, smashed and peeled",garlic,6,clove,smashed and peeled,
"3 pounds short ribs, cut across and between the bones to form 12 pieces about 2 inches square (The butcher will do the cross-cutting.)",short ribs,3,pound,,cut across and between the bones to form 12 piece about 2 inches square (The butcher will do the cross-cutting.)
Juice of 1 lemon,lemon,1,,,Juice of
1/2 teaspoon or more fresh black pepper,fresh black pepper,0.5,teaspoon,,or more 
Salt to taste,Salt,,,,to taste
2 tablespoons Worcestershire or soy sauce,Worcestershire or soy sauce,2,tablespoon,,
1 1/2 to 2 pounds peeled shrimp,shrimp,1.5-2,pound,peeled,
1 teaspoon minced garlic,garlic,1,teaspoon,minced,
4 tablespoons unsalted butter,unsalted butter,4,tablespoon,,
1/2 teaspoon freshly ground black pepper,black pepper,0.5,teaspoon,freshly ground , 
1 teaspoon salt,salt,1,teaspoon,,
"12 medium-size carrots, peeled",carrots,12,medium-size,peeled,
"12 pearl onions, outer skin removed",pearl onions,12,,outer skin removed,
1/2 cup olive oil,olive oil,0.5,cup,,
12 large cloves garlic,garlic,12,large clove,,
"2 thin parsnips, peeled",parsnips,2,thin,peeled,
"2 medium-size turnips, peeled",turnips,2,medium-size,peeled,
"3 medium-size sweet potatoes, peeled",sweet potatoes,3,medium-size,peeled,
"6 medium-size beets, trimmed",beets,6,medium-size,trimmed,
2 tablespoons brown sugar,brown sugar,2,tablespoon,,
"3 apples, peeled, cored and quartered",apples,3,,"peeled, cored and quartered",
1/2 teaspoon ground ginger,ground ginger,0.5,teaspoon,,
"1 cup cooked chestnuts, chopped",chestnuts,1,cup,"cooked, chopped",
1 teaspoon grated lemon rind,lemon rind,1,teaspoon,grated,
1 teaspoon grated orange rind,orange rind,1,teaspoon,grated,
"12 prunes, chopped",prunes,12,,chopped,
6 tablespoons butter,butter,6,tablespoon,,
1/2 cup port,port,0.5,cup,,
3 acorn squash,acorn squash,3,,,
3 teaspoons melted butter,butter,3,teaspoon,melted,
"1 egg, beaten lightly",egg,1,,beaten lightly,
1 cup milk,milk,1,cup,,
1 tablespoon minced parsley,parsley,1,tablespoon,minced,
1/8 teaspoon freshly ground black pepper,black pepper,0.125,teaspoon,freshly ground , 
1/4 teaspoon salt,salt,0.25,teaspoon,,
"4 eggs, separated",eggs,4,,separated,
1 cup flour,flour,1,cup,,
1 teaspoon dried sage,dried sage,1,teaspoon,,
2 teaspoons dried thyme,dried thyme,2,teaspoon,,
1/2 teaspoon freshly ground black pepper,black pepper,0.5,teaspoon,freshly ground , 
6 tablespoons butter,butter,6,tablespoon,,
1 teaspoon salt,salt,1,teaspoon,,
"2 leeks, rinsed well and minced",leeks,2,,rinsed well and minced,
4 cups milk,milk,4,cup,,
4 cups stale bread crumbs,stale bread crumbs,4,cup,,
1/2 teaspoon freshly ground black pepper,black pepper,0.5,teaspoon,freshly ground , 
1 teaspoon salt,salt,1,teaspoon,,
2 tablespoons fresh lemon juice,fresh lemon juice,2,tablespoon,,
3 tablespoons olive oil,olive oil,3,tablespoon,,
2 pounds brussels sprouts,brussels sprouts,2,pound,,
1 tablespoon canola or corn oil,canola or corn oil,1,tablespoon,,
3 tablespoons unsalted butter,unsalted butter,3,tablespoon,,
16 sheets phyllo,phyllo,16,sheet,,
2 tablespoons flour,flour,2,tablespoon,,
"1 whole (double) turkey breast (see note), including the wings, about 5 pounds; or 6 boneless turkey steaks; or 2 to 2 1/4 pounds of other turkey meat",whole turkey breast,1,,,"(double) (see note), including the wings, about 5 pounds; or 6 boneless turkey steaks; or 2-2.25 pound of other turkey meat"
2 ounces (1 can) flat anchovy fillets,flat anchovy fillets,2 1,ounce can,,()
2 tablespoons lemon juice,lemon juice,2,tablespoon,,
1 1/2 tablespoons unsalted butter,unsalted butter,1.5,tablespoon,,
1 teaspoon salt,salt,1,teaspoon,,
1/4 teaspoon freshly ground black pepper,black pepper,0.25,teaspoon,freshly ground ,
2 tablespoons chopped parsley,parsley,2,tablespoon,chopped,
1/2 cup finely cut candied ginger,candied ginger,0.5,cup,finely cut ,
4 teaspoons grated lemon rind,lemon rind,4,teaspoon,grated,
6 tablespoons sugar,sugar,6,tablespoon,,
2 tablespoons lemon juice,lemon juice,2,tablespoon,,
1 cup coarsely chopped pecans,pecans,1,cup,coarsely chopped,
1/2 pound dried cranberries and/or dried cherries,dried cranberries and/or dried cherries,0.5,pound,,
"5 apples, 3 1/2 to 4 pounds, peeled, cored, quartered and thinly sliced",apples,5 3.5-4,pound,"peeled, cored, quartered and thinly sliced",
4 cups frozen corn niblets,frozen corn niblets,4,cup,,
2 boxes of instant polenta,instant polenta,2,box,,of
1 1/2 cups Polenta,Polenta,1.5,cup,,
1 1/2 cups dry red wine,dry red wine,1.5,cup,,
1 28-ounce can plum tomatoes,plum tomatoes,1 28,can ounce,,
"4 bell peppers, 2 green and 2 red, yellow or orange, cored, quartered and cut in thin strips",bell peppers,4,,"cored, quartered and cut in thin strip","2 green and 2 red, yellow or orange"
4 teaspoons fresh thyme leaves,fresh thyme leaves,4,teaspoon,,
4 teaspoons fresh marjoram leaves,fresh marjoram leaves,4,teaspoon,,
"4 large cloves garlic, minced",garlic,4,large clove,minced,
"1/2 pound domestic or white mushrooms, cleaned, trimmed and coarsely sliced",domestic or white mushrooms,0.5,pound,"cleaned, trimmed and coarsely sliced",
"1 pound assorted wild mushrooms, like chanterelle, cremini, shiitake, cleaned, trimmed and coarsely sliced",assorted wild mushrooms,1,pound,"cleaned, trimmed and coarsely sliced","like chanterelle, cremini,shiitake"
"2 large onions, about 2 pounds, coarsely chopped",onions,2 2,large pound,coarsely chopped,about
4 tablespoons olive oil,olive oil,4,tablespoon,,
"Freshly ground black pepper, to taste",black pepper,,,freshly ground ,to taste
"4 cloves garlic, peeled and quartered",garlic,4,clove,peeled and quartered,
1/2 cup sweet and hot mustard,sweet and hot mustard,0.5,cup,,
1/4 tablespoon sherry vinegar,sherry vinegar,0.25,tablespoon,,
4 tablespoons olive oil,olive oil,4,tablespoon,,
"4 pork tenderloins, about 8 ounces each",pork tenderloins,4 8,ounce,,about each
1 1/2 cups dry red wine,dry red wine,1.5,cup,,
"Freshly ground black pepper, to taste",black pepper,,,freshly ground ,to taste
"6 garlic cloves, peeled and quartered",garlic,6,clove,peeled and quartered,
6 tablespoons olive oil,olive oil,6,tablespoon,,
12 tablespoons fresh thyme leaves,fresh thyme leaves,12,tablespoon,,
24 semiboneless quail,semiboneless quail,24,,,
Juice of 1/2 lemon,lemon,0.5,,,Juice of
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,to taste
2 tablespoons finely chopped Italian or flat parsley,Italian or flat parsley,2,tablespoon,finely chopped,
1 tablespoon butter,butter,1,tablespoon,,
"2 large firm cucumbers, washed",cucumbers,2,large,"firm, washed",
"8 small red-skinned potatoes, about 3/4 pound",red-skinned potatoes,8 0.75,small pound,,about
2 tablespoons chopped parsley,parsley,2,tablespoon,chopped,
3/4 pound sea or bay scallops,scallops,0.75,pound,,sea or bay
"4 small boneless fillets of black sea bass, about 1 1/4 pounds",boneless fillets of black sea bass,4 1.25,pound,,small about
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,to taste
1/8 teaspoon Tabasco sauce,Tabasco sauce,0.125,teaspoon,,
2 sprigs fresh thyme or 1/2 teaspoon dried,fresh thyme,2,sprig,, or 0.5 teaspoon dried
1/2 teaspoon fennel or anise seed,fennel or anise seed,0.5,teaspoon,,
1 bay leaf,bay leaf,1,,,
1/4 cup dry white wine,dry white wine,0.25,cup,,
1/2 teaspoon saffron stems,saffron stems,0.5,teaspoon,,
1 cup fresh fish broth or clam juice,fresh fish broth,1,cup,, or clam juice
"1 cup chopped, peeled tomatoes",peeled tomatoes,1,cup,chopped,
1 tablespoon finely chopped garlic,garlic,1,tablespoon,finely chopped,
1/4 cup chopped leeks,leeks,0.25,cup,chopped,
1/2 cup finely chopped onion,onion,0.5,cup,finely chopped,
1 tablespoon olive oil,olive oil,1,tablespoon,,
Freshly ground black pepper to taste,black pepper,,,freshly ground ,to taste
1/4 cup crumbled blue cheese,blue cheese,0.25,cup,crumbled,
1/2 cup coarse bread crumbs,bread crumbs,0.5,cup,,coarse
"1 fennel bulb, about 1 pound",fennel,1 1,bulb pound,,about
1/2 teaspoon ground cloves,ground cloves,0.5,teaspoon,,
1/2 teaspoon ground cardamom,ground cardamom,0.5,teaspoon,,
2 teaspoons cinnamon,cinnamon,2,teaspoon,,
1 1/2 teaspoons ginger,ginger,1.5,teaspoon,,
1/2 teaspoon salt,salt,0.5,teaspoon,,
2 teaspoons baking soda,baking soda,2,teaspoon,,
3 1/4 cups all-purpose flour,all-purpose flour,3.25,cup,,
