input,name,quantity,unit,size,preparation,comment,purpose
1 tablespoon grated orange peel,orange peel,1,tablespoon,,,grated,
Coarse salt and freshly ground pepper to taste,Coarse salt and freshly ground pepper,,,,,to taste,
"1 large onion, halved horizontally but not peeled",onion,1,large,,,halved horizontally but not peeled,
2 tablespoons butter,butter,2,tablespoon,,,,
1 teaspoon sugar,sugar,1,teaspoon,,,,
1 1/2 pounds baby turnips (with their leaves on if possible),baby turnips,1.5,pound,,,with their leaves on if possible,
2 tablespoons unsalted butter,unsalted butter,2,tablespoon,,,,
"2 shallots or scallions, minced",shallots or scallions,2,,,,minced,
Salt and pepper to taste,Salt and pepper,,,,,to taste,
"1 tablespoon parsley, chopped",parsley,1,tablespoon,,,chopped,
1 1/2 pounds young white turnips,white turnips,1.5,pound,,,young,
9 tablespoons butter,butter,9,tablespoon,,,,
5 to 6 shallots peeled and sliced into thin rings,shallots,5-6,,,,peeled and sliced into thin rings,
"2 large yellow turnips (rutabagas), about four pounds",turnips,2,large,,,"yellow (rutabagas), about four pound",
2 teaspoons kosher salt,kosher salt,2,teaspoon,,,,
1 cup milk,milk,1,cup,,,,
1/2 teaspoon freshly ground black pepper, ground black pepper,0.5,teaspoon,,,freshly ,
2 tablespoons finely chopped parsley,parsley,2,tablespoon,,,finely chopped,
1 1/2 cups light vegetable or olive oil,light vegetable or olive oil,1#1$2,cup,,,,
4 tablespoons capers drained,capers,4,tablespoon,,,drained,
2 tablespoons red wine vinegar,red wine vinegar,2,tablespoon,,,,
1 teaspoon balsamic vinegar,balsamic vinegar,1,teaspoon,,,,
4 tablespoons chopped parsley,parsley,4,tablespoon,,,chopped,
1 tablespoon butter,butter,1,tablespoon,,,,
1/2 cup white onions thinly sliced,white onions,0.5,cup,,,thinly sliced,
3 tablespoons vegetable or canola oil,vegetable or canola oil,3,tablespoon,,,,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
"1 1/4 pounds russet, Idaho or Washington potatoes",potatoes,1.25,pound,,,"russet, Idaho or Washington",
1 large sweet red pepper,sweet red pepper,1,large,,,,
2 tablespoons vegetable oil,vegetable oil,2,tablespoon,,,,
4 tablespoons butter,butter,4,tablespoon,,,,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1/3 cup flour for dredging,flour,0.333,cup,,,for dredging,
"1 1/4 pounds calf's liver, cut into 4 slices",calf's liver,1.25,pound,,,cut into 4 slice,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
"Salt to taste, if desired",Salt,,,,,"to taste, if desired",
2 tablespoons finely chopped shallots,shallots,2,tablespoon,,,finely chopped,
"3 tablespoons corn, peanut or vegetable oil",oil,3,tablespoon,,,"corn, peanut or vegetable",
"1 tablespoon oil, preferably walnut oil, although corn oil may be used",oil,1,tablespoon,,,"preferably walnut, although corn may be used",
2 tablespoons red-wine vinegar,red-wine vinegar,2,tablespoon,,,,
"1/2 small red cabbage, about 3/4 pound",red cabbage,0.5,small,,,about 0.75 pound,
1 tablespoon Dijon-style mustard,Dijon-style mustard,1,tablespoon,,,,
"1/2 small green cabbage, about 3/4 pound",green cabbage,0.5,small,,,about 0.75 pound,
3/4 pound linguine,linguine,0.75,pound,,,,
1/4 cup finely chopped fresh basil,fresh basil,0.25,cup,,,finely chopped,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
1/2 cup heavy cream,heavy cream,0.5,cup,,,,
1/4 teaspoon dried hot red pepper flakes,dried hot red pepper flakes,0.25,teaspoon,,,,
1 tablespoon finely minced garlic,garlic,1,tablespoon,,,finely minced,
"Salt to taste, if desired",Salt,,,,,"to taste, if desired",
3 tablespoons olive oil,olive oil,3,tablespoon,,,,
"7 plum tomatoes, about 1 pound",plum tomatoes,7,,,,about 1 pound,
2 tablespoons minced shallots or scallions,shallots or scallions,2,tablespoon,,,minced or scallions,
1/4 cup minced fresh parsley leaves,parsley leaves,0.25,cup,,,minced fresh,
"2 pounds well-scrubbed mussels, the smaller the better",well-scrubbed mussels,2,pound,,,the smaller the better,
Juice of 3 lemons,lemons,3,,,,Juice of,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,,to taste,
"Olive oil as needed, about 2 tablespoons",Olive oil,,,,,"as needed, about 2 tablespoon",
2 tablespoons finely chopped parsley,parsley,2,tablespoon,,,finely chopped ,
"1/3 pound mushrooms, thinly sliced",mushrooms,0.333,pound,,,thinly sliced,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1 1/2 to 2 pounds large asparagus,asparagus,1.5-2,pound,,, 1.5-2 pound large,
1 tablespoon red-wine vinegar,red-wine vinegar,1,tablespoon,,,,
2 tablespoons Dijon mustard,Dijon mustard,2,tablespoon,,,,
1 tablespoon finely chopped garlic,garlic,1,tablespoon,,,finely chopped ,
4 tablespoons corn or vegetable oil,corn oil,4,tablespoon,,,or vegetable oil,
1/2 pound green spinach noodles,green spinach noodles,0.5,pound,,,,
1/3 cup heavy cream,heavy cream,0.333,cup,,,,
1/2 teaspoon freshly grated nutmeg,freshly grated nutmeg,0.5,teaspoon,,,,
4 tablespoons grated Parmesan cheese,grated Parmesan cheese,4,tablespoon,,,,
"2 small firm, ripe avocados",firm,2,small,,,ripe avocados,
1 tablespoon fresh lemon juice,fresh lemon juice,1,tablespoon,,,,
3 tablespoons olive oil,olive oil,3,tablespoon,,,,
1/4 cup flour,flour,0.25,cup,,,,
1 teaspoon finely chopped garlic,garlic,1,teaspoon,,,finely chopped ,
2 teaspoons chopped fresh sage or 1 teaspoon dried,fresh sage,2,teaspoon,,,chopped or 1 teaspoon dried,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,,to taste,
1 teaspoon ground ginger,ground ginger,1,teaspoon,,,,
1 tablespoon finely chopped tarragon leaves,tarragon leaves,1,tablespoon,,,finely chopped,
1 tablespoon chopped mint leaves,mint leaves,1,tablespoon,,,chopped,
6-8 outer leaves from a head of green lettuce,green lettuce,1,head,,,6-8 outer leaves from,
"3 tablespoons unsalted butter, softened",unsalted butter,3,tablespoon,,,softened,
1 1/2 tablespoons finely chopped tarragon leaves (reserve the stems),tarragon leaves,1.5,tablespoon,,,finely chopped (reserve the stems),
"1 shallot, minced",shallot,1,,,,minced,
1 teaspoon lemon zest,lemon,1,teaspoon,,,zested,
1 teaspoon lemon juice,lemon juice,1,teaspoon,,,,
Salt and freshly ground black pepper,Salt and freshly ground black pepper,,,,,,
1 free-range chicken (about 3 1/2 pounds),chicken,1,,,,free-range (about  3.5 pound),
3/4 cup thinly sliced onions,thinly sliced onions,0.75,cup,,,,
1 tablespoon olive oil,olive oil,1,tablespoon,,,,
1 tablespoon butter,butter,1,tablespoon,,,,
1 pound chicken livers,chicken livers,1,pound,,,,
2 tablespoons lemon juice,lemon juice,2,tablespoon,,,,
1/2 cup sugar,sugar,0.5,cup,,,,
4 cups pitted fresh or frozen cherries,cherries,4,cup,,,pitted fresh or frozen,
2 tablespoons minced tarragon leaves,tarragon leaves,2,tablespoon,,,minced,
"1/2 cup chives, cut into 1-inch lengths",chives,0.5,cup,,,cut into 1-inch lengths,
"1/2 small red onion, very thinly sliced",red onion,0.5,small,,,very thinly sliced,
"6 small kirby cucumbers, peeled, halved and thinly sliced",cucumbers,6,small,,,"kirby, peeled, halved and thinly sliced",
"2 pints (about 1 1/2 pounds) red or yellow cherry tomatoes, halved",red or yellow cherry tomatoes,2 1#1$2,pint pound,,halved,about,
1 teaspoon salt,salt,1,teaspoon,,,,
1/4 teaspoon freshly ground black pepper,freshly ground black pepper,0.25,teaspoon,,,,
2 tablespoons Champagne vinegar,Champagne vinegar,2,tablespoon,,,,
1 tablespoon minced shallot,shallot,1,tablespoon,,,minced,
6 tablespoons extra-virgin olive oil,extra-virgin olive oil,6,tablespoon,,,,
2 tablespoons minced tarragon leaves,tarragon leaves,2,tablespoon,,,minced,
Freshly ground black pepper to taste,Freshly ground black pepper,,,,,to taste,
2 tablespoons minced flat-leaf parsley,parsley,2,tablespoon,,,minced flat-leaf,
"4 shallots, finely chopped",shallots,4,,,,finely chopped,
2 tablespoons butter,butter,2,tablespoon,,,,
3/4 cup orzo,orzo,0.75,cup,,,,
"1/2 teaspoon salt, plus more to taste",salt,0.5,teaspoon,,,plus more to taste,
Tarragon leaves for garnish,Tarragon leaves,,,,,for garnish,
3/4 cup wild rice,wild rice,0.75,cup,,,,
2 tablespoons unsalted butter,unsalted butter,2,tablespoon,,,,
1/4 pound haricots verts,haricots verts,0.25,pound,,,,
"2 lobsters, 3 pounds each",lobsters,2,,,,3 pound each,
8 stalks asparagus,asparagus,8,stalk,,,,
Salt,Salt,,,,,,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,,to taste,
1/2 cup olive oil,olive oil,0.5,cup,,,,
3 sprigs fresh lemon thyme,lemon thyme,3,sprig,,,fresh,
1 cup white wine,white wine,1,cup,,,,
"4 cloves garlic, peeled",garlic,4,clove,,,peeled,
5 sprigs fresh tarragon,tarragon,5,sprig,,,fresh,
2/3 cup sugar,sugar,0.667,cup,,,,
"2 tablespoons berry-flavored liqueur (raspberry, strawberry, blackberry or cassis)",berry-flavored liqueur,2,tablespoon,,,"raspberry, strawberry, blackberry or cassis",
1 baked brioche loaf,brioche loaf,1,,,,baked,
"4 pints fresh berries, preferably a mixture of berries",berries,4,pint,,,"fresh, preferably a mixture of berries",
"1 lemon, halved",lemon,1,,,,halved,
8 fresh halved artichoke bottoms,artichoke bottoms,8,,,,fresh halved,
1 pint heavy cream,heavy cream,1,pint,,,,
Pinch of nutmeg,nutmeg,,pinch,,,,
Vanilla ice cream or softly whipped cream (optional),Vanilla ice cream,,,,,or softly whipped cream (optional),
1 1/2 cups apricot nectar,apricot nectar,1.5,cup,,,,
2 tablespoons grated orange peel,orange,2,tablespoon,,,grated peel,
4 large eggs,eggs,4,large,,,,
1 baked brioche loaf,brioche loaf,1,,,,baked,
6 tablespoons brown sugar,brown sugar,6,tablespoon,,,,
3 pounds ripe apricots,apricots,3,pound,,,ripe,
1/2 cup brandy,brandy,0.5,cup,,,,
14 tablespoons very soft unsalted butter,unsalted butter,14,tablespoon,,,very soft,
1 tablespoon milk,milk,1,tablespoon,,,,
8 tablespoons unsalted butter,unsalted butter,8,tablespoon,,,,
"5 large eggs plus 1 egg yolk, at room temperature",eggs,6,large,,,"egg yolk, at room temperature",
2 teaspoons salt,salt,2,teaspoon,,,,
1/4 cup warm water (110 degrees),water,0.25,cup,,,warm (110 degrees),
2 tablespoons sugar,sugar,2,tablespoon,,,,
5 cups all-purpose flour (approximately),all-purpose flour,5,cup,,,(approximately),
1 large egg yolk,egg yolk,1,large,,,,
1 tablespoon Dijon mustard,Dijon mustard,1,tablespoon,,,,
3/4 cup vegetable oil,vegetable oil,0.75,cup,,,,
"1/4 cup, plus 2 tablespoons whole milk yogurt",whole milk,6,tablespoon,,,,
2 packages active dry yeast,active dry yeast,2,package,,,,
"1 2 3/4 pound chicken, with neck, rinsed and patted dry",chicken,2.75,pound,,,"1  2.75 pound, with neck, rinsed and patted dry",
"3 tablespoons fresh lime juice, or more to taste",lime juice,3,tablespoon,,,"fresh, or more to taste",
"2 scallions, thinly sliced",scallions,2,,,,thinly sliced,
1 1/2 avocados,avocados,1.5,,,,,
Coarse sea salt,Coarse sea salt,,,,,,
"1 medium bulb fennel, with leaves",fennel,1,medium bulb,,,with leaves,
"8 cloves of whole unpeeled garlic, plus 1/2 clove garlic, peeled and chopped",garlic,8,clove,,,"whole unpeeled, plus 0.5 clove garlic, peeled and chopped",
1 teaspoon black peppercorns,black peppercorns,1,teaspoon,,,,
1 1/4 cups vegetable oil,vegetable oil,1.25,cup,,,,
Sea salt and ground black pepper,salt and black pepper,,,,,Sea ground,
"1 shallot lobe, minced",shallot lobe,1,,,,minced,
1 tablespoon thinly sliced chives,chives,1,tablespoon,,,thinly sliced,
"2 tablespoons apple cider vinegar, or more to taste",apple cider vinegar,2,tablespoon,,,or more to taste,
1 large egg yolk,egg yolk,1,large,,,,
2 cups thinly shredded red cabbage,cabbage,2,cup,,,thinly shredded red,
"1 stalk celery, thinly sliced on the diagonal",celery,1,stalk,,,thinly sliced on the diagonal,
"1 smoked mackerel fillet, skin discarded",mackerel,1,fillet,,,"smoked, skin discarded",
1 large egg yolk,egg yolk,1,large,,,,
1/2 tablespoon Dijon mustard,Dijon mustard,0.5,tablespoon,,,,
"1 tablespoon red wine vinegar, more to taste",red wine vinegar,1,tablespoon,,,more to taste,
1 cup peanut oil,peanut oil,1,cup,,,,
3 tablespoons heavy cream,heavy cream,3,tablespoon,,,,
1 teaspoon coriander seeds,coriander seeds,1,teaspoon,,,,
1 teaspoon cumin seeds,cumin seeds,1,teaspoon,,,,
3 cups thinly shredded savoy cabbage,savoy cabbage,3,cup,,,thinly shredded,
"1/4 peeled red onion, thinly sliced",red onion,0.25,,,,peeledthinly sliced,
1 egg yolk,egg yolk,1,,,,,
"Sliver of a garlic clove, crushed",garlic,1,clove,,,"Sliver of, crushed",
1 teaspoon Dijon or English mustard,mustard,1,teaspoon,,,Dijon or English,
2 teaspoons lemon juice,lemon juice,2,teaspoon,,,,
Sea salt,sea salt,,,,,,
1 cup peanut oil or vegetable oil,oil,1,cup,,,peanut or vegetable,
1 egg yolk,egg yolk,1,,,,,
2 teaspoons Dijon mustard,Dijon mustard,2,teaspoon,,,,
1 tablespoon white wine vinegar,white wine vinegar,1,tablespoon,,,,
Sea salt,sea salt,,,,,,
3/4 cup vegetable oil,vegetable oil,0.75,cup,,,,
1/4 cup extra virgin olive oil,extra virgin olive oil,0.25,cup,,,,
2 1/2 cups tightly packed arugula,arugula,2.5,cup,,,tightly packed,
1 large red pepper,red pepper,1,large,,,,
1 egg yolk,egg yolk,1,,,,,
1 teaspoon Dijon mustard,Dijon mustard,1,teaspoon,,,,
1/2 tablespoon white wine vinegar,white wine vinegar,0.5,tablespoon,,,,
Sea salt,sea salt,,,,,,
3/4 cup vegetable oil,vegetable oil,0.75,cup,,,,
1/4 cup extra virgin olive oil,extra virgin olive oil,0.25,cup,,,,
"1 1/4 pounds (about 15) baby red-skinned potatoes, washed",potatoes,1.25,pound,,,"(about 15) baby red-skinned, washed",
Sea salt and freshly ground grains of paradise (see note) or black pepper,salt and grains of paradise,,,,,Sea freshly ground (see note) or black pepper,
4 sprigs fresh parsley,parsley,4,sprig,,,fresh,
"4 salmon fillets, boneless and skinless, each 6 to 8 ounces, at room temperature",salmon,4,fillet,,,"boneless and skinless, each 6-8 ounce, at room temperature",
Freshly ground black pepper to taste,Freshly ground black pepper,,,,,to taste,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1/2 bay leaf,bay leaf,0.5,,,,,
1/4 teaspoon dried thyme,thyme,0.25,teaspoon,,,dried,
1 cup water,water,1,cup,,,,
"1 pound fish bones, and the salmon head, gills removed",fish bones,1,pound,,,"and the salmon head, gills removed",
"3 1/2 cups dry red wine, such as a Cotes du Rhone",dry red wine,3.5,cup,,,such as a Cotes du Rhone,
1/2 cup chopped onions,onions,0.5,cup,,,chopped,
1/2 cup chopped celery,celery,0.5,cup,,,chopped,
1 cup diced carrots,carrots,1,cup,,,diced,
1/2 cup chopped shallots,shallots,0.5,cup,,,chopped,
4 tablespoons butter,butter,4,tablespoon,,,,
2 tablespoons chopped parsley (optional),parsley,2,tablespoon,,,chopped (optional),
1/2 cup hot milk,milk,0.5,cup,,,hot,
1/2 cup sliced onions,onions,0.5,cup,,,sliced,
1/8 teaspoon freshly grated nutmeg,nutmeg,0.125,teaspoon,,,freshly grated,
2 tablespoons butter,butter,2,tablespoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
Salt to taste,Salt,,,,,to taste,
"4 carrots, trimmed, scraped and cut into 1-inch lengths (about 2 cups)",carrots,4,,,,"trimmed, scraped and cut into 1-inch lengths (about 2 cup)",
"3 potatoes, about 1 1/4 pounds",potatoes,3,,,,about  1.25 pound,
"3/4 pound mushrooms, thinly sliced",mushrooms,0.75,pound,,,thinly sliced,
1 tablespoon butter,butter,1,tablespoon,,,,
1/3 cup flour,flour,0.333,cup,,,,
4 tablespoons vegetable oil,vegetable oil,4,tablespoon,,,,
"1/2 pound lean salt pork, cut into thin slices",pork,0.5,pound,,,"lean salt, cut into thin slice",
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1 bottle red Burgundy wine (or a hearty Cotes du Rhone),red Burgundy wine,1,bottle,,,or a hearty Cotes du Rhone,
1/4 teaspoon grated nutmeg,nutmeg,0.25,teaspoon,,,grated,
6 sprigs fresh parsley,parsley,6,sprig,,,fresh,
2 bay leaves,bay leaves,2,,,,,
2 sprigs fresh thyme or 1 teaspoon dried,fresh thyme,2,sprig,,,or 1 teaspoon dried,
"4 whole cloves garlic, peeled",garlic,4,clove,,,"whole, peeled",
1 sprig fresh rosemary or 1 teaspoon dried,rosemary,1,sprig,,,fresh or 1 teaspoon dried,
"3/4 pound white turnips, peeled and quartered (or cut into 1/8's, depending on size)",white turnips,0.75,pound,,,"peeled and quartered (or cut into 0.125's, depending on size)",
"3/4 pound carrots, scraped and cut into 2-inch lengths",carrots,0.75,pound,,,scraped and cut into 2-inch lengths,
"12 or more small white onions, about 3/4 pound, peeled",white onions,12,,,,"or more small, about 0.75 pound, peeled",
Freshly ground black pepper to taste,Freshly ground black pepper,,,,,to taste,
4 tablespoons chopped fresh coriander leaves,coriander leaves,4,tablespoon,,,chopped fresh,
1 6-pound lean boneless shoulder of beef,shoulder of beef,6,pound,,,1 6-pound lean boneless,
Parsley sprigs for garnish,Parsley,,,,,sprig for garnish,
"1 pound fresh asparagus spears, trimmed of woody sections and scraped",asparagus spears,1,pound,,,"fresh, trimmed of woody sections and scraped",
2 tablespoons olive oil,olive oil,2,tablespoon,,,,
1/2 pound sliced mushrooms (about 2 cups),mushrooms,0.5,pound,,,sliced (about 2 cup),
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
2 tablespoons chopped shallots,shallots,2,tablespoon,,,chopped,
4 tablespoons butter at room temperature,butter,4,tablespoon,,,at room temperature,
4 tablespoons cream,cream,4,tablespoon,,,,
"1 cup Champagne, sparkling wine or still dry white wine",Champagne,1,cup,,,sparkling wine or still dry white wine,
2 sprigs fresh thyme or 1/2 teaspoon dried,thyme,2,sprig,,,fresh or 0.5 teaspoon dried,
4 tablespoons minced shallots,shallots,4,tablespoon,,,minced,
1 bay leaf,bay leaf,1,,,,,
"1 cup very dry white wine, such as a Chablis, for shrimp stock",dry white wine,1,cup,,,"very, such as a Chablis, for shrimp stock",
1 cup water,water,1,cup,,,,
1 tablespoon butter,butter,1,tablespoon,,,,
1 cup sliced carrots,carrots,1,cup,,,sliced,
1 cup finely sliced celery,celery,1,cup,,,finely sliced,
1 cup thinly sliced onions,onions,1,cup,,,thinly sliced,
1 cup thinly sliced leeks,leeks,1,cup,,,thinly sliced,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
"1 1/4 pounds medium-sized shrimp, peeled and deveined, with shells reserved",shrimp,1.25,pound,,,"medium-sized, peeled and deveined, with shells reserved",
"Rind of 1 lemon, grated",lemon,1,,,,"Rind of, grated",
1 teaspoon cornstarch,cornstarch,1,teaspoon,,,,
1 cup water,water,1,cup,,,,
1/4 cup sugar,sugar,0.25,cup,,,,
"1/2 cup sweetened red-bean paste, see note",paste,0.5,cup,,,"sweetened red-bean, see note",
"1 cup Chinese preserved or candied fruits, such as lotus nuts, gingko nuts, lichees, loquat, preserved lemons, ginger, plums, dates, see note",fruits,1,cup,,,"Chinese preserved or candied, such as lotus nuts, gingko nuts, lichees, loquat, preserved lemons, ginger, plums, dates, see note",
"1 chicken, 4 to 5 pounds",chicken,1,,,,4-5 pound,
3 tablespoons soy sauce,soy sauce,3,tablespoon,,,,
2 tablespoons rice wine or sherry,rice wine,2,tablespoon,,,or sherry,
1 tablespoon sesame oil,sesame oil,1,tablespoon,,,,
"3 to 4 dried lotus leaves, see note",lotus leaves,3-4,,,,"dried, see note",
"1/3 cup dried Chinese mushrooms, see note",mushrooms,0.333,cup,,,"dried Chinese, see note",
"3 large shiitaki mushrooms, sliced",mushrooms,3,large,,,"shiitaki, sliced",
"1 cup duck potatoes or water chestnuts, peeled and sliced, see note",duck potatoes,1,cup,,,"or water chestnuts, peeled and sliced, see note",
"1/2 cup bamboo shoots, sliced, see note",bamboo shoots,0.5,cup,,,"sliced, see note",
"1/2 cup lotus seeds, see note",lotus seeds,0.5,cup,,,see note,
1 cup bean sprouts,bean sprouts,1,cup,,,,
"6 large scallops, cut in half",scallops,6,large,,,cut in half,
"6 large shrimp, peeled",shrimp,6,large,,,peeled,
1 tablespoon peanut oil,peanut oil,1,tablespoon,,,,
1 teaspoon salt,salt,1,teaspoon,,,,
1/2 teaspoon sugar,sugar,0.5,teaspoon,,,,
"1 cup glutinous rice, red or white, see note",glutinous rice,1,cup,,,red or white see note,
2 tablespoons sugar,sugar,2,tablespoon,,,,
2 tablespoons peanut oil,peanut oil,2,tablespoon,,,,
"2 green onions (both white and green parts), slivered",green onions,2,,,,"(both white and green parts), slivered",
3/4 cup chicken broth,chicken broth,0.75,cup,,,,
1 tablespoon ketchup,ketchup,1,tablespoon,,,,
"1 tablespoon gingerroot, minced",gingerroot,1,tablespoon,,,minced,
2 tablespoons honey,honey,2,tablespoon,,,,
"1 tablespoon water-chestnut powder, see note, or cornstarch",water-chestnut powder,1,tablespoon,,,"see note, or cornstarch",
2 tablespoons peanut or vegetable oil,peanut or vegetable oil,2,tablespoon,,,,
"1 carp, 2 to 3 pounds, head and tail left on",carp,1,,,,"2-3 pound, head and tail left on",
2 tablespoons soy sauce,soy sauce,2,tablespoon,,,,
"1 tablespoon water-chestnut powder, see note, or cornstarch",water-chestnut powder,1,tablespoon,,,"see note, or cornstarch",
3 tablespoons red rice-wine vinegar,red rice-wine vinegar,3,tablespoon,,,,
2 tablespoons peanut oil,peanut oil,2,tablespoon,,,,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1/4 teaspoon pepper,pepper,0.25,teaspoon,,,,
1 tablespoon rice wine or sherry,rice wine,1,tablespoon,,,or sherry,
1 cup boiling water,boiling water,1,cup,,,,
"1 tablespoon Longjing or other green tea, see note",Longjing,1,tablespoon,,,"or other green tea, see note",
1 1/4 tablespoons salt,salt,1.25,tablespoon,,,,
1 1/2 pounds medium shrimp,medium shrimp,1.5,pound,,,,
1 egg white,egg white,1,,,,,
1 tablespoon rice wine or sherry,rice wine,1,tablespoon,,,or sherry,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1/4 teaspoon freshly ground pepper,freshly ground pepper,0.25,teaspoon,,,,
"2 bay leaves, crumbled",bay leaves,2,,,,crumbled,
Pickapeppa sauce (see note),Pickapeppa sauce,,,,,see note,
1/4 cup peanut or vegetable oil,oil,0.25,cup,,,peanut or vegetable,
3 tablespoons red-wine vinegar,red-wine vinegar,3,tablespoon,,,,
"3 chicken breasts, split, with skin on",chicken breasts,3,,,,"split, with skin on",
6 chicken legs,chicken legs,6,,,,,
2 ounces whole allspice berries,whole allspice berries,2,ounce,,,,
1/4 teaspoon fresh grated nutmeg,nutmeg,0.25,teaspoon,,,fresh grated,
1/2 teaspoon ground cinnamon,ground cinnamon,0.5,teaspoon,,,,
"8 scallions (white part and 1 inch of green each), chopped",scallions,8,,,,"(white part and 1 inch of green each), chopped",
"1 large garlic clove, chopped",garlic,1,clove,,,chopped,
"1 teaspoon fresh serrano or other hot pepper, seeded and chopped",serrano,1,teaspoon,,,"fresh or other hot pepper, seeded and chopped",
"1 6 1/2-pound pork shoulder, or 6 1-inch-thick loin pork chops",pork shoulder,6.5,pound,,,"1  6.5-pound, or 6 1-inch-thick loin pork chops",
"1/3 cup diced tomato, seeded and drained",tomato,0.333,cup,,,"diced, seeded and drained",
"1/2 cup frozen cut okra, thawed and coarsely chopped and well drained",okra,0.5,cup,,,"frozen cut, thawed and coarsely chopped and well drained",
1 1/4 cups yellow stone ground cornmeal,cornmeal,1.25,cup,,,yellow stone ground,
2 1/2 cups water,water,2.5,cup,,,,
1/4 teaspoon salt,salt,0.25,teaspoon,,,,
12 fresh raspberries,fresh raspberries,12,,,,,
4 mint leaves,mint leaves,4,,,,,
3 tablespoons butter,butter,3,tablespoon,,,,
1/2 cup minced onion,onion,0.5,cup,,,minced,
3 tablespoons sugar,sugar,3,tablespoon,,,,
2 tablespoons dry white wine or water,dry white wine,2,tablespoon,,,or water,
1 teaspoon vanilla extract,vanilla extract,1,teaspoon,,,,
Oil for greasing custard cups,Oil for greasing custard cups,,,,,,
"1 10-ounce package frozen raspberries in light syrup, thawed",raspberries package frozen in light syrup,1,package,,,thawed,
1/2 teaspoon dried thyme,thyme,0.5,teaspoon,,,dried,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
3 whole eggs,whole eggs,3,,,,,
3 egg yolks,egg yolks,3,,,,,
1/4 cup sugar,sugar,0.25,cup,,,,
1 teaspoon freshly squeezed lemon juice,freshly squeezed lemon juice,1,teaspoon,,,,
1/2 cup heavy cream,heavy cream,0.5,cup,,,,
1/2 cup sweetened condensed milk,sweetened condensed milk,0.5,cup,,,,
1 cup milk,milk,1,cup,,,,
"2 medium-size ripe bananas, peeled and sliced",bananas,2,medium-size,,,"ripe, peeled and sliced",
1 tablespoon white rum,white rum,1,tablespoon,,,,
1 tablespoon banana liqueur (optional),banana liqueur (optional),1,tablespoon,,,,
"8 strips crisp cooked bacon, coarsely chopped",bacon,8,,,,"strip crisp cooked, coarsely chopped",
"1/2 cup seeded, drained and diced tomato, or use canned Italian plum tomatoes",tomato,0.5,cup,,,"seeded, drained and diced, or use canned Italian plum tomatoes",
"1 1/2 to 2 cups chopped fresh raw lobster, well drained and patted dry",lobster,1.5-2,cup,,,"chopped fresh raw, well drained and patted dry",
2 tablespoons freshly grated Parmesan cheese,Parmesan cheese,2,tablespoon,,,freshly grated,
1/2 pound shredded Italian fontina cheese,Italian fontina cheese,0.5,pound,,,shredded,
1/2 pound shredded mozzarella cheese,cheese,0.5,pound,,,shredded mozzarella,
"2 3/4 cups all-purpose flour, and as needed during kneading",all-purpose flour,2.75,cup,,,and as needed during kneading,
"1/4 cup virgin olive oil, plus extra oil for greasing bowl and pan",olive oil,0.25,cup,,,"virgin, plus extra oil for greasing bowl and pan",
1 teaspoon salt,salt,1,teaspoon,,,,
2 teaspoons sugar,sugar,2,teaspoon,,,,
1 cup warm water,warm water,1,cup,,,,
1 cup converted rice,converted rice,1,cup,,,,
2 tablespoons butter,butter,2,tablespoon,,,,
1 tablespoon fresh lemon juice,lemon juice,1,tablespoon,,,fresh,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
1 package active dry yeast (1/4 ounce),active dry yeast,1,package,,,(0.25 ounce),
Salt to taste,Salt,,,,,to taste,
4 cups water,water,4,cup,,,,
4 tablespoons coarsely chopped parsley,parsley,4,tablespoon,,,coarsely chopped,
1 teaspoon finely chopped garlic,garlic,1,teaspoon,,,finely chopped,
1 tablespoon fresh lemon juice,lemon juice,1,tablespoon,,,fresh,
2 tablespoons finely chopped shallots,shallots,2,tablespoon,,,finely chopped,
"1 sweet red pepper, cored, seeded and cut into 1/4-inch pieces",sweet red pepper,1,,,,"cored, seeded and cut into 0.25-inch piece",
"1 cup ripe plum tomatoes, seeded, peeled and cut into 1/2-inch cubes",plum tomatoes,1,cup,,,"ripe, seeded, peeled and cut into 0.5-inch cubes",
Flour for dredging,Flour,,,,,for dredging,
4 tablespoons olive oil,olive oil,4,tablespoon,,,,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1/4 cup milk,milk,0.25,cup,,,,
