input,name,quantity,unit,comment
2 tbsp plain flour,plain flour,2,tbsp,
1 mug water,water,1,mug,
1 chicken stock cube,chicken stock cube,1,,
2 tbsp sun-dried tomato puree,sun-dried tomato puree,2,tbsp,
100 g cream cheese,cream cheese,100,g,
"250 g spinach, roughly chopped",spinach,250,g,roughly chopped
250 g mozzarella cheese,mozzarella cheese,250,g,
0.5 mug grated Parmesan,grated Parmesan,0.5,mug,
1 mug couscous,couscous,1,mug,
2 mugs boiling water,boiling water,2,mugs,
1 vegetable stock cube,vegetable stock cube,1,,
2 tbsp freshly chopped coriander,freshly chopped coriander,2,tbsp,
1 tbsp olive oil,olive oil,1,tbsp,
"1 large onion, sliced",onion,1,large,sliced
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"3 chicken breasts, cut into bitesized pieces",chicken breasts,3,,cut into bitesized pieces
1 tsp ground cinnamon,ground cinnamon,1,tsp,
1 cinnamon stick,cinnamon stick,1,,
1 tsp ground coriander,ground coriander,1,tsp,
0.5 tsp paprika,paprika,0.5,tsp,
1.5 mugs water + 1 chicken stock cube,water + 1 chicken stock cube,1.5,mugs,
"175 g ready-to-eat dried apricots, roughly chopped",ready-to-eat dried apricots,175,g,roughly chopped
"250 g mushrooms, sliced",mushrooms,250,g,sliced
175 g sultanas,sultanas,175,g,
2 tsp cornflour,cornflour,2,tsp,
50 g flaked almonds,flaked almonds,50,g,
handful freshly chopped coriander,freshly chopped coriander,,handful,
"75 ml , olive oil",,75,ml,olive oil
"30 g anchovy fillets in oil, drained and finely chopped (about 8 or 9)",anchovy fillets in oil,30,g,drained and finely chopped (about 8 or 9)
"1.5 tsp Aleppo chilli flakes, plus extra to serve (or use half the amount of regular chilli flakes)",Aleppo chilli flakes,1.5,tsp,plus extra to serve (or use half the amount of regular chilli flakes)
"1 clove garlic, crushed",garlic,1,clove,crushed
"1 lemon, finely grate the zest to get 1 tsp, then cut into 4 wedges to serve",lemon,1,,"finely grate the zest to get 1 tsp, then cut into 4 wedges to serve"
"20 g parsley, finely chopped",parsley,20,g,finely chopped
100 ml dry white wine,dry white wine,100,ml,
200 g spaghetti,spaghetti,200,g,
250 g samphire,samphire,250,g,
salt and black pepper,salt and black pepper,,,
1x 206 g pack cubetti di pancetta,pack cubetti di pancetta,1x,206 g,
2 tbsp olive oil,olive oil,2,tbsp,
"1 large onion, diced",onion,1,large,diced
"3 cloves garlic, chopped",garlic,3,cloves,chopped
350 g risotto rice,risotto rice,350,g,
150 ml white wine,white wine,150,ml,
"1.5 litres hot chicken stock or veg stock, made with 2 stock cubes",hot chicken stock or veg stock,1.5,litres,made with 2 stock cubes
125 g unsalted butter,unsalted butter,125,g,
300 g frozen peas,frozen peas,300,g,
1x 100 g bag baby leaf spinach,baby leaf spinach,1x,100 g bag,
"100 g Parmesan, grated",Parmesan,100,g,grated
"zest of 1 lemon, to garnish",zest of 1 lemon,,,to garnish
900 g ripe tomatoes,ripe tomatoes,900,g,
1 red pepper,red pepper,1,,
2 cloves garlic,garlic,2,cloves,
2 tbsp olive oil,olive oil,2,tbsp,
350 g pasta quills or shells,pasta quills or shells,350,g,
4 tbsp half-fat creme fraiche,half-fat creme fraiche,4,tbsp,
"grated Parmesan, to serve",grated Parmesan,,,to serve
"2 onion, 1 diced, 1 roughly chopped",onion,2,,"1 diced, 1 roughly chopped"
2 tbsp sunflower oil,sunflower oil,2,tbsp,
"50 g ginger, roughly chopped",ginger,50,g,roughly chopped
"small bunch coriander, leaves and stalks separated",coriander,,small bunch,leaves and stalks separated
3 tbsp jerk seasoning,jerk seasoning,3,tbsp,
2 sprigs thyme,thyme,2,sprigs,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
4 tbsp red wine vinegar,red wine vinegar,4,tbsp,
3 tbsp demerara sugar,demerara sugar,3,tbsp,
"2 vegetable stock cubes, crumbled",vegetable stock cubes,2,,crumbled
"1 kg sweet potatoes, peeled and cut into chunks",sweet potatoes,1,kg,peeled and cut into chunks
"2x 400 g cans black beans, rinsed and drained",black beans,2x,400 g cans,rinsed and drained
"450 g jar roasted red pepper, cut into thick slices",jar roasted red pepper,450,g,cut into thick slices
2 tbsp extra-virgin olive oil,extra-virgin olive oil,2,tbsp,
"1 aubergine, cut into 1 cm cubes",aubergine,1,,cut into 1 cm cubes
"1 red onion, roughly chopped",red onion,1,,roughly chopped
"4 sticks celery, finely chopped",celery,4,sticks,finely chopped
"4 large cloves garlic, finely chopped",garlic,4,large cloves,finely chopped
"6 ripe large plum tomatoes, roughly chopped",ripe large plum tomatoes,6,,roughly chopped
"2 tbsp capers, plus 1 tbsp of the brine",capers,2,tbsp,plus 1 tbsp of the brine
30 g sultanas,sultanas,30,g,
"0.5x 30 g pack flat-leaf parsley, finely chopped",flat-leaf parsley,0.5x,30 g pack,finely chopped
300 g dried rigatoni,dried rigatoni,300,g,
20 g panko or other dried breadcrumbs,panko or other dried breadcrumbs,20,g,
1 tbsp olive oil,olive oil,1,tbsp,
"4-6 sausages, pork, herby or vegetarian",sausages,4-6,,"pork, herby or vegetarian"
"1 small onion, sliced",onion,1,small,sliced
"2 medium potatoes, washed and cut into 2 cm cubes",potatoes,2,medium,washed and cut into 2 cm cubes
"1 vegetable stock cube, dissolved in 1 mug of boiling water",vegetable stock cube,1,,dissolved in 1 mug of boiling water
"1 eating apple, cut into chunks",eating apple,1,,cut into chunks
1 tsp mustard,mustard,1,tsp,
2 tbsp of sweet chutney,of sweet chutney,2,tbsp,
salt and pepper,salt and pepper,,,
"2 tomatoes, halved seeds scooped out, then chopped",tomatoes,2,,"halved  seeds scooped out, then chopped"
"3 spring onions, chopped",spring onions,3,,chopped
"1 red chilli, sliced (deseeded if you like it milder)",red chilli,1,,sliced (deseeded if you like it milder)
4 eggs,eggs,4,,
100 ml milk,milk,100,ml,
1 tsp olive oil,olive oil,1,tsp,
"100 g cheddar, grated",cheddar,100,g,grated
2 large wraps,wraps,2,large,
"soured cream and guacamole, to serve (optional)",soured cream and guacamole,,,to serve (optional)
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
150 ml fresh cream,fresh cream,150,ml,
320 g penne,penne,320,g,
80 g bacon lardons,bacon lardons,80,g,
1 red onion,red onion,1,,
2 tbsp extra virgin olive oil,extra virgin olive oil,2,tbsp,
"Basil, to taste",Basil,,,to taste
"Salt, to taste",Salt,,,to taste
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, sliced",onion,1,,sliced
1 clove of garlic,of garlic,1,clove,
1 tbsp butter,butter,1,tbsp,
"250 g mushrooms, sliced",mushrooms,250,g,sliced
1 tbsp plain flour,plain flour,1,tbsp,
"500 g fillet steak, sliced",fillet steak,500,g,sliced
150 g creme fraiche,creme fraiche,150,g,
1 tsp English mustard,English mustard,1,tsp,
100 ml beef stock,beef stock,100,ml,
"0.5 small pack of parsley, chopped",of parsley,0.5,small pack,chopped
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, chopped",onion,1,,chopped
"400 g good quality pork sausages, skins discarded and meat chopped",good quality pork sausages,400,g,skins discarded and meat chopped
"1 large carrot, grated",carrot,1,large,grated
150 ml red wine,red wine,150,ml,
300 ml vegetable stock,vegetable stock,300,ml,
3 tbsp tomato puree,tomato puree,3,tbsp,
500 g rigatoni,rigatoni,500,g,
200 g fresh spinach,fresh spinach,200,g,
"140 g mature cheddar cheese, grated",mature cheddar cheese,140,g,grated
50 g butter,butter,50,g,
50 g plain flour,plain flour,50,g,
600 ml milk,milk,600,ml,
"good pinch nutmeg, freshly grated",nutmeg,,good pinch,freshly grated
500 g mushrooms,mushrooms,500,g,
1 onion,onion,1,,
1 clove of garlic,of garlic,1,clove,
small bunch of sage,of sage,,small bunch,
600 g creme fraiche,creme fraiche,600,g,
20 g salted butter,salted butter,20,g,
400 g conchiglie pasta,conchiglie pasta,400,g,
150 g Parmesan,Parmesan,150,g,
salt,salt,,,
pepper,pepper,,,
olive oil,olive oil,,,
"175 g new potatoes, halved",new potatoes,175,g,halved
"1 medium onion, thinly sliced",onion,1,medium,thinly sliced
"2 slices lemon, chopped",lemon,2,slices,chopped
"2 clove garlic, roughly chopped",garlic,2,clove,roughly chopped
1 tsp ground cumin,ground cumin,1,tsp,
1 tsp ground cinnamon,ground cinnamon,1,tsp,
450 ml chicken stock,chicken stock,450,ml,
"large skinless, boneless chicken thighs, trimmed of all fat and cut into cubes","large skinless, boneless chicken thighs",,,trimmed of all fat and cut into cubes
0.5x 410 g can chickpeas,chickpeas,0.5x,410 g can,
"handful fresh coriander, chopped",fresh coriander,,handful,chopped
25 g butter,butter,25,g,
"900 g mixed mushrooms, cut into bitesized pieces",mixed mushrooms,900,g,cut into bitesized pieces
350 g white long grain rice,white long grain rice,350,g,
350 ml white wine sauce,white wine sauce,350,ml,
250 ml sour cream,sour cream,250,ml,
"chopped chives, to garnish",chopped chives,,,to garnish
4 tbsp olive oil,olive oil,4,tbsp,
"2 large onions, halved and sliced",onions,2,large,halved and sliced
"3 cloves garlic, crushed",garlic,3,cloves,crushed
"thumb-sized piece root ginger, peeled",root ginger,,thumb-sized piece,peeled
1 tsp paprika,paprika,1,tsp,
0.5 tsp cayenne,cayenne,0.5,tsp,
"2 red chillies, deseeded and sliced",red chillies,2,,deseeded and sliced
"2 red peppers, deseeded and sliced",red peppers,2,,deseeded and sliced
"250 g red cabbage, shredded",red cabbage,250,g,shredded
"1 kg sweet potatoes, peeled and chopped into chunks",sweet potatoes,1,kg,peeled and chopped into chunks
300 g passata,passata,300,g,
400 ml coconut milk,coconut milk,400,ml,
2 tbsp peanut butter,peanut butter,2,tbsp,
8 good quality sausages,good quality sausages,8,,
2 tsp paprika,paprika,2,tsp,
1 tbsp olive oil,olive oil,1,tbsp,
3 tbsp olive oil,olive oil,3,tbsp,
2 tbsp cider vinegar,cider vinegar,2,tbsp,
1 tbsp runny honey,runny honey,1,tbsp,
salt and pepper,salt and pepper,,,
"250 g cherry tomatoes, each cut into 4",cherry tomatoes,250,g,each cut into 4
20 black olives,black olives,20,,
"1 tsp capers, chopped",capers,1,tsp,chopped
"2 cos lettuce, sliced",cos lettuce,2,,sliced
"8 spring onions, sliced",spring onions,8,,sliced
"Parmesan cheese, shaved",Parmesan cheese,,,shaved
"255 g all-purpose flour, plus 2 tablespoons",all-purpose flour,255,g,plus 2 tablespoons
1.25 tsp baking powder,baking powder,1.25,tsp,
0.5 tsp salt,salt,0.5,tsp,
150 g granulated sugar,granulated sugar,150,g,
"113 g unsalted butter, softened",unsalted butter,113,g,softened
1 tbsp orange zest (about 2 oranges),orange zest (about 2 oranges),1,tbsp,
1 large egg,egg,1,large,
120 ml fresh orange juice,fresh orange juice,120,ml,
120 g icing sugar,icing sugar,120,g,
Zest of &frac12; orange,Zest of &frac12; orange,,,
1-2 tbsp fresh orange juice,fresh orange juice,1-2,tbsp,
1 tbsp unsalted butter (melted),unsalted butter (melted),1,tbsp,
"3 medium cloves garlic, roughly chopped",cloves garlic,3,medium,roughly chopped
4 tsp kosher salt,kosher salt,4,tsp,
2 tbsp ground cumin,ground cumin,2,tbsp,
2 tbsp paprika,paprika,2,tbsp,
1 tsp freshly ground black pepper,freshly ground black pepper,1,tsp,
2 tbsp white vinegar,white vinegar,2,tbsp,
2 tbsp vegetable or canola oil,vegetable or canola oil,2,tbsp,
"4 boneless, skinless chicken breasts, cut into 8 cutlets","boneless, skinless chicken breasts",4,,cut into 8 cutlets
"3 whole jalapeno chilies, roughly chopped",whole jalapeno chilies,3,,roughly chopped
1 tbsp aji amarillo pepper paste (optional),aji amarillo pepper paste (optional),1,tbsp,
1 cup fresh coriander leaves,fresh coriander leaves,1,cup,
2 medium cloves garlic,cloves garlic,2,medium,
0.5 cup mayonnaise,mayonnaise,0.5,cup,
0.25 cup sour cream,sour cream,0.25,cup,
2 tsp fresh juice from 1 lime,fresh juice from 1 lime,2,tsp,
1 tsp distilled white vinegar,distilled white vinegar,1,tsp,
0.25 cup extra-virgin olive oil,extra-virgin olive oil,0.25,cup,
Kosher salt and freshly ground black pepper,Kosher salt and freshly ground black pepper,,,
"4 sturdy buns, such as telera or ciabatta",sturdy buns,4,,such as telera or ciabatta
"2 ripe avocados, halved, pitted, and flesh scooped",ripe avocados,2,,"halved, pitted, and flesh scooped"
Thinly sliced red onion,Thinly sliced red onion,,,
"Crisp lettuce leaves, such as romaine",Crisp lettuce leaves,,,such as romaine
400 g lamb mince,lamb mince,400,g,
"1 small red onion, &frac12; grated &frac12; thinly sliced",red onion,1,small,&frac12; grated  &frac12; thinly sliced
"handful parsley, roughly chopped",parsley,,handful,roughly chopped
"handful mint, roughly chopped",mint,,handful,roughly chopped
"1 tsp olive oil, oil",olive oil,1,tsp,oil
"2 sweet potatoes, cut into chips",sweet potatoes,2,,cut into chips
1 tbsp light soy sauce,light soy sauce,1,tbsp,
4 bread rolls,bread rolls,4,,
couple handfuls watercress,couple handfuls watercress,,,
"8 skin-on, bone-in chicken thighs","skin-on, bone-in chicken thighs",8,,
500 g plain yogurt,plain yogurt,500,g,
0.5 tsp ground turmeric,ground turmeric,0.5,tsp,
0.5 tsp chilli powder,chilli powder,0.5,tsp,
"1 large green chilli, deseeded and finely sliced",green chilli,1,large,deseeded and finely sliced
2 tsp ground cumin,ground cumin,2,tsp,
2 tsp ground coriander,ground coriander,2,tsp,
1 tsp ground cinnamon,ground cinnamon,1,tsp,
2 tbsp paprika,paprika,2,tbsp,
0.5 tsp ground cloves,ground cloves,0.5,tsp,
"5 cm piece of fresh root ginger, peeled and grated",piece of fresh root ginger,5,cm,peeled and grated
"3 cloves garlic, minced",garlic,3,cloves,minced
0.5 tsps salt,salt,0.5,tsps,
juice of ½ lemon,juice of ½ lemon,,,
3 lbs boneless skinless chicken breasts,boneless skinless chicken breasts,3,lbs,
2 tsp extra virgin olive oil,extra virgin olive oil,2,tsp,
2 tsp garam masala,garam masala,2,tsp,
2 tsp curry powder,curry powder,2,tsp,
0.5 tsp salt,salt,0.5,tsp,
0.5 tsp freshly ground black pepper,freshly ground black pepper,0.5,tsp,
"2 white onions, peeled and cut into quarters",white onions,2,,peeled and cut into quarters
"6 cloves garlic, peeled",garlic,6,cloves,peeled
4 tsp curry powder,curry powder,4,tsp,
2 tsp ground turmeric,ground turmeric,2,tsp,
2 tsp garam masala,garam masala,2,tsp,
1 tsp ground coriander seed,ground coriander seed,1,tsp,
1 tsp salt,salt,1,tsp,
1 tsp black pepper,black pepper,1,tsp,
0.5 tsp cinnamon,cinnamon,0.5,tsp,
0.5 tsp cumin,cumin,0.5,tsp,
0.25 tsp ground cardamom,ground cardamom,0.25,tsp,
0.125 tsp freshly grated nutmeg,freshly grated nutmeg,0.125,tsp,
3 tbsps extra virgin olive oil,extra virgin olive oil,3,tbsps,
"3 large tomatoes, diced small",tomatoes,3,large,diced small
1 tbsp freshly grated ginger root,freshly grated ginger root,1,tbsp,
0.5 cup ground raw almonds,ground raw almonds,0.5,cup,
1 cup unsweetened canned coconut milk,unsweetened canned coconut milk,1,cup,
1.5 cups plain low-fat yogurt,plain low-fat yogurt,1.5,cups,
"0.5 a small red chilli, de-seeded and minced (dried or fresh)",a small red chilli,0.5,,de-seeded and minced (dried or fresh)
1 tbsp brown sugar (packed),brown sugar (packed),1,tbsp,
2 tbsp sunflower oil,sunflower oil,2,tbsp,
"2 onions, thinly sliced",onions,2,,thinly sliced
2 heaped tbsp curry paste,curry paste,2,heaped tbsp,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
8 eggs,eggs,8,,
140 g frozen peas,frozen peas,140,g,
4 tbsp Greek yogurt,Greek yogurt,4,tbsp,
"rice and mango chutney, to serve",rice and mango chutney,,,to serve
"250 g white self-raising flour, plus extra for dusting",white self-raising flour,250,g,plus extra for dusting
1 tsp caster sugar,caster sugar,1,tsp,
0.5 tsps salt,salt,0.5,tsps,
0.5 tsps baking powder,baking powder,0.5,tsps,
250 g fat-free natural yoghurt,fat-free natural yoghurt,250,g,
"10 g reduced-fat spread, plus a little extra for greasing",reduced-fat spread,10,g,plus a little extra for greasing
125 g fat-free natural yoghurt,fat-free natural yoghurt,125,g,
"80 g cucumber, very finely chopped",cucumber,80,g,very finely chopped
"4 g fresh coriander leaves, finely chopped",fresh coriander leaves,4,g,finely chopped
"4 g fresh mint leaves, finely chopped",fresh mint leaves,4,g,finely chopped
"1 small clove garlic, peeled and crushed",garlic,1,small clove,peeled and crushed
sea salt and freshly ground black pepper,sea salt and freshly ground black pepper,,,
200 g ready-cooked chicken tikka slices,ready-cooked chicken tikka slices,200,g,
20 g baby spinach leaves,baby spinach leaves,20,g,
1 tbsp vegetable oil,vegetable oil,1,tbsp,
8 skinless boneless chicken thighs,skinless boneless chicken thighs,8,,
"8 rashers smoked streaky bacon, cut into large pieces",smoked streaky bacon,8,rashers,cut into large pieces
"1 onion, halved and sliced",onion,1,,halved and sliced
1x 250 g pack baby button mushrooms,baby button mushrooms,1x,250 g pack,
handful thyme sprigs,thyme sprigs,,handful,
2 tbsp plain flour,plain flour,2,tbsp,
400 ml chicken stock,chicken stock,400,ml,
200 ml milk,milk,200,ml,
"1x 500 g pack fresh puff pastry, or frozen and defrosted",fresh puff pastry,1x,500 g pack,or frozen and defrosted
"1 egg, beaten",egg,1,,beaten
"40 g dried porcini mushrooms, roughly chopped",dried porcini mushrooms,40,g,roughly chopped
200 g dried brown lentils,dried brown lentils,200,g,
1.5 tbsp chopped rosemary,chopped rosemary,1.5,tbsp,
3 tbsp rapeseed oil,rapeseed oil,3,tbsp,
"2 large onions, roughly chopped",onions,2,large,roughly chopped
150 g chestnut baby button mushrooms,chestnut baby button mushrooms,150,g,
"4 cloves garlic, finely grated",garlic,4,cloves,finely grated
2 tbsp vegetable bouillon powder,vegetable bouillon powder,2,tbsp,
"2 large carrots, cut into chunks",carrots,2,large,cut into chunks
"3 sticks celery, chopped",celery,3,sticks,chopped
"500 g potatoes, cut into chunks",potatoes,500,g,cut into chunks
"200 g cavolo nero, shredded",cavolo nero,200,g,shredded
"4 whole roasted red bell peppers, homemade or jarred see note above on how to make at home",whole roasted red bell peppers,4,,homemade or jarred see note above on how to make at home
"1 cup toasted walnuts, finely chopped and divided",toasted walnuts,1,cup,finely chopped and divided
3 cloves garlic,garlic,3,cloves,
"1 tsp crushed red pepper flakes, divided",crushed red pepper flakes,1,tsp,divided
"1 lemon, zest and juice",lemon,1,,zest and juice
kosher salt,kosher salt,,,
"0.5 cup plus 2 tablespoons extra virgin olive oil, divided",plus 2 tablespoons extra virgin olive oil,0.5,cup,divided
"1 lb trottole pasta or medium shells, fusilli, rotini, cavatappi",trottole pasta or medium shells,1,lb,"fusilli, rotini, cavatappi"
1.5 cups fresh breadcrumbs,fresh breadcrumbs,1.5,cups,
"1 lb ripe red heirloom tomatoes, cut into bite-sized pieces",ripe red heirloom tomatoes,1,lb,cut into bite-sized pieces
2 oz finely grated Parmesan cheese,finely grated Parmesan cheese,2,oz,
"1 cup basil leaves, torn if large",basil leaves,1,cup,torn if large
"400 g beef, cut into thin strips",beef,400,g,cut into thin strips
0.5 tbsp vegetable oil,vegetable oil,0.5,tbsp,
"200 g potatoes, cubed",potatoes,200,g,cubed
"1 red onion, roughly chopped",red onion,1,,roughly chopped
Blue dragon thai massaman curry pack,Blue dragon thai massaman curry pack,,,
Fish sauce,Fish sauce,,,
pinch caster sugar,caster sugar,,pinch,
0.5 mug rice,rice,0.5,mug,
1 lb ground pork,ground pork,1,lb,
1 large egg,egg,1,large,
0.5 cup breadcrumbs,breadcrumbs,0.5,cup,
"1 clove garlic, minced",garlic,1,clove,minced
1 tsp grated fresh ginger,grated fresh ginger,1,tsp,
0.5 tsp soy sauce,soy sauce,0.5,tsp,
"2 green onions, sliced",green onions,2,,sliced
0.5 cup soy sauce,soy sauce,0.5,cup,
0.5 cup brown sugar,brown sugar,0.5,cup,
2 tsp grated fresh ginger,grated fresh ginger,2,tsp,
2 cloves garlic,garlic,2,cloves,
1 cup water,water,1,cup,
2 tbsp cornstarch,cornstarch,2,tbsp,
1 cup jasmine rice,jasmine rice,1,cup,
2 cups water,water,2,cups,
2 green onions,green onions,2,,
1 tbsp sesame seeds,sesame seeds,1,tbsp,
1 lb frozen broccoli florets,frozen broccoli florets,1,lb,
70 g fine Chinese style dried egg noodles or use straight wok noodles,fine Chinese style dried egg noodles or use straight wok noodles,70,g,
125 ml chicken stock,chicken stock,125,ml,
1.5 tsp dark soy sauce,dark soy sauce,1.5,tsp,
25 g frozen peas,frozen peas,25,g,
35 g drained canned or frozen sweetcorn,drained canned or frozen sweetcorn,35,g,
"50 g cooked chicken, shredded",cooked chicken,50,g,shredded
0.5 tsp cornflour,cornflour,0.5,tsp,
juice of a lemon,juice of a lemon,,,
0.5 mug Parmesan cheese,Parmesan cheese,0.5,mug,
4 tbsp Greek yogurt,Greek yogurt,4,tbsp,
"2 tbsp fresh mint, chopped",fresh mint,2,tbsp,chopped
2 tbsp olive oil,olive oil,2,tbsp,
salt and pepper,salt and pepper,,,
1 tbsp olive oil,olive oil,1,tbsp,
2 slices wholemeal bread,wholemeal bread,2,slices,
100 g sliced pancetta (or streaky bacon),sliced pancetta (or streaky bacon),100,g,
"125 g cherry tomatoes, halved",cherry tomatoes,125,g,halved
"3 roasted red peppers (from a jar), roughly chopped",roasted red peppers (from a jar),3,,roughly chopped
0.5x 100 g bag salad,salad,0.5x,100 g bag,
8 small lamb chops,lamb chops,8,small,
3 tablespoons grapeseed oil,grapeseed oil,3,tablespoons,
"1 large yellow onion, chopped",yellow onion,1,large,chopped
"4 medium carrots, sliced on the bias",carrots,4,medium,sliced on the bias
"0.5 of a medium cabbage, roughly chopped (450-500 g)",of a medium cabbage,0.5,,roughly chopped (450-500 g)
"4 cloves garlic, thinly sliced",garlic,4,cloves,thinly sliced
"5 cm piece of fresh ginger, grated or minced",of fresh ginger,5,cm piece,grated or minced
Kosher salt freshly cracked black pepper,Kosher salt freshly cracked black pepper,,,
3 tablespoons tomato paste,tomato paste,3,tablespoons,
1-1.5 teaspoons Indian red chili powder,Indian red chili powder,1-1.5,teaspoons,
1 teaspoon ground turmeric,ground turmeric,1,teaspoon,
0.25 teaspoons ground nutmeg,ground nutmeg,0.25,teaspoons,
180 ml dry white wine,dry white wine,180,ml,
"360 ml vegetable broth, plus a little more as needed",vegetable broth,360,ml,plus a little more as needed
"2x 200 g can chickpeas, drained and rinsed",chickpeas,2x,200 g can,drained and rinsed
2 bay leaves,bay leaves,2,,
55 g golden raisins (sultanas),golden raisins (sultanas),55,g,
1x 400 g can can diced tomatoes,can diced tomatoes,1x,400 g can,
"240 ml full-fat canned coconut milk, stirred well",full-fat canned coconut milk,240,ml,stirred well
"6 green cardamom pods, whole",green cardamom pods,6,,whole
"4 cloves, whole",cloves,4,,whole
1 teaspoon cumin seeds,cumin seeds,1,teaspoon,
1 teaspoon coriander seeds,coriander seeds,1,teaspoon,
1 teaspoon fennel seeds,fennel seeds,1,teaspoon,
"2 cinnamon sticks, 2-3 inches long",cinnamon sticks,2,,2-3 inches long
1 teaspoon garam masala,garam masala,1,teaspoon,
"10 g cilantro leaves, chopped, plus more for garnish",cilantro leaves,10,g,"chopped, plus more for garnish"
Lemon juice (a few squeezes),Lemon juice (a few squeezes),,,
"1-2 teaspoons organic cane sugar, as needed",organic cane sugar,1-2,teaspoons,as needed
"Coconut yogurt, or other vegan yogurt",Coconut yogurt,,,or other vegan yogurt
"White rice, brown rice, or Indian flatbread such as naan or roti",White rice,,,"brown rice, or Indian flatbread such as naan or roti"
85 g wholewheat penne,wholewheat penne,85,g,
1 tbsp rapeseed oil,rapeseed oil,1,tbsp,
"1 large red pepper, roughly chopped",red pepper,1,large,roughly chopped
"2 frozen, skinless wild salmon fillets (about 120g each)",frozen,2,,skinless wild salmon fillets (about 120g each)
"1 lemon, zested and juiced",lemon,1,,zested and juiced
"2 cloves garlic, finely grated",garlic,2,cloves,finely grated
"1 shallot, very finely chopped",shallot,1,,very finely chopped
2 tbsp capers,capers,2,tbsp,
"6 pitted Kalamata olives, sliced",pitted Kalamata olives,6,,sliced
1 tsp extra virgin olive oil,extra virgin olive oil,1,tsp,
2 handfuls rocket,rocket,2,handfuls,
"5 medium potatoes, cut into &frac12; cm slices",potatoes,5,medium,cut into &frac12; cm slices
2 tbsp olive oil,olive oil,2,tbsp,
"1 onion, sliced",onion,1,,sliced
200 g pancetta lardons,pancetta lardons,200,g,
"250 g mushrooms, sliced",mushrooms,250,g,sliced
"3 chicken breasts, cut into bitesized pieces",chicken breasts,3,,cut into bitesized pieces
300 ml single cream,single cream,300,ml,
2 tbsp thyme leaves,thyme leaves,2,tbsp,
1 tbsp wholegrain mustard,wholegrain mustard,1,tbsp,
0.5 mug grated Parmesan,grated Parmesan,0.5,mug,
75 ml olive oil,olive oil,75,ml,
"2 cloves garlic, thinly sliced",garlic,2,cloves,thinly sliced
"1 kg cherry tomatoes, sliced in half",cherry tomatoes,1,kg,sliced in half
"0.5 tsp caster sugar, or a bit more or less, depending on the sweetness of the tomatoes",caster sugar,0.5,tsp,"or a bit more or less, depending on the sweetness of the tomatoes"
"1 dried ancho chilli, torn apart",dried ancho chilli,1,,torn apart
20 g basil leaves,basil leaves,20,g,
400 g fettuccine (or spaghetti),fettuccine (or spaghetti),400,g,
"35 g Parmesan, finely grated",Parmesan,35,g,finely grated
salt,salt,,,
2 tbsp groundnut oil,groundnut oil,2,tbsp,
"2 whole red dried chillis, torn",whole red dried chillis,2,,torn
"2 cloves garlic, crushed, peeled and finely chopped",garlic,2,cloves,"crushed, peeled and finely chopped"
"1 inch fresh root ginger, peeled and finely grated",fresh root ginger,1,inch,peeled and finely grated 
"180 g smoky bacon lardons, diced",smoky bacon lardons,180,g,diced
"200 g Tenderstem broccoli, washed, sliced to 1 inch pieces on the angle",Tenderstem broccoli,200,g,"washed, sliced to 1 inch pieces on the angle"
"1 large organic carrot, sliced in half lengthwise in the middle, half again, then 2 inch pieces on the angle",organic carrot,1,large,"sliced in half lengthwise in the middle, half again, then 2 inch pieces on the angle"
2 tbsp Shaosing rice wine,Shaosing rice wine,2,tbsp,
2 tbsp Chinkiang black rice vinegar,Chinkiang black rice vinegar,2,tbsp,
1 tbsp low sodium light soy sauce,low sodium light soy sauce,1,tbsp,
"4 sirloin steaks, with some fat attached (about 1kg)",sirloin steaks,4,,with some fat attached (about 1kg)
"5-6 dried black limes, roughly chopped, then finely ground in a coffee or spice grinder to get 3 tbsp",dried black limes,5-6,,"roughly chopped, then finely ground in a coffee or spice grinder to get 3 tbsp"
"2 lemons, finely grate the zest to get 2 tsp and then juice to get 2½ tbsp",lemons,2,,finely grate the zest to get 2 tsp and then juice to get 2½ tbsp
1 tbsp ground cumin,ground cumin,1,tbsp,
"6 cloves garlic, crushed",garlic,6,cloves,crushed
3 tbsp olive oil,olive oil,3,tbsp,
"sunflower oil, for greasing",sunflower oil,,,for greasing
"4 naan or pita breads, shop-bought of homemade",naan or pita breads,4,,shop-bought of homemade
"1 tsp Aleppo chilli, or ½ tsp regular chilli flakes",Aleppo chilli,1,tsp,or ½ tsp regular chilli flakes
5 g picked parsley leaves,picked parsley leaves,5,g,
5 g picked mint leaves,picked mint leaves,5,g,
salt and black pepper,salt and black pepper,,,
"1 red onion, thinly sliced",red onion,1,,thinly sliced
1.5 tsp sumac,sumac,1.5,tsp,
0.75 tbsp cider vinegar,cider vinegar,0.75,tbsp,
1.5 mugs orzo pasta,orzo pasta,1.5,mugs,
1 chicken stock cube,chicken stock cube,1,,
1 tsp turmeric,turmeric,1,tsp,
1 tbsp olive oil,olive oil,1,tbsp,
"1 red pepper, chopped",red pepper,1,,chopped
"200 g chorizo sausage, diced",chorizo sausage,200,g,diced
