input,name,quantity,unit,preparation,comment
2 tsp chopped fresh ginger,fresh ginger,2,tsp,chopped,
Sea salt and freshly ground black pepper,Sea salt and freshly ground black pepper,,,,
handful flatleaf parsley leaves,flatleaf parsley leaves,,handful,,
"150g/5oz fresh mackerel fillets, grilled both sides until completely cooked through",fresh mackerel fillets,150 5,g oz,grilled both sides until completely cooked through,/
100gl/3½oz cream cheese,cream cheese,100 3.5,gl oz,,/
"10 new potatoes, peeled and halved",new potatoes,10,,peeled and halved,
"400g/14oz assorted cheese, cut into 3cm/1in chunks",assorted cheese,400 14,g oz,cut into 3 cm / 1 in chunks,/
25ml/1fl oz bourbon whisky,bourbon whisky,25 1,ml fl oz,,/
75g/2½oz goji berries,goji berries,75 2.5,g oz,,/
"100g/3½oz monkey nuts, shelled, lightly toasted and chopped",monkey nuts,100 3.5,g oz,"shelled, lightly toasted and chopped",/
"1 head fennel, roughly chopped",fennel,1,head,roughly chopped,
225g/8oz light soft brown sugar,light soft brown sugar,225 8,g oz,,/
"1 large bunch coriander, leaves only",coriander,1,large bunch,,leaves only
2 tbsp hazelnut liqueur,hazelnut liqueur,2,tbsp,,
water or stock made from a cube,water or stock made from a cube,,,,
"1 dried chilli, roughly chopped",dried chilli,1,,roughly chopped,
crushed hazelnuts,hazelnuts,,,crushed,
150g/5½oz smoked streaky bacon,smoked streaky bacon,150 5.5,g oz,,/
1 goats' cheese round,goats' cheese round,1,,,
150g/5oz homemade crostini (croutons),homemade crostini,150 5,g oz,,(croutons) /
4 tbsp red wine vinegar,red wine vinegar,4,tbsp,,
"1 small baguette or baton, cut into 12 slices",baguette or baton,1,small,cut into 12 slices,
few drops of lemon juice,lemon juice,few,drop,,of
½ tsp smoked paprika (available from Spanish delicatessens),smoked paprika,0.5,tsp,,(available from Spanish delicatessens)
"1 small pumpkin or squash (such as onion, crown prince and kabocha)",pumpkin or squash,1,small,,"(such as onion, crown prince and kabocha)"
6 level tsp wholegrain mustard,wholegrain mustard,6,level tsp,,
125ml/4fl oz dry white wine,dry white wine,125 4,ml fl oz,,/
"350g/12oz frozen blueberries, defrosted",frozen blueberries,350 12,g oz,defrosted,/
1 x 2kg/4lb 6oz leg of lamb,leg of lamb,1 x 2 4 6,kg lb oz,,/
"double cream, for drizzling",double cream,,,,for drizzling
"30g/1oz fine capers, finely chopped",fine capers,30 1,g oz,finely chopped,/
"3 leeks, washed and finely chopped",leeks,3,,washed and finely chopped,
1 tsp crushed garlic,garlic,1,tsp,crushed,
2 lamb boneless loin fillets,lamb boneless loin fillets,2,,,
150g/5½oz roasted chestnuts,roasted chestnuts,150 5.5,g oz,,/
"2 red chillies, seeds and pith removed, finely chopped",red chillies,2,,"seeds and pith removed, finely chopped",
"75g/2½oz unsalted butter, melted",unsalted butter,75 2.5,g oz,melted,/
"3 red peppers, thinly sliced",red peppers,3,,thinly sliced,
"75g/3oz Italian blue cheese, such as gorgonzola or dolcelatte, chopped into small pieces",Italian blue cheese,75 3,g oz,chopped into small pieces,such as gorgonzola or dolcelatte /
"1 bunch spring onions, chopped, white and green parts kept separate",spring onions,1,bunch,"chopped, white and green parts kept separate",
"200ml/7¼fl oz dark chocolate, at least 70 per cent cocoa solids, broken into small pieces",dark chocolate,200 7.25,ml fl oz,broken into small pieces,at least 70 per cent cocoa solids /
"600g/1lb 5oz brown cap mushrooms, sliced",brown cap mushrooms,600 1 5,g lb oz,sliced,/
"½ onion, chopped",onion,0.5,,chopped,
"400g/14oz flaked, deboned hot-smoked salmon",hot-smoked salmon,400 14,g oz,"flaked, deboned",/
"dark chocolate, grated, to garnish",dark chocolate,,,grated,to garnish
100g/3½oz blanched cauliflower florets,cauliflower florets,100 3.5,g oz,blanched,/
"1 tbsp roughly chopped flatleaf parsley, to serve",flatleaf parsley,1,tbsp,roughly chopped,to serve
275g/9¾oz icing sugar,icing sugar,275 9.75,g oz,,/
"2 pineapple rings from a can, finely chopped",pineapple rings,2,,finely chopped,from a can
60g/2½oz caster sugar,caster sugar,60 2.5,g oz,,/
450g/1lb Greek yoghurt,Greek yoghurt,450 1,g lb,,/
"175g/6oz unsalted butter, diced",unsalted butter,175 6,g oz,diced,/
25ml/1fl oz sugar syrup,sugar syrup,25 1,ml fl oz,,/
"2 vanilla pods, split and seeds scraped out",vanilla pods,2,,split and seeds scraped out,
100g/3½oz broad beans,broad beans,100 3.5,g oz,,/
2x 25g/1oz strips ready-rolled packet puff pastry,ready-rolled packet puff pastry,2 x 25 1,g oz strip,,/
"1 tbsp rosemary, finely chopped",rosemary,1,tbsp,finely chopped,
"2 red chillies, sliced",red chillies,2,,sliced,
1-2 tbsp cassis,cassis,1-2,tbsp,,
"1 red onion, sliced into thick rings",red onion,1,,sliced into thick rings,
"3 gelatine leaves, soaked in cold water until softened, then drained",gelatine leaves,3,,"soaked in cold water until softened, then drained",
130g/4½oz semolina,semolina,130 4.5,g oz,,/
"2 large scallops, white part only",scallops,2,large,,white part only
"75g/2½oz fresh raspberries, for the garnish",fresh raspberries,75 2.5,g oz,,for the garnish /
1 tsp banana liqueur,banana liqueur,1,tsp,,
"2 tomatoes, peeled, de-seeded and finely chopped",tomatoes,2,,"peeled, de-seeded and finely chopped",
5-10ml/1-2tsp sesame oil,sesame oil,5-10 1-2,ml tsp,,/
"soft dark brown sugar, optional",soft dark brown sugar,,,,optional
"1 ripe banana, peeled and cut in half lengthways",ripe banana,1,,peeled and cut in half lengthways,
½ tbsp chopped basil,basil,0.5,tbsp,chopped,
"3 spring onions, very finely chopped",spring onions,3,,very finely chopped,
"½ green pepper, stalk and seeds removed, finely sliced",green pepper,0.5,,"stalk and seeds removed, finely sliced",
bunch fresh mint,fresh mint,,bunch,,
240g/8½oz golden caster sugar,golden caster sugar,240 8.5,g oz,,/
120g/4oz rice,rice,120 4,g oz,,/
1 small aubergine,aubergine,1,small,,
"cooked spaghetti, to serve",spaghetti,,,cooked,to serve
50g/2oz very soft unsalted butter,very soft unsalted butter,50 2,g oz,,/
"1 banana shallot, peeled, sliced into ½cm/¼in rings",banana shallot,1,,"peeled, sliced into 0.5 cm / 0.25 in rings",
"75g/2½oz black olives, pits removed",black olives,75 2.5,g oz,pits removed,/
420g/15oz raspberries (to make 300g/10½oz purée after sieving),raspberries,420 15 300 10.5,g oz g oz,,"(to make, purée after sieving) / /"
"300g/11oz white chocolate, roughly chopped",white chocolate,300 11,g oz,roughly chopped,/
"4 large bunches of coriander, washed and chopped roughly",coriander,4,large bunch,washed and chopped roughly,of
"2 free-range eggs, at room temperature",free-range eggs,2,,at room temperature,
"1 fennel bulb, cut into 0.5cm/¼ cubes",fennel,1,bulb,cut into 0.5 cm / 0.25 cubes,
50ml/2 fl oz sherry or brandy,sherry or brandy,50 2,ml fl oz,,/
"a few pecan nuts, finely chopped",a few pecan nuts,,,finely chopped,
"75g/3oz palm sugar, chopped",palm sugar,75 3,g oz,chopped,/
"2 spring onions, roughly chopped",spring onions,2,,roughly chopped,
200g/7oz cashews,cashews,200 7,g oz,,/
"3 large potatoes, peeled, sliced into discs 1cm/½in thick",potatoes,3,large,"peeled, sliced into discs 1 cm / 0.5 in thick",
"3 tbsp olive oil, plus extra for frying",olive oil,3,tbsp,,plus extra for frying
"425g/15oz potatoes, peeled and diced to 5mm/1/3in",potatoes,425 15,g oz,peeled and diced to 5 mm / 0.333 in,/
"300g/10½oz butternut squash, peeled, cut in half lengthways, seeds scooped out with a spoon, flesh chopped",butternut squash,300 10.5,g oz,"peeled, cut in half lengthways, seeds scooped out with a spoon, flesh chopped",/
30ml/1½fl oz cream,cream,30 1.5,ml fl oz,,/
"275g/10oz fresh, or frozen sweetcorn (about two cobs)",fresh,275 10,g oz,,or frozen sweetcorn (about 2 cobs) /
175g/6oz brown sugar,brown sugar,175 6,g oz,,/
25g/1oz raisins,raisins,25 1,g oz,,/
50g/1¾oz Dolcelatte cheese,Dolcelatte cheese,50 1.75,g oz,,/
250g/9oz fresh raspberries,fresh raspberries,250 9,g oz,,/
"plain flour, seasoned with salt and pepper",plain flour,,,seasoned with salt and pepper,
"½ peach, peeled and finely chopped",peach,0.5,,peeled and finely chopped,
"400g/14oz savoy cabbage, cut into 1cm/½ strips",savoy cabbage,400 14,g oz,cut into 1 cm / 0.5 strips,/
"70g/2¼oz rocket leaves, roughly torn",rocket leaves,70 2.25,g oz,roughly torn,/
"150g/5½oz white chocolate, roughly chopped",white chocolate,150 5.5,g oz,roughly chopped,/
3 whole star anise,whole star anise,3,,,
50g/1¾oz semi-dried grapes,semi-dried grapes,50 1.75,g oz,,/
20ml/4 tsp rosewater,rosewater,20 4,ml tsp,,/
2 tsp fennel seeds,fennel seeds,2,tsp,,
"4 live Cornish lobsters, each 500g/1lb 2oz",live Cornish lobsters,4 500 1 2,g lb oz,,"each , /"
"50g/2oz parmesan, or similar vegetarian hard cheese, freshly grated",parmesan,50 2,g oz,freshly grated,or similar vegetarian hard cheese /
"25-30 large spring roll wrappers, 15x15cm/6x6in square shape",spring roll wrappers,25-30,large,,15 x 15 cm / 6 x 6 in square shape
60ml/2fl oz water,water,60 2,ml fl oz,,/
250ml/9fl oz lamb stock or water,lamb stock or water,250 9,ml fl oz,,/
100ml/3½fl oz fresh coconut milk,fresh coconut milk,100 3.5,ml fl oz,,/
small bunch of fresh coriander,fresh coriander,,small bunch,,of
"675g/1½ lb beef fillet, preferably cut from the tail end",beef fillet,675 1.5,g lb,preferably cut from the tail end,/
16 green olives,green olives,16,,,
"¼ to ½ red, de-seeded chilli (may need to add more) OR ½tsp Tabasco to taste","red, de-seeded chilli",0.25-0.5,,,(may need to add more) OR 0.5 tsp Tabasco to taste
"75g/3oz rosemary, leaves picked",rosemary,75 3,g oz,leaves picked,/
1 tsp saffron strands,saffron strands,1,tsp,,
300g/10½oz raisins,raisins,300 10.5,g oz,,/
1 tsp ginger paste,ginger paste,1,tsp,,
½ swede,swede,0.5,,,
big pinch salt,salt,,big pinch,,
"110g/4oz butter, softened",butter,110 4,g oz,softened,/
1 carrot,carrot,1,,,
250g/9oz lemon curd,lemon curd,250 9,g oz,,/
"100g/3½oz capers, rinsed and drained",capers,100 3.5,g oz,rinsed and drained,/
"1 small sweet potato, peeled and cut into chunks",sweet potato,1,small,peeled and cut into chunks,
½ glass of full fat milk,full fat milk,0.5,glasses,,of
125ml/4½fl oz olive oil,olive oil,125 4.5,ml fl oz,,/
"200g/7 oz boiled, smoked ham, chopped",smoked ham,200 7,g oz,"boiled, chopped",/
1 tbsp chopped macadamia nuts,macadamia nuts,1,tbsp,chopped,
"½ garlic clove, finely sliced",garlic,0.5,clove,finely sliced,
"3 salad onion whites, finely chopped",salad onion whites,3,,finely chopped,
"sunflower or vegetable oil, for greasing",sunflower or vegetable oil,,,,for greasing
"150g/5oz feta, diced",feta,150 5,g oz,diced,/
100g/3½oz pink marshmallows,pink marshmallows,100 3.5,g oz,,/
small handful fresh coriander leaves,fresh coriander leaves,,small handful,,
"4 wild fennel fronds, chopped (optional)",wild fennel fronds,4,,chopped,(optional)
"1 head cauliflower, trimmed and broken into florets",cauliflower,1,head,trimmed and broken into florets,
"1 small bunch of rosemary, chopped",rosemary,1,small bunch,chopped,of
flaked coconut,coconut,,,flaked,
"200g/7oz onion, sliced",onion,200 7,g oz,sliced,/
½ bunch fresh thyme,fresh thyme,0.5,bunch,,
"1 large orange, grated zest only",orange,1,large,grated zest only,
"2 sticks lemongrass, bruised and finely chopped",lemongrass,2,sticks,bruised and finely chopped,
"vegetable oil, for shallow and deep frying",vegetable oil,,,,for shallow and deep frying
"100g/3½oz courgette, grated",courgette,100 3.5,g oz,grated,/
"100g/3½oz spinach, washed and dried",spinach,100 3.5,g oz,washed and dried,/
4 x 125g/4½oz balls buffalo mozzarella,balls buffalo mozzarella,4 x 125 4.5,g oz,,/
2 x 150g-200g/5½-7oz thick-cut beef fillets,thick-cut beef fillets,2 x 150-200 5.5-7,g g oz,,/
200g/7½oz brown crabmeat,brown crabmeat,200 7.5,g oz,,/
"2 ripe avocados, stone removed",ripe avocados,2,,stone removed,
85g/3oz milk,milk,85 3,g oz,,/
sea salt and crushed black pepper,sea salt and crushed black pepper,,,,
"200g/7oz hoki fillet, chopped into bite-sized pieces",hoki fillet,200 7,g oz,chopped into bite-sized pieces,/
"½ punnet each mixed berries - raspberries, blueberries and blackberries",punnet each mixed berries,0.5,,,"- raspberries, blueberries and blackberries"
"3 baby plum tomatoes, quartered",baby plum tomatoes,3,,quartered,
4 handfuls of raspberries (Scottish if possible),raspberries,4,handful,,"of, (Scottish if possible)"
3 tbsp fish sauce (nam pla),fish sauce,3,tbsp,,(nam pla)
"½ bunch fresh coriander, chopped",fresh coriander,0.5,bunch,chopped,
"4 portions wild sea bass, (about 140g/5oz each), pin boned",portions wild sea bass,4 140 5,g oz,pin boned,( about / each )
"4 tbsp extra virgin olive oil, plus extra for cooking",extra virgin olive oil,4,tbsp,,plus extra for cooking
75ml/3fl oz sherry vinegar,sherry vinegar,75 3,ml fl oz,,/
500ml/18fl oz hot chicken stock,hot chicken stock,500 18,ml fl oz,,/
"2 x 150g/5½oz veal tail fillet, trimmed, seasoned",veal tail fillet,2 x 150 5.5,g oz,"trimmed, seasoned",/
"½ mango, peeled and finely chopped",mango,0.5,,peeled and finely chopped,
10-15ml/2-3 tsp soy sauce,soy sauce,10-15 2-3,ml tsp,,/
"1 clove garlic, chopped roughly",garlic,1,clove,chopped roughly,
"100g/1¾oz Edam, grated",Edam,100 1.75,g oz,grated,/
"25g/1oz dark chocolate, melted",dark chocolate,25 1,g oz,melted,/
"basmati rice, cooked according to packet instructions, to serve",basmati rice,,,cooked according to packet instructions,to serve
2 tbsp Chinese five-spice powder,Chinese 5 spice powder,2,tbsp,,
2 bits of stem ginger,bits of stem ginger,2,,,
"2 ripe avocados, flesh only, cut into chunky dice",ripe avocados,2,,cut into chunky dice,flesh only
"1 courgette, cut into thin matchsticks",courgette,1,,cut into thin matchsticks,
"150g/5½oz plain chocolate, finely chopped, preferably with a high percentage of cocoa solids",plain chocolate,150 5.5,g oz,finely chopped,preferably with a high percentage of cocoa solids/
2 tbsp peanut oil,peanut oil,2,tbsp,,
"200g/7oz aburaage (thinly sliced deep-fried tofu, available from Japanese supermarkets), shredded into 1cm/½in lengths",aburaage,200 7,g oz,shredded into 1 cm / 0.5 in lengths,"/ (thinly sliced deep-fried tofu, available from Japanese supermarkets)"
1 tbsp sunflower margarine,sunflower margarine,1,tbsp,,
"12 lamb chops, French trimmed",lamb,12,,"chops, French trimmed",
"150g/5½oz lamb neck fillet, sliced",lamb neck fillet,150 5.5,g oz,sliced,/
2 large spring onions,spring onions,2,large,,
"1 handful green beans, trimmed",green beans,1,handful,trimmed,
"½ Bramley apple, peeled and chopped",Bramley apple,0.5,,peeled and chopped,
"115g/4oz shallots, sliced",shallots,115 4,g oz,sliced,/
200ml/7fl oz semi-skimmed milk,semi-skimmed milk,200 7,ml fl oz,,/
"flatleaf parsley, chopped",flatleaf parsley,,,chopped,
"5 large spring onions, trimmed, roughly sliced on the diagonal",spring onions,5,large,"trimmed, roughly sliced on the diagonal",
"4 x 150g/5oz thick halibut fillets, skins removed",thick halibut fillets,4 x 150 5,g oz,skins removed,/
750g/1lb 10oz marzipan,marzipan,750 1 10,g lb oz,,/
"6 slices streaky bacon, roughly chopped",streaky bacon,6,slice,roughly chopped,
"2 medium King Edward potatoes, cut into 2cm/¾in cubes",King Edward potatoes,2,medium,cut into 2 cm / 0.75 in cubes,
"10 vine-ripened tomatoes, chopped",vine-ripened tomatoes,10,,chopped,
"3 long shallots, peeled and finely sliced",long shallots,3,,peeled and finely sliced,
"1-2 tsp lemon juice, or to taste",lemon juice,1-2,tsp,,or to taste
"650g/1lb 7oz ripe tomatoes, skinned, chopped",ripe tomatoes,650 1 7,g lb oz,"skinned, chopped",/
"5 shallots (preferably Thai), sliced",shallots,5,,sliced,(preferably Thai)
"1 tbsp oil or butter, for frying",oil or butter,1,tbsp,,for frying
"500g/1lb 2oz pork shoulder, cut into 3-4cm/1½ pieces",pork shoulder,500 1 2 1.5,g lb oz piece,cut into 3-4 cm,/ /
"1.5kg/3lb 5oz salmon fillet, skin on, pin boned, washed and patted dry",salmon fillet,1.5 3 5,kg lb oz,"skin on, pin boned, washed and patted dry",/
1 tsp liquorice essence,liquorice essence,1,tsp,,
1 tbsp dry vermouth,dry vermouth,1,tbsp,,
"250g/9oz spring greens, thickly sliced",spring greens,250 9,g oz,thickly sliced,/
2 tbsp chopped thyme leaves,thyme leaves,2,tbsp,chopped,
290ml/½ pint mascarpone,mascarpone,290 0.5,ml pint,,/
125g/4½oz fresh blackberries,fresh blackberries,125 4.5,g oz,,/
"¼ onion, cut into wedges",onion,0.25,,cut into wedges,
"50g/1¾oz hard sweets, such as glacier mints, coloured hard boiled sweets, buttermints, or hard toffees",hard sweets,50 1.75,g oz,,"/ such as glacier mints, coloured hard boiled sweets, buttermints, or hard toffees"
"600g/1lb 5oz lamb leg steaks, all visible fat removed (500g/1lb 2oz after the fat is cut off), cut into bite-size pieces",lamb leg steaks,600 1 5 500 1,g lb oz g lb,"all visible fat removed, 2 oz after the fat is cut off, cut into bite-size pieces",/ ( / )
small handful fresh chervil,fresh chervil,,small handful,,
"2 lemons, zest only (the juice is used for apple sauce, below)",lemons,2,,zest only,"(the juice is used for apple sauce, below)"
"250g/9oz strong white bread flour, plus extra for dusting",strong white bread flour,250 9,g oz,,plus extra for dusting /
375ml/13fl oz buttermilk,buttermilk,375 13,ml fl oz,,/
4 ready-made sponge fingers,ready-made sponge fingers,4,,,
100g/3½oz mascarpone cheese,mascarpone cheese,100 3.5,g oz,,/
"6 shallots, roughly sliced",shallots,6,,roughly sliced,
1 tbsp salted capers,salted capers,1,tbsp,,
"1 large bunch fresh chives, finely chopped",fresh chives,1,large bunch,finely chopped,
300ml/10fl oz dry white wine,dry white wine,300 10,ml fl oz,,/
"1 shoulder lamb, boned and butterflied",shoulder lamb,1,,boned and butterflied,
4 legs duck confit,legs duck confit,4,,,
"50g/1¾oz Cheshire cheese, grated",Cheshire cheese,50 1.75,g oz,grated,/
2-3 tbsp crème de cassis (optional),crème de cassis,2-3,tbsp,,(optional)
"55g/2oz purple sprouting broccoli, chopped",purple sprouting broccoli,55 2,g oz,chopped,/
"Worcestershire sauce, to taste",Worcestershire sauce,,,,to taste
dash of white wine,white wine,,dash,,of dash
50g/2oz vanilla sugar,vanilla sugar,50 2,g oz,,/
500ml/17fl oz lamb stock (reserved from stew base),lamb stock,500 17,ml fl oz,,(reserved from stew base) /
8 slices streaky bacon,streaky bacon,8,slice,,
1-2 tbsp quinoa,quinoa,1-2,tbsp,,
few parsley stalks,parsley stalks,few,,,
80g/3oz amarillo paste (from above),amarillo paste,80 3,g oz,,(from above) /
"150ml/5fl oz alcohol of your choice, such as rum, sherry or limoncello (optional)","alcohol of your choice, sherry or limoncello",150 5,ml fl oz,,"such as rum, (optional) /"
60g/2¼oz fresh basil leaves,fresh basil leaves,60 2.25,g oz,,/
"vegetable fat (such as Trex), for greasing",vegetable fat,,,,"(such as Trex), for greasing"
1 tbsp five-spice powder,5 spice powder,1,tbsp,,
"110g/3¾oz clarified butter (ghee), plus extra for greasing",clarified butter,110 3.75,g oz,,"(ghee), plus extra for greasing /"
"100g/3½oz green beans, chopped",green beans,100 3.5,g oz,chopped,/
"4 slices bacon, fried until crisp",bacon,4,slice,fried until crisp,
"200g/7oz smoked back bacon, cut into lardons",smoked back bacon,200 7,g oz,cut into lardons,/
"30g/1oz goats' cheese, halved",goats' cheese,30 1,g oz,halved,/
lemon slices dredged in icing sugar,lemon slices,,,dredged in icing sugar,
4 thin slices smoked ham (roughly 130g/4½oz),smoked ham,4 130 4.5,thin slice g oz,,( roughly / )
"75g/3oz type ‘00’ pasta flour, plus extra for dusting",type 00’ pasta flour,75 3,g oz,,plus extra for dusting /
"oil, to cook",oil,,,,to cook
"100g/3½oz dried sour cherries, soaked in water",dried sour cherries,100 3.5,g oz,soaked in water,/
"300g/10½oz roasted red peppers in oil, drained and sliced",roasted red peppers in oil,300 10.5,g oz,drained and sliced,/
"½ bunch baby heritage beetroots, cleaned and trimmed, leaves reserved",baby heritage beetroots,0.5,bunch,"cleaned and trimmed, leaves reserved",
"2 rashers smoked streaky bacon, roughly chopped",smoked streaky bacon,2,rashers,roughly chopped,
"6 sticks celery, roughly chopped",celery,6,sticks,roughly chopped,
3 tbsp red sundried tomato pesto,red sundried tomato pesto,3,tbsp,,
170ml/6fl oz stock,stock,170 6,ml fl oz,,/
"75g/2½oz onion, finely chopped",onion,75 2.5,g oz,finely chopped,/
1 handful red Peppadew peppers,red Peppadew peppers,1,handful,,
8-10 pickling onions (or 2-3 small onions),pickling onions,8-10,,,(or 2-3 small onions)
"2 oranges, juice and zest only",oranges,2,,juice and zest only,
12 hand dived scallops,hand dived scallops,12,,,
60g/2¼oz egg whites,egg whites,60 2.25,g oz,,/
"1 garlic clove, finely chopped",garlic,1,clove,finely chopped,
"275g/10oz plain flour, plus extra for dusting",plain flour,275 10,g oz,,plus extra for dusting /
"12 radishes, thinly sliced",radishes,12,,thinly sliced,
"1 large onion, peeled and cut into chunks",onion,1,large,peeled and cut into chunks,
"1 cos lettuce, cut into thin strips",cos lettuce,1,,cut into thin strips,
3 tsp sherry vinegar,sherry vinegar,3,tsp,,
"225ml/8fl oz Earl Grey tea, hot",Earl Grey tea,225 8,ml fl oz,hot,/
450g/1lb fresh tagliatelle,fresh tagliatelle,450 1,g lb,,/
2 tsp coriander seeds,coriander seeds,2,tsp,,
150g/5½oz brown breadcrumbs,brown breadcrumbs,150 5.5,g oz,,/
"4 tomatoes, peeled, seeds removed, finely chopped",tomatoes,4,,"peeled, seeds removed, finely chopped",
"875g/1lb 15oz potatoes, peeled, sliced",potatoes,875 1 15,g lb oz,"peeled, sliced",/
2 star anis,star anis,2,,,
"single cream, to serve",single cream,,,,to serve
splash of sweet chilli sauce,sweet chilli sauce,,splash,,of
3 tbsp blackcurrant purée (see above),blackcurrant purée,3,tbsp,,(see above)
200g/7oz good-quality dark chocolate roughly chopped,dark chocolate,200 7,g oz,roughly chopped,good-quality /
50g/2oz candied angelica,candied angelica,50 2,g oz,,/
"2.5cm/1in fresh root ginger, cut into fine strips",fresh root ginger,2.5 1,cm in,cut into fine strips,/
2cm/¾in knob fresh root ginger finely sliced,fresh root ginger,2 0.75,cm in knob,finely sliced,/
"5 spring onions, sliced",spring onions,5,,sliced,
"3 scallops, cleaned and orange foot removed",scallops,3,,cleaned and orange foot removed,
1½ tbsp desiccated coconut,coconut,1.5,tbsp,desiccated,
"½ bunch fresh marjoram, leaves only",fresh marjoram,0.5,bunch,,leaves only
"50g/1¾oz dark chocolate, chopped into chunks",dark chocolate,50 1.75,g oz,chopped into chunks,/
"handful mint, roughly chopped",mint,,handful,roughly chopped,
"200g/7oz prunes, roughly chopped",prunes,200 7,g oz,roughly chopped,/
"8 baby violet artichokes, finely sliced",baby violet artichokes,8,,finely sliced,
"1 bunch chives, finely snipped",chives,1,bunch,finely snipped,
"1 head little gem lettuce, leaves separated",little gem lettuce,1,head,leaves separated,
"75g/3oz prosciutto, sliced roughly",prosciutto,75 3,g oz,sliced roughly,/
"whipped cream, ice-cream or whipped cream with a little icing sugar","whipped cream, ice-cream or whipped cream, icing sugar",,,with a little,
"250g/9oz Peking roast duck, boned and cut into small pieces",Peking roast duck,250 9,g oz,boned and cut into small pieces,/
Italian extra virgin olive oil,Italian extra virgin olive oil,,,,
"½ tsp chilli paste, preferably gochujang (Korean chilli paste)",chilli paste,0.5,tsp,,preferably gochujang (Korean chilli paste)
"1 small onion, peeled and cut in half",onion,1,small,peeled and cut in half,
"3cm/¼in fresh root ginger, grated",fresh root ginger,3 0.25,cm in,grated,/
"10 kokum (cocum) pods, soaked in 110ml/4floz hot water to soften (available from some Asian grocers)",kokum (cocum) pods,10,,soaked in 110 ml / 4 floz hot water to soften,(available from some Asian grocers)
"1 lemon, juice and finely grated zest (no pith)",lemon,1,,,juice and finely grated zest (no pith)
"½ red onion, cut into thick rings",red onion,0.5,,cut into thick rings,
2 slices white country-style bread,white country-style bread,2,slice,,
"sunflower oil, for frying",sunflower oil,,,,for frying
3 very fresh lambs' kidneys,fresh lambs' kidneys,3,very,,
2 75g/2¾oz beef fillet medallions,beef fillet medallions,2 75 2.75,g oz,,/
"400g/14oz pork tenderloin fillet, cut into thin strips",pork tenderloin fillet,400 14,g oz,cut into thin strips,/
2 tsp cayenne,cayenne,2,tsp,,
"1 slice day-old bread, crusts removed, grated",day-old bread,1,slice,"crusts removed, grated",
"100g/3½oz asparagus, sliced",asparagus,100 3.5,g oz,sliced,/
drop of vanilla essence,vanilla essence,,drop,,of
2 cooked beetroot (not in vinegar),cooked beetroot,2,,,(not in vinegar)
300g/10½ oz pecans,pecans,300 10.5,g oz,,/
2 poussin breasts,poussin breasts,2,,,
20g/¾oz instant yeast,instant yeast,20 0.75,g oz,,/
"75g/2½oz sugar-snap peas, thinly sliced",sugar-snap peas,75 2.5,g oz,thinly sliced,/
1½ tsp fine sea salt,fine sea salt,1.5,tsp,,
"250g/9oz celeriac, peeled and chopped",celeriac,250 9,g oz,peeled and chopped,/
2 rib-eye steaks (about 225g/8oz each),rib-eye steaks,2 225 8,g oz,,( about / each )
"6 black olives, pitted, in half",black olives,6,,"pitted, in half",
"½ onion, sliced",onion,0.5,,sliced,
1 tbsp chopped sage leaves,sage leaves,1,tbsp,chopped,
30g/1oz chopped fresh flatleaf parsley,fresh flatleaf parsley,30 1,g oz,chopped,/
"5 large tomatillos, roughly chopped",tomatillos,5,large,roughly chopped,
"4 T-bone steaks, at room temperature",T-bone steaks,4,,at room temperature,
12g/⅓oz liquid glucose,liquid glucose,12 0.333,g oz,,/
450g/1lb lean minced beef,lean beef,450 1,g lb,minced,/
"2 eating apples, cored, roughly chopped",eating apples,2,,"cored, roughly chopped",
"1 kaffir lime, or normal lime, zest only",kaffir lime,1,,zest only,or normal lime
"75g/3oz mature cheddar, coarsely grated",mature cheddar,75 3,g oz,coarsely grated,/
2 cos lettuces,cos lettuces,2,,,
50g/1¾oz arborio rice,arborio rice,50 1.75,g oz,,/
4 slices of Ibérico ham,Ibérico ham,4,slice,,of
½ tsp mixed herbs,mixed herbs,0.5,tsp,,
"about 100g/3½oz glacé cherries, chopped",glacé cherries,100 3.5,g oz,chopped,about /
"1 aubergine, halved lengthways and cut into 1cm/½in slices",aubergine,1,,halved lengthways and cut into 1 cm / 0.5 in slices,
75g/3oz mixed salad leaves,mixed salad leaves,75 3,g oz,,/
50ml/2floz vegetable oil,vegetable oil,50 2,ml floz ,,/
"480g/17oz mixed beetroot such as Candy, Bull's Blood and Golden, washed, leaves reserved (see below)",mixed beetroot,480 17,g oz,"washed, leaves reserved","such as Candy, Bull's Blood and Golden, (see below) /"
"sunflower or vegetable oil, for shallow frying",sunflower or vegetable oil,,,,for shallow frying
1 tbsp coarsely crushed coriander seeds,coriander seeds,1,tbsp,coarsely crushed,
"2 unwaxed limes, grated zest and juice","unwaxed limes, zest and juice",2,,grated,
½ tsp prepared English mustard,prepared English mustard,0.5,tsp,,
"6 sausages, at least 85% meat",sausages,6,,,at least 85% meat
"steamed green vegetables, to serve",green vegetables,,,steamed,to serve
50g/1¾oz demerara sugar,demerara sugar,50 1.75,g oz,,/
250g/9oz flour,flour,250 9,g oz,,/
"chervil cress, to garnish",chervil cress,,,,to garnish
"1 lemon, juice only, to serve",lemon,1,,,"juice only, to serve"
"15g/½oz butter, chopped",butter,15 0.5,g oz,chopped,/
"⅔ bird’s-eye chilli, finely chopped and seeds removed",bird’s-eye chilli,0.667,,finely chopped and seeds removed,
"plain flour, for dusting fish",plain flour,,,,for dusting fish
