input,name,quantity,unit,size,preparation,comment,purpose
"1 tomato, flesh only, finely chopped",tomato,1,,,finely chopped,flesh only,
150ml/5fl oz fresh cold vanilla custard,fresh cold vanilla custard,150 5,ml fl oz,,,,
7.5g salt,salt,7.5,g,,,,
1 large egg yolk,egg yolk,1,,large,,,
"100g/3½oz cockles, thoroughly washed to remove any sand or silt",cockles,100 3#1$2,g oz,,thoroughly washed to remove any sand or silt,,
"½ carrot, peeled and chopped",carrot,#1$2,,,peeled and chopped,,
"1 garlic clove, chopped very finely",garlic,1,clove,,chopped very finely,,
"100g/3½oz brown lentils, rinsed",brown lentils,100 3#1$2,g oz,,rinsed,,
1 sprig fresh fennel seeds or 1 tsp crushed dried fennel seeds,fresh fennel seeds,1,sprig,,,or 1 tsp crushed dried fennel seeds,
300g/11oz lean beef mince,lean beef mince,300 11,g oz,,,,
25g/1oz gammon chopped,gammon,25 1,g oz,,chopped,,
6 tbsp fish sauce,fish sauce,6,tbsp,,,,
bunch redcurrants,redcurrants,,bunch,,,,
"5cm/2in piece fresh ginger, peeled, grated",fresh ginger,5 2,cm in piece,,peeled grated,,
sunflower oil,sunflower oil,,,,,,
"30g/1½oz capers in vinegar, rinsed",capers in vinegar,30 1#1$2,g oz,,rinsed,,
100g/3½oz raspberries,raspberries,100 3#1$2,g oz,,,,
"1 large corn-fed chicken, jointed into 8 pieces",corn-fed chicken,1,,large,jointed into 8 piece,,
2 glasses white wine,white wine,2,glass,,,,
50g/2oz dark muscavado sugar,dark muscavado sugar,50 2,g oz,,,,
175ml/6fl oz full fat plain yoghurt,full fat plain yoghurt,175 6,ml fl oz,,,,
handful fresh coriander (stalks are fine here),fresh coriander,,handful,,,stalk are fine here,
15g/½oz Stilton cheese,Stilton cheese,15 #1$2,g oz,,,,
"1 large red pepper, de-seeded, roughly chopped",red pepper,1,,large,de-seeded roughly chopped,,
"1 tbsp fresh dill, roughly chopped",fresh dill,1,tbsp,,roughly chopped,,
"400g/14oz potatoes, peeled and cut into chips",potatoes,400 14,g oz,,peeled and cut into chips,,
2 tbsp sunflower or pumpkin seeds (optional),sunflower or pumpkin seeds,2,tbsp,,,optional,
8 skinless and boneless chicken thighs (approximately 500g/1lb 2oz),skinless and boneless chicken thighs,8 500 1 2,g lb oz,,,approximately,
25ml/1fl oz Shaoxing rice wine,Shaoxing rice wine,25 1,ml fl oz,,,,
"500g/1lb 2oz yellow or white yams, peeled and cut into 1cm/½in chunks",yellow or white yams,500 1 2,g lb oz,,peeled and cut into 1 cm #1$2 in chunk,,
"½ lime, juice, only",lime,#1$2,,,,juice only,
"mixed fresh fruits, to serve",mixed fresh fruits,,,,,,to serve
"1 tbsp flatleaf parsley, leaves only, torn",flatleaf parsley,1,tbsp,,torn,leaf only,
"1kg/2lb 3oz lamb shoulder, cut into large cubes",lamb shoulder,1 2 3,kg lb oz,,cut into large cube,,
bones from the pork belly (ask your butcher for these),bones from the pork belly,,,,,ask your butcher for these,
2 tsp sunflower oil (if necessary),sunflower oil,2,tsp,,,if necessary,
"1 chorizo sausage, sliced into 3mm/⅛in thick slices",chorizo sausage,1,,,sliced into 3 mm #1$8 in thick slice,,
"75g/2½oz cooked beetroot, cut into wedges",beetroot,75 2#1$2,g oz,,cooked cut into wedge,,
"4-6 soft white bread rolls, sliced",soft white bread rolls,4-6,,,sliced,,
"45g/1½oz unsalted butter, cut into small pieces",unsalted butter,45 1#1$2,g oz,,cut into small piece,,
"2 handfuls watercress, leaves picked",watercress,2,handful,,leaf picked,,
80g/2¾oz egg whites (about 2 large egg whites),egg whites egg whites,80 2#3$4 2,g oz,large,,about,
3 medium eggs,eggs,3,,medium,,,
60g/2½oz caster sugar,caster sugar,60 2#1$2,g oz,,,,
"25g/1oz mozzarella, sliced",mozzarella,25 1,g oz,,sliced,,
1 small Little Gem lettuce,Little Gem lettuce,1,,small,,,
"parsley or chervil sprigs, to garnish",parsley or chervil sprig,,,,,,to garnish
"175g/6oz stilton, preferably Colston Bassett Stilton",stilton,175 6,g oz,,,preferably Colston Bassett Stilton,
"4 x 180g/6oz duck breasts, chilled in the refrigerator",duck breasts,4x 180 6,g oz,,chilled in the refrigerator,,
"600g/1lb¼oz shin beef, chopped into large chunks",shin beef,600 1 #1$4,g lb oz,,chopped into large chunk,,
1 loaf sourdough bread,sourdough bread,1,loaf,,,,
100g/3½oz whole blanched hazelnuts,whole blanched hazelnuts,100 3#1$2,g oz,,,,
1-2 tbsp hot water,hot water,1-2,tbsp,,,,
"150g/5¼oz sirloin steak, cut in half",sirloin steak,150 5#1$4,g oz,,cut in half,,
225ml/8fl oz olive oil,olive oil,225 8,ml fl oz,,,,
"1 slice day-old bread, grated",day-old bread,1,slice,,grated,,
500ml/18fl oz ale,ale,500 18,ml fl oz,,,,
"4 halibut steaks, bone in and skin on",halibut steaks,4,,,bone in and skin on,,
"100g/4oz cauliflower, small florets",cauliflower,100 4,g oz,,small florets,,
150ml/5fl oz dark rum,dark rum,150 5,ml fl oz,,,,
150g/5oz white miso paste,white miso paste,150 5,g oz,,,,
"300g/10½oz cold butter, cut into cubes",cold butter,300 10#1$2,g oz,,cut into cube,,
1 loaf of crusty bread,crusty bread,1,loaf,,,of,
"165g/5¾oz whole lemon sole, cleaned and filleted",whole lemon sole,165 5#3$4,g oz,,cleaned and filleted,,
1 small piece nutmeg,nutmeg,1,small piece,,,,
85g/3oz scallop meat,scallop meat,85 3,g oz,,,,
milk chocolate buttons,milk chocolate buttons,,,,,,
"4 white marshmallows, cut into quarters",white marshmallows,4,,,cut into quarters,,
4 partridges,partridges,4,,,,,
3 stems rosemary,rosemary,3,stem,,,,
"1 tube squid, cleaned and scored",squid,1,tube,,cleaned and scored,,
"25g/1oz butter, melted, for greasing",butter,25 1,g oz,,melted,,for greasing
"80g/3oz butter, diced",butter,80 3,g oz,,diced,,
2 tbsp coarsely chopped fresh parsley,fresh parsley,2,tbsp,,coarsely chopped,,
"sea salt, to season",sea salt,,,,,to season,
25g/1oz Dijon mustard,Dijon mustard,25 1,g oz,,,,
"5 garlic cloves, crushed and chopped",garlic,5,clove,,crushed and chopped,,
"12 medium Scotch bonnet chillies, stems removed, roughly chopped",Scotch bonnet chillies,12,,medium,stem removed roughly chopped,,
"400g/14oz pumkpin (such as Delica), peeled, seeds removed, cut into 1cm/½in dice",pumkpin,400 14,g oz,,peeled seeds removed cut into 1 cm #1$2 in dice,such as Delica,
½ tsp cinnamon,cinnamon,#1$2,tsp,,,,
1 tbsp chopped dill fronds,dill fronds,1,tbsp,,chopped,,
2-3 tsp Thai fish sauce,Thai fish sauce,2-3,tsp,,,,
3 tbsp sweet chilli sauce mixed with 2 tbsp mayonnaise,sweet chilli sauce,3,tbsp,,mixed with 2 tbsp mayonnaise,,
2 tsp Thai fish sauce (nam pla),Thai fish sauce nam pla,2,tsp,,,,
140g/5oz ground almonds,ground almonds,140 5,g oz,,,,
"8 spears asparagus, chopped",asparagus,8,spears,,chopped,,
500g/17oz minced beef,minced beef,500 17,g oz,,,,
1 tbsp turmeric,turmeric,1,tbsp,,,,
"3 tbsp flour, for dusting",flour,3,tbsp,,,,for dusting
"1kg/2lb 3¼oz type '00' flour, plus extra for dusting",type '00' flour,1 2 3#1$4,kg lb oz,,,plus extra for dusting,
"200g/8oz baby spinach, stems removed, washed",baby spinach,200 8,g oz,,stem removed washed,,
"6 free-range eggs, plus 6 free-range egg yolks",free-range eggs,6,,,,plus 6 free-range egg yolks,
"4 slices prosciutto or Parma ham, each cut into 3 strips",prosciutto or Parma ham,4,slice,,each cut into 3 strip,,
35ml/1½fl oz strong cold Earl Grey tea,strong cold Earl Grey tea,35 1#1$2,ml fl oz,,,,
"40g/1½oz white cabbage, shredded",white cabbage,40 1#1$2,g oz,,shredded,,
"2 bird's-eye red chillies, chopped",bird's-eye red chillies,2,,,chopped,,
"½ lemon, zest and juice",lemon,#1$2,,,zest and juice,,
"450g/1lb large leaf spinach, washed",large leaf spinach,450 1,g lb,,washed,,
"150g/5oz ready-made meringues, roughly broken up",ready-made meringues,150 5,g oz,,roughly broken up,,
"1 lime, zest and juice only, (keep separate)",lime,1,,,zest and juice only,keep separate,
"1-2 tbsp elderflower cordial, preferably homemade",elderflower cordial,1-2,tbsp,,,preferably homemade,
"reserved fennel stem, finely chopped (see below)",reserved fennel stem,,,,finely chopped,see below,
"1 daikon, peeled and thinly sliced the",daikon,1,,,peeled and thinly sliced the,,
"6-8 fresh passion fruit, seeds and pulp only",fresh passion fruit,6-8,,,seeds and pulp only,,
"600g/1lb 5oz rack pork loin ribs, cut into four portions",pork loin rib,600 1 5,g lb oz rack,,cut into four portions,,
"2 heads Little Gem lettuce, leaves separated and washed",Little Gem lettuce,2,head,,leaf separated and washed,,
"2-3 sprigs lemon thyme, chopped finely",lemon thyme,2-3,sprig,,chopped finely,,
750ml/1pint 6fl oz red wine,red wine,750 1 6,ml pint fl oz,,,,
100g/4oz leftover mashed potato,leftover mashed potato,100 4,g oz,,,,
150ml/¼ pint red wine,red wine,150 #1$4,ml pint,,,,
"2 gelatine leaves, soaked in water for at least five minutes",gelatine,2,leaf,,soaked in water for at least five minutes,,
large handful spinach leaves,spinach leaf,,large handful,,,,
"2 carrots, peeled and finely diced",carrots,2,,,peeled and finely diced,,
"2 sprigs fresh rosemary, leaves only, finely chopped",fresh rosemary,2,sprig,,finely chopped,leaf only,
"4 garlic cloves, peeled and pounded into a paste in a pestle and mortar",garlic,4,clove,,peeled and pounded into a paste in a pestle and mortar,,
"55g/2oz Gruyère cheese, chopped",Gruyère cheese,55 2,g oz,,chopped,,
"small handful fresh coriander leaves, roughly chopped",fresh coriander leaf,,small handful,,roughly chopped,,
180g/6oz pack pulled ham hock,pulled ham hock,180 6,g oz pack,,,,
150g/5½oz gammon steak,gammon steak,150 5#1$2,g oz,,,,
"4 carrots, peeled",carrots,4,,,peeled,,
70g/2½oz raisins,raisins,70 2#1$2,g oz,,,,
1 slice fruit loaf,fruit loaf,1,slice,,,,
"2 Bramley apples, peeled, cored, thinly sliced",Bramley apples,2,,,peeled cored thinly sliced,,
generous pinch ground cloves,ground clove,,generous pinch,,,,
"1 pak choi, cut into 4",pak choi,1,,,cut into 4,,
"100g/3½oz butter, softened, plus extra for greasing",butter,100 3#1$2,g oz,,softened,plus extra for greasing,
"3 lemons, halved",lemons,3,,,halved,,
40ml/1¼fl oz mirin,mirin,40 1#1$4,ml fl oz,,,,
20g/¾oz dried red chilli flakes,dried red chilli flakes,20 #3$4,g oz,,,,
"1 small squid (500g/1lb 2oz), cleaned, tentacles reserved and squid sliced into thin rings",squid,1 500 1 2,g lb oz,small,cleaned tentacles reserved and squid sliced into thin rings,,
"handful green cherry tomatoes, quartered",green cherry tomatoes,,handful,,quartered,,
"1 red chilli, finely sliced on the diagonal",red chilli,1,,,finely sliced on the diagonal,,
"1 English eating apple, cored and cut into wedges",English eating apple,1,,,cored and cut into wedge,,
large bag young spinach leaves,young spinach leaf,,large bag,,,,
"1 shallot, finely chopped",shallot,1,,,finely chopped,,
100g/3½oz whole green pitted olives,whole green pitted olives,100 3#1$2,g oz,,,,
"1 x 5kg/11lb good-quality free-range turkey, preferably organically reared, wishbone removed (ask your butcher to remove the wings and neck and chop them into 2.5cm/1in pieces to use in the dish)",good-quality free-range turkey,1x 5 11,kg lb,,wishbone removed,preferably organically reared ask your butcher to remove the wings and neck and chop them into 2.5 cm 1 in piece to use in the dish,
"150g/5oz dried cranberries, chopped",dried cranberries,150 5,g oz,,chopped,,
6 strawberries,strawberries,6,,,,,
40 mushrooms (approx 4-5 per person),mushrooms,40,,,,approx 4-5 per person,
4kg/9lb beef short ribs,beef short rib,4 9,kg lb,,,,
"4 tbsp coriander leaves, roughly chopped",coriander leaf,4,tbsp,,roughly chopped,,
"4 king prawns, shells removed, de-veined",king prawns,4,,,shells removed de-veined,,
small handful chives,chives,,small handful,,,,
45ml/1¾oz white wine vinegar,white wine vinegar,45 1#3$4,ml oz,,,,
"oil for deep frying, plus 2 tbsp extra",oil,,,,,plus 2 tbsp extra,for deep frying
75g/2½oz sugar snap peas,sugar snap peas,75 2#1$2,g oz,,,,
6 tbsp dry white wine,dry white wine,6,tbsp,,,,
"100g/3½oz vintage Comté cheese, finely grated",vintage Comté cheese,100 3#1$2,g oz,,finely grated,,
1–2 tbsp chopped fresh coriander,fresh coriander,1-2,tbsp,,chopped,,
"2 sprigs rosemary, finely chopped",rosemary,2,sprig,,finely chopped,,
"450g/1lb beef fillet, cut into thick slices 5cm/2in long, cut against the grain",beef fillet,450 1,g lb,,cut into thick slice 5 cm 2 in long cut against the grain,,
"1 red pepper, quartered, deseeded and sliced",red pepper,1,,,quartered deseeded and sliced,,
"150ml/5½fl oz beef jus, or reduced beef stock",beef jus or reduced beef stock,150 5#1$2,ml fl oz,,,,
5 tbsp red wine,red wine,5,tbsp,,,,
"100g/3½oz tinned tuna, drained",tinned tuna,100 3#1$2,g oz,,drained,,
2 tsp instant espresso powder or strong instant coffee powder,instant espresso powder or strong instant coffee powder,2,tsp,,,,
fresh lemon thyme (optional),fresh lemon thyme,,,,,optional,
"generous knob cold butter, or dash olive oil",cold butter,,generous knob,,,or dash olive oil,
"1 punnet strawberries, hulled and halved",strawberries,1,punnet,,hulled and halved,,
"175g/6oz good quality course cut marmalade, plus 5 tbsp extra",good quality course cut marmalade,175 6,g oz,,,plus 5 tbsp extra,
"½ lemon, juice and zest, plus lemon wedges, to garnish",lemon,#1$2,,,juice and zest,plus lemon wedge to garnish,
"mascarpone, to serve",mascarpone,,,,,,to serve
50g/1¾oz diced leeks,leeks,50 1#3$4,g oz,,diced,,
"4.5kg/10lb 2oz potato, peeled, finely chopped",potato,4.5 10 2,kg lb oz,,peeled finely chopped,,
"500g/1lb 2oz leftover roast lamb, finely diced",leftover roast lamb,500 1 2,g lb oz,,finely diced,,
"1 tsp fresh oregano, plus extra for serving",fresh oregano,1,tsp,,,plus extra for serving,
"1 bunch of Vietnamese or Thai basil, chopped",Vietnamese or Thai basil,1,bunch,,chopped,of,
"25g/1oz vegetable shortening, plus extra for kneading",vegetable shortening,25 1,g oz,,,plus extra for kneading,
10g/½oz flat parsley leaves,flat parsley leaf,10 #1$2,g oz,,,,
1 tbsp mushroom sauce or oyster sauce,mushroom sauce or oyster sauce,1,tbsp,,,,
"80ml/3fl oz olive oil, plus extra for drizzling",olive oil,80 3,ml fl oz,,,plus extra for drizzling,
200ml/7fl oz chicken stock (vegetarians can substitute vegetable stock),chicken stock,200 7,ml fl oz,,,vegetarians can substitute vegetable stock,
8 rashers streaky smoked bacon,streaky smoked bacon,8,rasher,,,,
750ml/1¼ pints red wine,red wine,750 1#1$4,ml pint,,,,
a few drops of Worcestershire sauce,Worcestershire sauce,few,drop,,,a of,
"6 tbsp flatleaf parsley, leaves only",flatleaf parsley,6,tbsp,,,leaf only,
225g/8oz medium fat curd cheese,medium fat curd cheese,225 8,g oz,,,,
½ teaspoon mixed spice,mixed spice,#1$2,teaspoon,,,,
1 tsp finely chopped banana shallot,banana shallot,1,tsp,,finely chopped,,
3 medium aubergines,aubergines,3,,medium,,,
2 x 8g sachets pectin,pectin,2x 8,g sachet,,,,
6 turns black peppermill,turns black peppermill,6,,,,,
200ml/7fl oz chicken stock (½ stock cube dissolved),chicken stock,200 7,ml fl oz,,,#1$2 stock cube dissolved,
3 tbsp finely chopped fresh flatleaf parsley,fresh flatleaf parsley,3,tbsp,,finely chopped,,
"custard, to serve",custard,,,,,,to serve
15g/½oz dried yeast,dried yeast,15 #1$2,g oz,,,,
2 cinnamon stick,cinnamon stick,2,,,,,
50g/1½oz goats' cheese,goats' cheese,50 1#1$2,g oz,,,,
"1 chilli, halved lengthways, halved again widthways and deseeded",chilli,1,,,halved lengthways halved again widthways and deseeded,,
150g/5½oz cooked and peeled crayfish tails,crayfish tails,150 5#1$2,g oz,,cooked and peeled,,
"1 medium cucumber, seeds removed, diced",cucumber,1,,medium,seeds removed diced,,
125ml/4fl oz beer,beer,125 4,ml fl oz,,,,
2 tsp sesame oil,sesame oil,2,tsp,,,,
"5 large leeks, trimmed",leeks,5,,large,trimmed,,
"8 lychees, peeled and stoned",lychees,8,,,peeled and stoned,,
"1 tsp fresh lemon, juice and grated zest only",fresh lemon,1,tsp,,juice and grated zest only,,
"3 tbsp chives, finely chopped",chives,3,tbsp,,finely chopped,,
150ml/5fl oz sweet sherry,sweet sherry,150 5,ml fl oz,,,,
250ml/9fl oz white chicken stock,white chicken stock,250 9,ml fl oz,,,,
"1kg/2lb 4oz white onions, finely sliced",white onions,1 2 4,kg lb oz,,finely sliced,,
130g/5oz shredded suet,suet,130 5,g oz,,shredded,,
"250g/9oz butternut squash, peeled, deseeded and chopped",butternut squash,250 9,g oz,,peeled deseeded and chopped,,
50g/2oz peeled cooked prawns,prawns,50 2,g oz,,peeled cooked,,
400g/14oz fresh cherries,fresh cherries,400 14,g oz,,,,
"½ sweet potato, boiled",sweet potato,#1$2,,,boiled,,
250g/9oz strong white flour,strong white flour,250 9,g oz,,,,
12 baby carrots,baby carrots,12,,,,,
"450g/14oz strawberries (my favourites are Buddy, Gariguette, Royal Sovereign or Mara des Bois), stalks removed",strawberries,450 14,g oz,,stalk removed,my favourites are Buddy Gariguette Royal Sovereign or Mara des Bois,
2 tsp ground cumin,ground cumin,2,tsp,,,,
"½ red onion, peeled and finely chopped",red onion,#1$2,,,peeled and finely chopped,,
"125g/4½oz cooked langoustine claw meat, chopped (alternatively use cooked white crab meat)",langoustine claw meat,125 4#1$2,g oz,,cooked chopped,alternatively use cooked white crab meat,
20g/¾oz caster sugar,caster sugar,20 #3$4,g oz,,,,
450g/1lb fresh blackberries,fresh blackberries,450 1,g lb,,,,
6-8 croutons made with white bread pan fried in clarified butter or olive oil,croutons,6-8,,,made with white bread pan fried in clarified butter or olive oil,,
2cm/½in fresh ginger,fresh ginger,2 #1$2,cm in,,,,
6 canned fillets of anchovies in olive oil,canned fillets of anchovies in olive oil,6,,,,,
"egg wash (1 free-range egg, lightly beaten in a bowl)",egg wash,,,,lightly beaten in a bowl,1 free-range egg,
3-4 tbsp good-quality chicken stock,good-quality chicken stock,3-4,tbsp,,,,
"hot water, to cover",hot water,,,,,,to cover
90ml/3fl oz double cream,double cream,90 3,ml fl oz,,,,
"6 stalks fresh thyme, leaves only",fresh thyme,6,stalk,,,leaf only,
"400g/14oz cherry tomatoes, halved",cherry tomatoes,400 14,g oz,,halved,,
"85g/3oz Puy lentils, cooked",Puy lentils,85 3,g oz,,cooked,,
125ml/4½fl oz vegetable oil,vegetable oil,125 4#1$2,ml fl oz,,,,
250g/9oz crunchy peanut butter,crunchy peanut butter,250 9,g oz,,,,
sprig redcurrants,redcurrants,,sprig,,,,
"2 mackerel, cut across into 4-5 steaks",mackerel,2,,,cut across into 4-5 steaks,,
"2 pak choi, quartered",pak choi,2,,,quartered,,
160g/5¾oz clear honey,clear honey,160 5#3$4,g oz,,,,
4 x 5mm/¼in slices emmental cheese,emmental cheese,4x 5 #1$4,mm in slice,,,,
"4 boneless (but not skinless, ideally) chicken breasts",boneless chicken breasts,4,,,,but not skinless ideally,
"100g/3½oz gruyère cheese, grated",gruyère cheese,100 3#1$2,g oz,,grated,,
"flaked almonds, to garnish",flaked almonds,,,,,,to garnish
3 tbsp finely diced fennel,fennel,3,tbsp,,finely diced,,
"150g/5½oz peas, podded, blanched in a pan of boiling water and refreshed in ice cold water",peas,150 5#1$2,g oz,,podded blanched in a pan of boiling water and refreshed in ice cold water,,
150g/5oz halloumi cheese,halloumi cheese,150 5,g oz,,,,
"200g/7oz Asiago or cheddar cheese, grated",Asiago or cheddar cheese,200 7,g oz,,grated,,
"2 tsp coconut oil, for frying",coconut oil,2,tsp,,,,for frying
20 eggs,eggs,20,,,,,
250g/9oz strong flour,strong flour,250 9,g oz,,,,
1 tsp freshly chopped tarragon leaves,tarragon leaf,1,tsp,,freshly chopped,,
"6 lemongrass stalks, crushed and finely chopped",lemongrass,6,stalk,,crushed and finely chopped,,
5 tbsp demerara sugar,demerara sugar,5,tbsp,,,,
250g/9oz turkey mince,turkey mince,250 9,g oz,,,,
"grated chocolate, to decorate",chocolate,,,,grated,,to decorate
15g/½oz fine breadcrumbs,fine breadcrumbs,15 #1$2,g oz,,,,
"1 large bunch fresh flatleaf parsley, leaves only",fresh flatleaf parsley,1,large bunch,,,leaf only,
5 large free-range egg whites,free-range egg whites,5,,large,,,
"1 hispi cabbage, thickly sliced",hispi cabbage,1,,,thickly sliced,,
2 tbsp good-quality olive oil,good-quality olive oil,2,tbsp,,,,
"peanuts, crushed",peanuts,,,,crushed,,
100ml/4fl oz dry cider,dry cider,100 4,ml fl oz,,,,
100g/3½oz white breadcrumbs,white breadcrumbs,100 3#1$2,g oz,,,,
40g/1½oz micro coriander,micro coriander,40 1#1$2,g oz,,,,
"3 heaped tbsp finely chopped fresh coriander, plus extra to garnish",fresh coriander,3,heaped tbsp,,finely chopped,plus extra to garnish,
large pinch dried chilli flakes,dried chilli flakes,,large pinch,,,,
"½ orange, zest and juice",orange,#1$2,,,zest and juice,,
"200-250g/7-9oz camembert, plastic wrapping and lid removed but still in its wooden box, at room temperature",camembert,200-250 7-9,g oz,,plastic wrapping and lid removed but still in its wooden box at room temperature,,
2 tsp low-sodium light soy sauce or tamari,low-sodium light soy sauce or tamari,2,tsp,,,,
"200g/7oz tinned water chestnuts, drained",tinned water chestnuts,200 7,g oz,,drained,,
"250g/9oz savoy cabbage or kale, finely sliced",savoy cabbage or kale,250 9,g oz,,finely sliced,,
8 large fresh figs,fresh figs,8,,large,,,
pinch Maldon sea salt,Maldon sea salt,,pinch,,,,
1 heaped tbsp English mustard powder,English mustard powder,1,heaped tbsp,,,,
4 tbsp malt vinegar,malt vinegar,4,tbsp,,,,
8 red chillies,red chillies,8,,,,,
3 tsp ghee,ghee,3,tsp,,,,
"6-8 fresh basil leaves, shredded",fresh basil leaf,6-8,,,shredded,,
"1 tsp ground cinnamon, for dusting",ground cinnamon,1,tsp,,,,for dusting
"4 beef ribs, flanken cut to 1cm/½in thickness",beef rib,4,,,flanken cut to 1 cm #1$2 in thickness,,
250g/½lb gram flour,flour,250 #1$2,g lb gram,,,,
¼ tsp lemon juice,lemon juice,#1$4,tsp,,,,
"2 rashers unsmoked green back bacon, cut into strips",unsmoked green back bacon,2,rasher,,cut into strip,,
150ml/¼ pt milk,milk,150 #1$4,ml pt,,,,
15g/½oz fresh sorrel or basil,fresh sorrel or basil,15 #1$2,g oz,,,,
green food colouring paste (do not use liquid food colouring),green food colouring paste,,,,,do not use liquid food colouring,
300ml/½pint red wine,red wine,300 #1$2,ml pint,,,,
"1 x 675g/1½lb whole, large sea bream, cleaned",whole sea bream,1x 675 1#1$2,g lb,large,cleaned,,
"300g/12oz T-bone steak, bone removed",T-bone steak,300 12,g oz,,bone removed,,
450g/1lb firm bean curd (tofu),firm bean curd tofu,450 1,g lb,,,,
"200g/7oz fresh cherries, stones removed",fresh cherries,200 7,g oz,,stones removed,,
3 tbsp mustard oil or olive oil,mustard oil or olive oil,3,tbsp,,,,
1 slice Parma ham,Parma ham,1,slice,,,,
4 tbsp English mustard,English mustard,4,tbsp,,,,
50g/2oz dried mushrooms,dried mushrooms,50 2,g oz,,,,
"5 sprigs dill, roughly chopped",dill,5,sprig,,roughly chopped,,
"6 shallots, peeled",shallots,6,,,peeled,,
"15g/½oz leek, chopped",leek,15 #1$2,g oz,,chopped,,
"1 tsp each ground cinnamon, ginger and nutmeg",ground cinnamon ginger and nutmeg,1,tsp,,,each,
"150g/5¼oz tinned haricot beans, rinsed and drained",tinned haricot beans,150 5#1$4,g oz,,rinsed and drained,,
50ml/2fl oz vegetable or rapeseed oil,vegetable or rapeseed oil,50 2,ml fl oz,,,,
"3 free-range eggs, at room temperature",free-range eggs,3,,,at room temperature,,
5 anchovy fillets,anchovy fillets,5,,,,,
350g/12oz crowdie or ricotta,crowdie or ricotta,350 12,g oz,,,,
300g/10½oz basmati rice,basmati rice,300 10#1$2,g oz,,,,
3 slices French stick,French stick,3,slice,,,,
"200g/7oz caster sugar, plus extra for sprinkling",caster sugar,200 7,g oz,,,plus extra for sprinkling,
½ tsp grated ginger,ginger,#1$2,tsp,,grated,,
"600ml/1 pint double cream, whipped",double cream,600 1,ml pint,,whipped,,
200g/7oz egg noodles,egg noodles,200 7,g oz,,,,
100g/3½oz mushrooms (optional),mushrooms,100 3#1$2,g oz,,,optional,
1 tsp pomegranate molasses,pomegranate molasses,1,tsp,,,,
"4 chicken thigh fillets, halved",chicken thigh fillets,4,,,halved,,
200g/7oz desiccated coconut,desiccated coconut,200 7,g oz,,,,
"375g/13¼oz plain flour, plus extra for dusting",plain flour,375 13#1$4,g oz,,,plus extra for dusting,
4-5 tbsp dark soy sauce,dark soy sauce,4-5,tbsp,,,,
a few twists cracked black pepper,black pepper,,,,a few twist cracked,,
"50ml/2fl oz olive oil, plus extra for greasing",olive oil,50 2,ml fl oz,,,plus extra for greasing,
125ml/4fl oz pesto (homemade or shop bought),pesto,125 4,ml fl oz,,,homemade or shop bought,
150g/5oz cold mashed potato,cold mashed potato,150 5,g oz,,,,
"head of kale, leaves removed and roughly chopped",kale,,head,,leaf removed and roughly chopped,of,
1 tsp truffle oil,truffle oil,1,tsp,,,,
30g/1oz icing sugar,icing sugar,30 1,g oz,,,,
75g/2½oz dark muscovado sugar,dark muscovado sugar,75 2#1$2,g oz,,,,
"1.5kg/3lb 3oz corned beef, thickly sliced",corned beef,1.5 3 3,kg lb oz,,thickly sliced,,
15g/½oz root ginger,root ginger,15 #1$2,g oz,,,,
100ml/3½fl oz sunflower or rapeseed oil,sunflower or rapeseed oil,100 3#1$2,ml fl oz,,,,
"2 tbsp chopped jalapeños, from a jar",jalapeños from a jar,2,tbsp,,chopped,,
"1 carrot, diced finely",carrot,1,,,diced finely,,
"4 thin slices baguette, rubbed with a little oil and toasted",baguette,4,thin slice,,rubbed with a little oil and toasted,,
4 slices thin white bread (square),thin white bread,4,slice,,,square,
½ tsp finely chopped sage,sage,#1$2,tsp,,finely chopped,,
"500g/1lb 2oz crab apples, peeled and halved",crab apples,500 1 2,g lb oz,,peeled and halved,,
"75g/2½oz lard, cut into roughly 1cm/½in dice",lard,75 2#1$2,g oz,,cut into roughly 1 cm #1$2 in dice,,
1 plain iced fruit cake,plain iced fruit cake,1,,,,,
50ml/2fl oz light chicken stock,light chicken stock,50 2,ml fl oz,,,,
"400g/14oz clotted cream, to serve",clotted cream,400 14,g oz,,,,to serve
"iced water, in a bowl",water,,,,iced,in a bowl,
"50g/2oz aubergine, cut in half",aubergine,50 2,g oz,,cut in half,,
"2 slices ham, 1cm/0.5in thick",ham,2,slice,,1 cm 0.5 in thick,,
"1 bunch flatleaf parsley, trimmed and coarsely chopped",flatleaf parsley,1,bunch,,trimmed and coarsely chopped,,
60g/2oz peel,peel,60 2,g oz,,,,
"2 cinnamon sticks, broken into several pieces",cinnamon stick,2,,,broken into several piece,,
"1 tsp baking powder, plus extra for dusting",baking powder,1,tsp,,,plus extra for dusting,
70g/2⅓oz icing sugar,icing sugar,70 2#1$3,g oz,,,,
"30 fresh strawberries, stalks removed",fresh strawberries,30,,,stalk removed,,
"350ml/12fl oz milk, plus extra for glazing",milk,350 12,ml fl oz,,,plus extra for glazing,
"100g/3½oz ready-made shortbread biscuits, crushed",ready-made shortbread biscuits,100 3#1$2,g oz,,crushed,,
1 bunch fresh amaranth leaves,fresh amaranth leaf,1,bunch,,,,
30g/1¼oz fresh white breadcrumbs,fresh white breadcrumbs,30 1#1$4,g oz,,,,
½ tbsp paprika,paprika,#1$2,tbsp,,,,
175g/6oz long-grain rice,long-grain rice,175 6,g oz,,,,
