Input,quantity,unit,item,comment
2 tbsp boiling water,2,tbsp,boiling water,
"2 red onions, sliced",2,,red onions,sliced
"3 cloves garlic, or more, lightly smashed and peeled",3,cloves,garlic,"or more, lightly smashed and peeled"
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
100 g leftover pasta shapes,100,g,leftover pasta shapes,
1 tbsp olive oil to fry,1,tbsp,olive oil to fry,
200 ml chicken stock,200,ml,chicken stock,
0.5 tsp ground cinnamon,0.5,tsp,ground cinnamon,
"75 g parmesan, grated",75,g,parmesan,grated
"1 red pepper, chopped",1,,red pepper,chopped
3 tsp olive oil,3,tsp,olive oil,
0.5 mug water,0.5,mug,water,
"1 fat red chilli, desseded and cut into slices",1,,fat red chilli,desseded and cut into slices
"2 sticks celery, diced",2,sticks,celery,diced
"130 g plain flour, flour",130,g,plain flour,flour
"tomato salsa, to serve",,,tomato salsa,to serve
400 ml chicken stock (use &frac12; stock pot or cube) - use gluten free if required,400,ml,chicken stock (use &frac12; stock pot or cube) - use gluten free if required,
"4 cloves garlic, roughly chopped",4,cloves,garlic,roughly chopped
yellow food colouring (optional),,,yellow food colouring (optional),
grated zest &frac12; lemon,,,grated zest &frac12; lemon,
"1 kg sweet potatoes, peeled and cut into chunks",1,kg,sweet potatoes,peeled and cut into chunks
1x 500 g tub fromage frais (not fat-free),1x,500 g tub,fromage frais (not fat-free),
1 tsp cornflour,1,tsp,cornflour,
"0.5x 20 g pack dill, chopped (reserve some fronds for garnish)",0.5x,20 g pack,dill,chopped (reserve some fronds for garnish)
600 ml beef stock,600,ml,beef stock,
30 ml olive oil,30,ml,olive oil,
"3 cloves garlic, crushed",3,cloves,garlic,crushed
"2x 175 g chunky cod fillets, skin on",2x,175 g,chunky cod fillets,skin on
"4 thin slices ham, cut into strips",4,thin slices,ham,cut into strips
5 tbsp Malibu (or 3 tbsp white rum),5,tbsp,Malibu (or 3 tbsp white rum),
8 boneless skinless chicken thighs,8,,boneless skinless chicken thighs,
2 cloves garlic,2,cloves,garlic,
"50 g sliced black olives, drained",50,g,sliced black olives,drained
"bunch fresh coriander, finely chopped",,bunch,fresh coriander,finely chopped
"450 g green beans, trimmed and cut into 1-inch lengths",450,g,green beans,trimmed and cut into 1-inch lengths
2 tbsp minced fresh dill,2,tbsp,minced fresh dill,
5 dried red chillies (Scotch bonnet work well),5,,dried red chillies (Scotch bonnet work well),
2 tbsp olive oil,2,tbsp,olive oil,
1 tsp chilli bean paste,1,tsp,chilli bean paste,
1 mug rice,1,mug,rice,
"1 savoy cabbage, shredded",1,,savoy cabbage,shredded
1 tsp salt,1,tsp,salt,
"1 red pepper and 0.5 yellow or orange pepper, deseeded and quartered",1,,red pepper and 0.5 yellow or orange pepper,deseeded and quartered
1 brown onion,1,,brown onion,
juice 2 limes,,,juice 2 limes,
4-6 curry leaves,4-6,,curry leaves,
"140 g tuna in brine, drained",140,g,tuna in brine,drained
2 tsp sugar,2,tsp,sugar,
"0.5 red pepper, chopped quite small",0.5,,red pepper,chopped quite small
"coriander sprigs, to garnish",,,coriander sprigs,to garnish
0.5 cup red split lentils,0.5,cup,red split lentils,
"parmesan or vegetarian cheese, grated, to serve",,,parmesan or vegetarian cheese,"grated, to serve"
200 g wholemeal penne pasta,200,g,wholemeal penne pasta,
salt,,,salt,
salt and freshly ground black pepper,,,salt and freshly ground black pepper,
rice wine vinegar,,,rice wine vinegar,
250 g shelled fresh peas,250,g,shelled fresh peas,
0.5 tsp chilli flakes,0.5,tsp,chilli flakes,
2x 400 g cans chopped tomatoes with olive oil and garlic,2x,400 g cans,chopped tomatoes with olive oil and garlic,
1 tbsp olive oil,1,tbsp,olive oil,
"2 tbsp vegetable oil, plus more for grill",2,tbsp,vegetable oil,plus more for grill
1 carrot,1,,carrot,
1 egg,1,,egg,
"2 cloves garlic, finely grated",2,cloves,garlic,finely grated
4-5 tbsps freshly squeezed lemon juice,4-5,tbsps,freshly squeezed lemon juice,
"6 anchovy fillets, roughly chopped",6,,anchovy fillets,roughly chopped
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
150 ml coconut yogurt,150,ml,coconut yogurt,
"300 g small new potatoes, quartered",300,g,small new potatoes,quartered
"0.5x 125 g ball light mozzarella, torn",0.5x,125 g ball,light mozzarella,torn
2 mugs pasta,2,mugs,pasta,
"2 medium red onions, cut into wedges",2,medium,red onions,cut into wedges
70 g frozen peas,70,g,frozen peas,
juice of &frac12; lemon,,,juice of &frac12; lemon,
"1 tbsp capers, drained",1,tbsp,capers,drained
500 g minced pork,500,g,minced pork,
1 tbsp oil,1,tbsp,oil,
2 tsp ground coriander,2,tsp,ground coriander,
500 g frozen peas,500,g,frozen peas,
2 tbsp tomato purée,2,tbsp,tomato purée,
"4 pitta breads or flatbreads, griddled or toasted to serve",4,,pitta breads or flatbreads,griddled or toasted to serve
1 cup long grain white rice,1,cup,long grain white rice,
2-3 tbsp mild curry powder,2-3,tbsp,mild curry powder,
1 tbsp arrowroot starch or cornflour,1,tbsp,arrowroot starch or cornflour,
250 g dried apricots,250,g,dried apricots,
"4 spring onions, thinly sliced",4,,spring onions,thinly sliced
500 g minced beef,500,g,minced beef,
1 tsp tandoori curry powder,1,tsp,tandoori curry powder,
4 tbsp olive oil,4,tbsp,olive oil,
"1 red or green (bell) pepper, deseeded and cut into thick strips",1,,red or green (bell) pepper,deseeded and cut into thick strips
"900 g mixed mushrooms, cut into bitesized pieces",900,g,mixed mushrooms,cut into bitesized pieces
1 tsp ground cumin,1,tsp,ground cumin,
2 chicken breasts,2,,chicken breasts,
juice of a lemon,,,juice of a lemon,
"1 onion, cut into wedges",1,,onion,cut into wedges
2 tbsp tomato paste,2,tbsp,tomato paste,
"3 sweet potatoes, cut into chunks",3,,sweet potatoes,cut into chunks
"1 red bell pepper, seeded and diced",1,,red bell pepper,seeded and diced
3 tbsp olive oil,3,tbsp,olive oil,
small handful fresh flat leaf parsley,,small handful,fresh flat leaf parsley,
"Fluffy pocketless pita bread, brushed in butter, lightly toasted, and cut into 1-3 inch strips",,,Fluffy pocketless pita bread,"brushed in butter, lightly toasted, and cut into 1-3 inch strips"
0.5 tsp cumin,0.5,tsp,cumin,
"2 tomatoes, chopped",2,,tomatoes,chopped
"1 kg sweet potatoes, cubed",1,kg,sweet potatoes,cubed
"2-3 tomatoes, skinned, deseeded and chopped",2-3,,tomatoes,"skinned, deseeded and chopped"
1 tsp cumin seeds,1,tsp,cumin seeds,
juice 1 orange,,,juice 1 orange,
"25 g chives, chopped",25,g,chives,chopped
"zest of 1 lemon, to garnish",,,zest of 1 lemon,to garnish
"200 g lean lamb steak, cubed",200,g,lean lamb steak,cubed
225 g caster sugar,225,g,caster sugar,
"0.5 cucumber, chopped",0.5,,cucumber,chopped
"0.5 lemon, juiced",0.5,,lemon,juiced
2 tbsp sugar,2,tbsp,sugar,
honey,,,honey,
2 tbsp double cream (optional),2,tbsp,double cream (optional),
100 g feta cheese,100,g,feta cheese,
1 mug water,1,mug,water,
2x 400 g can chickpeas,2x,400 g can,chickpeas,
"115 g cold butter, cut into small cubes",115,g,cold butter,cut into small cubes
"3 leeks, sliced",3,,leeks,sliced
"4x baking sweet potatoes, around 275 g-300 g each",4x,,baking sweet potatoes,around 275 g-300 g each
"500 ml chicken stock, use gluten-free if required",500,ml,chicken stock,use gluten-free if required
1 lb large or baby bok choy,1,lb,large or baby bok choy,
"4 cloves garlic, crushed",4,cloves,garlic,crushed
"6 oz colby jack cheese, cubed",6,oz,colby jack cheese,cubed
200 g pancetta lardons,200,g,pancetta lardons,
"4 salmon steaks, cut into bitesized pieces",4,,salmon steaks,cut into bitesized pieces
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
1 tbsp thyme leaves or 1 tsp dried thyme,1,tbsp,thyme leaves or 1 tsp dried thyme,
100 g frozen broad beans,100,g,frozen broad beans,
"175 g caster sugar, plus 2 tbsp",175,g,caster sugar,plus 2 tbsp
1 tsp paprika,1,tsp,paprika,
"1 tbsp olive oil, plus more for greasing",1,tbsp,olive oil,plus more for greasing
"400 g trimmed leek, sliced and well washed",400,g,trimmed leek,sliced and well washed
1 tbsp toasted sesame oil,1,tbsp,toasted sesame oil,
"4 tbsp plain flour, plus extra for dusting",4,tbsp,plain flour,plus extra for dusting
2 packs ready rolled shortcrust pastry,2,packs,ready rolled shortcrust pastry,
1 tsp lemon juice,1,tsp,lemon juice,
200 g cherry tomatoes,200,g,cherry tomatoes,
"50 g Parmesan, grated",50,g,Parmesan,grated
1 tbsp vegetable oil,1,tbsp,vegetable oil,
4 tbsp double cream,4,tbsp,double cream,
2 eggs,2,,eggs,
1 tbsp rapeseed oil,1,tbsp,rapeseed oil,
0.5-1 tsp harissa,0.5-1,tsp,harissa,
400 g chopped tomatoes,400,g,chopped tomatoes,
1 clove garlic,1,clove,garlic,
4 tbsp olive oil,4,tbsp,olive oil,
0.25 tsp salt,0.25,tsp,salt,
500 ml fish stock or chicken stock,500,ml,fish stock or chicken stock,
"8 tbsps olive oil, divided",8,tbsps,olive oil,divided
"750 g butternut squash, deseeded and cut into 2 cm cubes",750,g,butternut squash,deseeded and cut into 2 cm cubes
"7 large eggs, 6 hard boiled and roughly chopped; 1 egg seperated, the white lightly beaten",7,large,eggs,"6 hard boiled and roughly chopped; 1 egg seperated, the white lightly beaten"
"1 jalapeño, sliced into rounds",1,,jalapeño,sliced into rounds
"6 tomatoes, roughly chopped",6,,tomatoes,roughly chopped
1 tbsp ras el hanout,1,tbsp,ras el hanout,
50 g frozen sweetcorn,50,g,frozen sweetcorn,
1 tsp baking powder,1,tsp,baking powder,
bunch of coriander,,,bunch of coriander,
200 g dried yellow split peas,200,g,dried yellow split peas,
1 tbsp cocoa powder,1,tbsp,cocoa powder,
"200 g mangetout, cut into thin strips",200,g,mangetout,cut into thin strips
2 veggie stock,2,,veggie stock,
0.25 cup soy sauce,0.25,cup,soy sauce,
200 g orecchiette pasta,200,g,orecchiette pasta,
1 tsp baking powder,1,tsp,baking powder,
"0.5 cucumber, deseeded and coarsely grated",0.5,,cucumber,deseeded and coarsely grated
"600 g cod fillets, cut into bitesized pieces",600,g,cod fillets,cut into bitesized pieces
250 ml medium sherry,250,ml,medium sherry,
0.25 cup chopped fresh cilantro,0.25,cup,chopped fresh cilantro,
50 g rice or wheat noodles,50,g,rice or wheat noodles,
"140 g tomato paste/puree, you may want more or less depending on how watery your canned tomatoes are so use your judgement here",140,g,tomato paste/puree,you may want more or less depending on how watery your canned tomatoes are so use your judgement here
Kosher salt and freshly ground pepper,,,Kosher salt and freshly ground pepper,
"4 spring onions, roughly chopped",4,,spring onions,roughly chopped
2 tbsp rape seed oil,2,tbsp,rape seed oil,
salt,,,salt,
2 vegetable stock cubes,2,,vegetable stock cubes,
1 tbsp tomato puree,1,tbsp,tomato puree,
handful cherry tomatoes,,handful,cherry tomatoes,
1 tbsp olive oil,1,tbsp,olive oil,
1x 410 g pack fresh egg noodles,1x,410 g pack,fresh egg noodles,
250 ml water or stock,250,ml,water or stock,
"200 g tenderstem brocolli, to serve",200,g,tenderstem brocolli,to serve
2.25 tsp active dry yeast,2.25,tsp,active dry yeast,
salt and black pepper,,,salt and black pepper,
"2 spring onions, finely chopped",2,,spring onions,finely chopped
1 tbsp chopped basil,1,tbsp,chopped basil,
1 clove of garlic,1,clove,of garlic,
"3 cloves garlic, minced",3,cloves,garlic,minced
"Parmesan cheese, shaved",,,Parmesan cheese,shaved
2x 460 g jar roasted red peppers,2x,460 g jar,roasted red peppers,
"4 cloves garlic, finely chopped",4,cloves,garlic,finely chopped
1 tbsp sesame oil (optional),1,tbsp,sesame oil (optional),
"3 spring onions, finely chopped",3,,spring onions,finely chopped
"2 tbsp finely chopped fresh rosemary (or 2 tsp dried), plus extra sprigs to garnish, optional",2,tbsp,finely chopped fresh rosemary (or 2 tsp dried),"plus extra sprigs to garnish, optional"
1 tbsp brown sugar (packed),1,tbsp,brown sugar (packed),
"200 g pack fresh pineapple chunks, finely diced",200,g,pack fresh pineapple chunks,finely diced
"125 g mushrooms, sliced",125,g,mushrooms,sliced
4 plain chapattis,4,,plain chapattis,
700 g ready-made fresh three cheese sauce,700,g,ready-made fresh three cheese sauce,
generous pinch saffron threads,,generous pinch,saffron threads,
"1x 30 g pack flat-leaf parsley, leaves roughly chopped",1x,30 g pack,flat-leaf parsley,leaves roughly chopped
"2 sprigs rosemary, leaves finely chopped",2,sprigs,rosemary,leaves finely chopped
"2 spring onions, finely sliced",2,,spring onions,finely sliced
150 ml white wine,150,ml,white wine,
oil to fry,,,oil to fry,
pinch golden caster sugar,,pinch,golden caster sugar,
"1 onion, thinly sliced",1,,onion,thinly sliced
1-2 tsp sugar,1-2,tsp,sugar,
0.5 tsp baking soda,0.5,tsp,baking soda,
"5 cloves garlic, peeled and crushed",5,cloves,garlic,peeled and crushed
800 g fresh spinach (about 2 bags),800,g,fresh spinach (about 2 bags),
"1.25 kg pork shoulder joint, scored and tied",1.25,kg,pork shoulder joint,scored and tied
1 egg,1,,egg,
"large handful of fresh coriander, chopped",,,large handful of fresh coriander,chopped
200 g soy veggie ground,200,g,soy veggie ground,
"2 shallots, diced",2,,shallots,diced
175 g tagliatelle,175,g,tagliatelle,
1 tbsp chopped fresh oregano,1,tbsp,chopped fresh oregano,
2.5 cups flour,2.5,cups,flour,
extra virgin olive oil,,,extra virgin olive oil,
3 tbsp dark soy sauce,3,tbsp,dark soy sauce,
600 g skinned white fish fillets,600,g,skinned white fish fillets,
2 tbsp olive oil,2,tbsp,olive oil,
1x 400 ml cans coconut milk,1x,400 ml cans,coconut milk,
0.5 tsp mustard seeds,0.5,tsp,mustard seeds,
2 tsp rapeseed oil,2,tsp,rapeseed oil,
250 g fresh spinach (try adding some rocket too!),250,g,fresh spinach (try adding some rocket too!),
6 small wholemeal tortillas,6,small,wholemeal tortillas,
0.5 vegetable bouillon cube,0.5,,vegetable bouillon cube,
1 tsp caster sugar,1,tsp,caster sugar,
"1 medium onion, thinly sliced",1,medium,onion,thinly sliced
"1 onion, sliced",1,,onion,sliced
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"30 g basil leaves, roughly shredded",30,g,basil leaves,roughly shredded
1 chicken stock cube,1,,chicken stock cube,
"1 jalapeno, deseeded and minced",1,,jalapeno,deseeded and minced
"1x 400 g can cannellini white beans, drained and rinsed",1x,400 g can,cannellini white beans,drained and rinsed
0.25 small pack coriander (optional),0.25,small pack,coriander (optional),
"2 tbsp mayonnaise and ketchup, to serve (optional)",2,tbsp,mayonnaise and ketchup,to serve (optional)
"3 cloves garlic, roughly chopped",3,cloves,garlic,roughly chopped
400 g raw shell-off prawns,400,g,raw shell-off prawns,
2 tbsp pomegranate molasses,2,tbsp,pomegranate molasses,
basmati rice,,,basmati rice,
"4 cloves garlic, finely chopped",4,cloves,garlic,finely chopped
70 g uncooked pasta,70,g,uncooked pasta,
"1 small courgette, cut into matchsticks",1,small,courgette,cut into matchsticks
"1 tbsp sweet chilli sauce, plus more to serve",1,tbsp,sweet chilli sauce,plus more to serve
100 g bean sprouts,100,g,bean sprouts,
"500 g courgettes, thickly sliced",500,g,courgettes,thickly sliced
140 g frozen peas,140,g,frozen peas,
"1 large carrot, grated",1,large,carrot,grated
"handful coriander, roughly chopped",,handful,coriander,roughly chopped
1 tbsp vegetable oil,1,tbsp,vegetable oil,
200 ml coconut milk,200,ml,coconut milk,
1 tbsp olive oil,1,tbsp,olive oil,
1.5 tbsp plain flour,1.5,tbsp,plain flour,
100 g spinach leaves,100,g,spinach leaves,
pinch of paprika,,pinch,of paprika,
"1 red onion, finely chopped",1,,red onion,finely chopped
1 bay leaf,1,,bay leaf,
2 lemons,2,,lemons,
250 g ricotta,250,g,ricotta,
350 g broccoli florets,350,g,broccoli florets,
2 tbsp red wine vinegar,2,tbsp,red wine vinegar,
25 g butter,25,g,butter,
100 g red lentils,100,g,red lentils,
sesame seeds,,,sesame seeds,
1.5 mugs basmati rice,1.5,mugs,basmati rice,
"Paremesan cheese, to serve",,,Paremesan cheese,to serve
1 tbsp toasted sesame oil,1,tbsp,toasted sesame oil,
"2 red onions, halved and sliced",2,,red onions,halved and sliced
2 naan breads,2,,naan breads,
1 beef stock cube,1,,beef stock cube,
1 tbsp olive oil,1,tbsp,olive oil,
1 egg yolk,1,,egg yolk,
1 tsp soy sauce,1,tsp,soy sauce,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
Kosher salt,,,Kosher salt,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
1 tin of condensed milk,1,tin,of condensed milk,
"1 large potato, peeled and chopped into 2 cm chunks",1,large,potato,peeled and chopped into 2 cm chunks
1 tsp paprika,1,tsp,paprika,
7 oz coleslaw mix,7,oz,coleslaw mix,
"shaved Parmesan, to serve",,,shaved Parmesan,to serve
"200 g cooked chicken, chopped into chunks",200,g,cooked chicken,chopped into chunks
"100 g cheddar, grated",100,g,cheddar,grated
1 tbsp olive oil,1,tbsp,olive oil,
2 tbsp fresh basil,2,tbsp,fresh basil,
2 tbsp tomato purée,2,tbsp,tomato purée,
1 tsp ground cinnamon,1,tsp,ground cinnamon,
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
"450 g mixed spring vegetables, including green beans, asparagus, broad beans, peas.",450,g,mixed spring vegetables,"including green beans, asparagus, broad beans, peas."
6 spring onions,6,,spring onions,
1 level tsp ground cumin,1,level tsp,ground cumin,
"1 clove garlic, crushed",1,clove,garlic,crushed
"2 tbsp Parmesan, grated, to serve",2,tbsp,Parmesan,"grated, to serve"
"2 large onions, chopped",2,large,onions,chopped
1 tsp dried chilli flakes,1,tsp,dried chilli flakes,
1 tbsp olive oil,1,tbsp,olive oil,
1 tsp caster sugar,1,tsp,caster sugar,
"6 spring onions, thinly sliced",6,,spring onions,thinly sliced
1 pinch red pepper flakes (optional),1,pinch,red pepper flakes (optional),
3 sprig thyme,3,sprig,thyme,
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
kosher salt,,,kosher salt,
2 tsp sunflower oil,2,tsp,sunflower oil,
25 g butter,25,g,butter,
"1 fennel bulb, core removed, thinly sliced",1,,"fennel bulb, core removed",thinly sliced
100 ml white wine,100,ml,white wine,
"20 g dill, roughly chopped",20,g,dill,roughly chopped
1 bay leaf,1,,bay leaf,
2 tbsp milk,2,tbsp,milk,
2 heaped tsp nigella seeds,2,heaped tsp,nigella seeds,
200 g basmati rice,200,g,basmati rice,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
2 tbsp granulated sugar,2,tbsp,granulated sugar,
3 tbsp olive oil,3,tbsp,olive oil,
"1 tsp kosher salt, plus more",1,tsp,kosher salt,plus more
"1 chicken breast, cut into thin strips",1,,chicken breast,cut into thin strips
670 g cooked butterbeans (either 3x 400g tins drained or 400 g uncooked beans soaked overnight and cooked),670,g,cooked butterbeans (either 3x 400g tins drained or 400 g uncooked beans soaked overnight and cooked),
300 g turkey strips,300,g,turkey strips,
250 g Wyke Farms Extra Mature Cheddar,250,g,Wyke Farms Extra Mature Cheddar,
"6 spring onions, 1 finely chopped, 5 sliced",6,,spring onions,"1 finely chopped, 5 sliced"
200 g baby spinach,200,g,baby spinach,
"1 cm knob ginger, peeled and finely chopped",1,cm knob,ginger,peeled and finely chopped
55 g tomato paste,55,g,tomato paste,
"1 green onion, thinly sliced",1,,green onion,thinly sliced
0.5 tbsp vegetable oil,0.5,tbsp,vegetable oil,
130 ml milk,130,ml,milk,
"1 eating apple, cut into chunks",1,,eating apple,cut into chunks
"3 anchovy fillets, or more",3,,anchovy fillets,or more
50 g butter,50,g,butter,
"1 tbsp fresh basil, chopped",1,tbsp,fresh basil,chopped
"1 red onion, roughly chopped",1,,red onion,roughly chopped
3 tbsp cider vinegar,3,tbsp,cider vinegar,
"400 g large vine tomatoes, diced",400,g,large vine tomatoes,diced
"1 onion, finely chopped",1,,onion,finely chopped
"1 onion, halved and sliced",1,,onion,halved and sliced
55 g butter,55,g,butter,
"1x 400 g can red kidney beans, drained and rinsed",1x,400 g can,red kidney beans,drained and rinsed
"3 cloves garlic, crushed",3,cloves,garlic,crushed
1 lb peeled large shrimp,1,lb,peeled large shrimp,
200 g ripe brie cheese,200,g,ripe brie cheese,
2 tbsps coconut oil,2,tbsps,coconut oil,
85 g wholewheat penne,85,g,wholewheat penne,
4 tbsp wholegrain mustard,4,tbsp,wholegrain mustard,
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
180 g uncooked long-grain rice,180,g,uncooked long-grain rice,
"250 g green beans, trimmed",250,g,green beans,trimmed
Tamarind ketchup,,,Tamarind ketchup,
"a large handful basil, roughly torn",,a large handful,basil,roughly torn
"2 red chillies, halved deseeded and sliced",2,,red chillies,halved  deseeded and sliced
Parmesan to serve,,,Parmesan to serve,
2 eggs,2,,eggs,
0.25 tsp chilli flakes (optional),0.25,tsp,chilli flakes (optional),
"4 shallots, peeled and quartered",4,,shallots,peeled and quartered
"310 g kidney beans, rinsed",310,g,kidney beans,rinsed
"2 boneless skinless chicken breasts, cut into thin strips",2,,boneless skinless chicken breasts,cut into thin strips
"1 firm but ripe mango, skin removed, thinly sliced",1,,firm but ripe mango,"skin removed, thinly sliced"
2 bay leaves,2,,bay leaves,
0.25 cup BBQ sauce,0.25,cup,BBQ sauce,
3 tbsp good olive oil,3,tbsp,good olive oil,
"2 tbsp shop-bought harissa, or use homemade",2,tbsp,shop-bought harissa,or use homemade
2 tsp garam masala,2,tsp,garam masala,
"Worcestershire sauce, to taste",,,Worcestershire sauce,to taste
2 tsp rapeseed oil,2,tsp,rapeseed oil,
2 cloves garlic,2,cloves,garlic,
"0.5 bunch spring onions, sliced white and green parts separated",0.5,bunch,spring onions,sliced  white and green parts separated
450 ml whipping cream,450,ml,whipping cream,
"0.5x 25 g pack coriander, finely chopped",0.5x,25 g pack,coriander,finely chopped
"2 tbsp chopped mint, plus extra leaves to garnish",2,tbsp,chopped mint,plus extra leaves to garnish
"1 onion, thinly sliced",1,,onion,thinly sliced
2 tbsp curry powder,2,tbsp,curry powder,
"50 g mature cheddar, finely grated",50,g,mature cheddar,finely grated
2 tbsp honey,2,tbsp,honey,
"1 courgette, cut into bite-sized chunks",1,,courgette,cut into bite-sized chunks
"2 small cloves garlic, finely chopped",2,small cloves,garlic,finely chopped
"2 tbsp ghee or smen, or 1 tablespoon olive oil plus 1 tablespoon butter",2,tbsp,ghee or smen,or 1 tablespoon olive oil plus 1 tablespoon butter
"1 egg, beaten",1,,egg,beaten
1 tbsp fish sauce,1,tbsp,fish sauce,
2 tbsp Chinkiang black rice vinegar,2,tbsp,Chinkiang black rice vinegar,
2 tbsp Worcestershire sauce,2,tbsp,Worcestershire sauce,
"1 large onion, roughly chopped",1,large,onion,roughly chopped
salt and pepper,,,salt and pepper,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"1x 200 g pack Tenderstem broccoli, roughly chopped",1x,200 g pack,Tenderstem broccoli,roughly chopped
"50 ml olive oil, plus 1 tbsp",50,ml,olive oil,plus 1 tbsp
"1 cucumber, peeled into ribbons",1,,cucumber,peeled into ribbons
1 heaped tsp ground cumin,1,heaped tsp,ground cumin,
2 whole dried red Kashmiri chillies,2,,whole dried red Kashmiri chillies,
"2x 120 g pack shiitake mushrooms, sliced",2x,120 g pack,shiitake mushrooms,sliced
"Salt, to taste",,,Salt,to taste
small bunch of fresh green or purple basil leaves,,,small bunch of fresh green or purple basil leaves,
1 tbsp Dijon mustard,1,tbsp,Dijon mustard,
0.5x 690 ml jar passata,0.5x,690 ml jar,passata,
"1 onion, finely chopped",1,,onion,finely chopped
"1x 175 g pack raw shelled king prawns, de-veined and split in half length ways",1x,175 g pack,raw shelled king prawns,de-veined and split in half length ways
1 tsp paprika,1,tsp,paprika,
0.75 tsp chili powder,0.75,tsp,chili powder,
salt and black pepper,,,salt and black pepper,
"2 red peppers, deseeded and sliced",2,,red peppers,deseeded and sliced
400 g diced tomatoes,400,g,diced tomatoes,
"1 small onion, finely chopped",1,small,onion,finely chopped
1 pinch saffron,1,pinch,saffron,
"rice or mashed potato, to serve",,,rice or mashed potato,to serve
1 tbsp runny honey,1,tbsp,runny honey,
good handful fresh mint leaves,,good handful,fresh mint leaves,
"crusty bread, to serve",,,crusty bread,to serve
1.5 mugs milk,1.5,mugs,milk,
1x 250 g pack pancetta lardons,1x,250 g pack,pancetta lardons,
2 tbsp clear honey,2,tbsp,clear honey,
"0.5 head cauliflower, cut into bite-sized florets",0.5,head,cauliflower,cut into bite-sized florets
salt,,,salt,
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
1x 250 g pack pre-cooked brown rice,1x,250 g pack,pre-cooked brown rice,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
salt and pepper,,,salt and pepper,
"2 tbsp fresh coriander, chopped",2,tbsp,fresh coriander,chopped
2 tbsp chopped coriander,2,tbsp,chopped coriander,
250 g dried orecchiette,250,g,dried orecchiette,
175 g maacaroni,175,g,maacaroni,
"0.5 tsp Aleppo pepper, or 0.5 tsp red-pepper flakes (optional)",0.5,tsp,Aleppo pepper,or 0.5 tsp red-pepper flakes (optional)
3 bay leaves,3,,bay leaves,
3 tbsp vegetable oil,3,tbsp,vegetable oil,
400 g lean minced pork,400,g,lean minced pork,
8 oz chocolate,8,oz,chocolate,
"1 red pepper, deseeded and sliced",1,,red pepper,deseeded and sliced
"0.25 fat red chilli, thinly sliced",0.25,,fat red chilli,thinly sliced
100 g frozen baby broad beans or soya beans,100,g,frozen baby broad beans or soya beans,
"2 onions, sliced",2,,onions,sliced
500 ml chicken stock,500,ml,chicken stock,
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
700 g passata with onions and garlic,700,g,passata with onions and garlic,
finely grated zest and juice of small orange,,,finely grated zest and juice of small orange,
4 tbsp pomegranate molasses,4,tbsp,pomegranate molasses,
1 lb ground beef,1,lb,ground beef,
"3 stalks celery, sliced",3,stalks,celery,sliced
"1 onion, chopped",1,,onion,chopped
"2 large leeks, chopped",2,large,leeks,chopped
0.5 tsp chili powder,0.5,tsp,chili powder,
"rice and mango chutney, to serve",,,rice and mango chutney,to serve
0.5 tsp five spice powder,0.5,tsp,five spice powder,
"1 tbsp finely chopped parsley, or chopped toasted blanched almonds",1,tbsp,finely chopped parsley,or chopped toasted blanched almonds
1 yellow onion,1,,yellow onion,
"900 g sweet potatoes, peeled",900,g,sweet potatoes,peeled
"4 ripe tomatoes, quartered",4,,ripe tomatoes,quartered
1 tbsp garam masala,1,tbsp,garam masala,
bunch of tarragon,,bunch,of tarragon,
1 tbsp Italian seasoning,1,tbsp,Italian seasoning,
"2 cloves garlic, sliced",2,cloves,garlic,sliced
"1 tbsp thyme leaf, chopped",1,tbsp,thyme leaf,chopped
50 ml olive oil,50,ml,olive oil,
1 tsp chilli flakes,1,tsp,chilli flakes,
3 tbsp pesto,3,tbsp,pesto,
"4 oz smoked salmon sliced 0.25"" thick",4,oz,"smoked salmon sliced 0.25"" thick",
2 tsp lemon zest,2,tsp,lemon zest,
0.125 tsp cayenne pepper,0.125,tsp,cayenne pepper,
"rice or pasta , to serve",,,rice or pasta ,to serve
salt and pepper,,,salt and pepper,
bunch coriander,,bunch,coriander,
"1 orange bell pepper, seeded and thinly sliced",1,,orange bell pepper,seeded and thinly sliced
"50 g white basmati rice, rinsed and drained",50,g,white basmati rice,rinsed and drained
"0.25 mug toasted, flaked almonds",0.25,mug,"toasted, flaked almonds",
0.25 cup basil pesto,0.25,cup,basil pesto,
"300 g sweet potatoes, peeled and roughly cubed",300,g,sweet potatoes,peeled and roughly cubed
3 heaped tsp tomato puree,3,heaped tsp,tomato puree,
