input,quantity,unit,item,comment
"3 vine-ripe tomatoes, deseeded and chopped",3,,vine-ripe tomatoes,deseeded and chopped
1x 400 g can cannellini beans,1x,400 g can,cannellini beans,
"1 nest vermicelli, about 35 g",1,nest,vermicelli,about 35 g
25 g pack basil,25,g pack,basil,
"1 clove garlic, crushed",1,clove,garlic,crushed
25 g pistachio nuts,25,g,pistachio nuts,
25 g vegetarian Parmesan-style cheese,25,g,vegetarian Parmesan-style cheese,
2 tbsp olive oil,2,tbsp,olive oil,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
30 ml vegetable oil,30,ml,vegetable oil,
"0.5 onion, roughly chopped",0.5,,onion,roughly chopped
"2 cloves garlic, roughly chopped",2,cloves,garlic,roughly chopped
500 g long grain rice,500,g,long grain rice,
750 ml vegetable stock,750,ml,vegetable stock,
0.5 tsp salt,0.5,tsp,salt,
3 fresh chillis,3,,fresh chillis,
150 g frozen peas,150,g,frozen peas,
ground black pepper,,,ground black pepper,
900 ml chicken or vegetable stock,900,ml,chicken or vegetable stock,
"1 boneless skinless chicken breast, about 175g",1,,boneless skinless chicken breast,about 175g
1 tsp chopped fresh root ginger,1,tsp,chopped fresh root ginger,
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
50 g rice or wheat noodles,50,g,rice or wheat noodles,
"2 tbsp sweetcorn, canned or frozen",2,tbsp,sweetcorn,canned or frozen
"2-3 mushrooms, thinly sliced",2-3,,mushrooms,thinly sliced
"2 spring onions, shredded",2,,spring onions,shredded
"2 tsp soy sauce, plus extra for serving",2,tsp,soy sauce,plus extra for serving
"mint or basil leaves and a little shredded chilli (optional), to serve",,,mint or basil leaves and a little shredded chilli (optional),to serve
3 mugs pasta,3,mugs,pasta,
1 tbsp olive oil,1,tbsp,olive oil,
"3 chicken breasts, cut into bitesized pieces",3,,chicken breasts,cut into bitesized pieces
2 tbsp plain flour,2,tbsp,plain flour,
1 mug water,1,mug,water,
1 chicken stock cube,1,,chicken stock cube,
2 tbsp sun-dried tomato puree,2,tbsp,sun-dried tomato puree,
100 g cream cheese,100,g,cream cheese,
"250 g spinach, roughly chopped",250,g,spinach,roughly chopped
250 g mozzarella cheese,250,g,mozzarella cheese,
0.5 mug grated Parmesan,0.5,mug,grated Parmesan,
330 g self-rising flour,330,g,self-rising flour,
240 ml luke warm water,240,ml,luke warm water,
2 tbsp olive oil,2,tbsp,olive oil,
1 tsp salt,1,tsp,salt,
"0.5 head cauliflower, cut into bite-sized florets",0.5,head,cauliflower,cut into bite-sized florets
"180 ml vegan BBQ sauce, use 120 ml if you want the BBQ taste to be more mild",180,ml,vegan BBQ sauce,use 120 ml if you want the BBQ taste to be more mild
0.5 tsp garlic powder,0.5,tsp,garlic powder,
0.5 tsp onion powder,0.5,tsp,onion powder,
180 g hummus,180,g,hummus,
70 g tomato paste,70,g,tomato paste,
1 tsp dried oregano,1,tsp,dried oregano,
1 tsp dried basil,1,tsp,dried basil,
0.5 tsp dried thyme,0.5,tsp,dried thyme,
0.5 tsp salt,0.5,tsp,salt,
0.25 tsp black pepper,0.25,tsp,black pepper,
"180 ml unsweetened plant-based yogurt, we used soy",180,ml,unsweetened plant-based yogurt,we used soy
2 cloves garlic,2,cloves,garlic,
0.25 tsp salt,0.25,tsp,salt,
2 mugs pasta,2,mugs,pasta,
1 tbsp olive oil,1,tbsp,olive oil,
"6 spring onions, chopped",6,,spring onions,chopped
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
"4 large tomatoes, chopped",4,large,tomatoes,chopped
2 tbsp tomato puree,2,tbsp,tomato puree,
0.25 mug water,0.25,mug,water,
1 fish stock cube,1,,fish stock cube,
"20 olives, half black, half green, roughly chopped",20,,olives,"half black, half green, roughly chopped"
2 tbsp freshly chopped basil,2,tbsp,freshly chopped basil,
"6 anchovy fillets, roughly chopped",6,,anchovy fillets,roughly chopped
2x 185 g tins tuna,2x,185 g tins,tuna,
6 pork sausages,6,,pork sausages,
1 tbsp olive oil,1,tbsp,olive oil,
"2 onions, finely chopped",2,,onions,finely chopped
"3 sticks celery, diced",3,sticks,celery,diced
"2 carrots, sliced",2,,carrots,sliced
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
1 l chicken stock,1,l,chicken stock,
175 g maacaroni,175,g,maacaroni,
"1x 400 g can cannellini beans, drained and rinsed",1x,400 g can,cannellini beans,drained and rinsed
"handful parsley leaves, chopped",,handful,parsley leaves,chopped
2 tbsp sunflower oil,2,tbsp,sunflower oil,
2 tbsp butter,2,tbsp,butter,
"1 onion, chopped",1,,onion,chopped
"2.5 cm piece fresh root ginger, peeled and grated",2.5,cm piece,fresh root ginger,peeled and grated
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"1 large red pepper, deseeded and diced",1,large,red pepper,deseeded and diced
400 g chopped tomatoes,400,g,chopped tomatoes,
"0.5 Scotch bonnet, deseeded (optional)",0.5,,Scotch bonnet,deseeded (optional)
1 tbsp tomato puree/paste,1,tbsp,tomato puree/paste,
1 tbsp thyme leaves or 1 tsp dried thyme,1,tbsp,thyme leaves or 1 tsp dried thyme,
0.5 tsp sweet smoked paprika,0.5,tsp,sweet smoked paprika,
1 tsp paprika,1,tsp,paprika,
1 heaped tsp ground cumin,1,heaped tsp,ground cumin,
2 tbsp dried shrimp,2,tbsp,dried shrimp,
1 tsp soft brown sugar,1,tsp,soft brown sugar,
"350 g white basmati rice, rinsed and drained",350,g,white basmati rice,rinsed and drained
750 ml chicken stock,750,ml,chicken stock,
freshly snipped chives,,,freshly snipped chives,
salt,,,salt,
ground turmeric,,,ground turmeric,
ground cumin,,,ground cumin,
coriander seeds,,,coriander seeds,
3 cloves garlic,3,cloves,garlic,
fresh ginger,,,fresh ginger,
550 g frozen white fish fillets,550,g,frozen white fish fillets,
1 lemon,1,,lemon,
1 brown onion,1,,brown onion,
4 vine tomatoes,4,,vine tomatoes,
1 red chilli,1,,red chilli,
400 g basmati rice,400,g,basmati rice,
1x 400 ml tin coconut milk,1x,400 ml tin,coconut milk,
fresh coriander,,,fresh coriander,
olive oil,,,olive oil,
salt,,,salt,
"750 g sweet potato, peeled and roughly chopped",750,g,sweet potato,peeled and roughly chopped
"1 tbsp olive oil, plus 2 tsp",1,tbsp,olive oil,plus 2 tsp
1 tbsp cumin seeds,1,tbsp,cumin seeds,
1 tsp ground cinnamon,1,tsp,ground cinnamon,
260 g young spinach,260,g,young spinach,
"1 onion, finely chopped",1,,onion,finely chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"3 red peppers, deseeded and diced",3,,red peppers,deseeded and diced
250 g pack precooked brown rice,250,g,pack precooked brown rice,
220 g pack fresh filo pastry,220,g,pack fresh filo pastry,
"100 g butter, melted",100,g,butter,melted
"100 g vegetarian feta, crumbled",100,g,vegetarian feta,crumbled
a large pinch of poppy seeds or sesame seeds,,,a large pinch of poppy seeds or sesame seeds,
4x 175 g thick white fish fillets,4x,175 g,thick white fish fillets,
"small bunch dill, leaves only, chopped",,small bunch,dill,"leaves only, chopped"
100 g half-fat soft cheese,100,g,half-fat soft cheese,
"200 g frozen prawns, raw or cooked defrosted",200,g,frozen prawns,raw or cooked defrosted
4 sheets filo pastry,4,,sheets filo pastry,
2 tsp rapeseed oil,2,tsp,rapeseed oil,
"1 tbsp Parmesan, finely grated",1,tbsp,Parmesan,finely grated
3 mugs pasta,3,mugs,pasta,
500 g minced beef,500,g,minced beef,
1 egg,1,,egg,
1 tsp dried oragano,1,tsp,dried oragano,
"2 slices bread, made into breadcrumbs",2,slices,bread,made into breadcrumbs
salt and pepper,,,salt and pepper,
1 tbsp olive oil,1,tbsp,olive oil,
"1 onion, chopped",1,,onion,chopped
"2 ready-roasted red peppers (from a jar), roughly chopped",2,,ready-roasted red peppers (from a jar),roughly chopped
500 g passata,500,g,passata,
0.5 mug water + 1 beef stock cube,0.5,mug,water + 1 beef stock cube,
200 g mozzarella cheese,200,g,mozzarella cheese,
"1 tbsp fresh thyme leaves, chopped",1,tbsp,fresh thyme leaves,chopped
"225 g unsalted butter, softened",225,g,unsalted butter,softened
125 caster sugar,125,,caster sugar,
100 g golden syrup,100,g,golden syrup,
225 g self-raising flour,225,g,self-raising flour,
0.5 tsp baking powder,0.5,tsp,baking powder,
4 large eggs,4,large,eggs,
finely grated zest of 1 lemon,,,finely grated zest of 1 lemon,
100 g unsalted butter,100,g,unsalted butter,
1 tbsp golden syrup,1,tbsp,golden syrup,
200 g icing sugar,200,g,icing sugar,
"pared zest of 1 lemon, plus 3 tbsp of juice",,,"pared zest of 1 lemon, plus 3 tbsp of juice",
2 tsp olive oil,2,tsp,olive oil,
"1 onion, finely chopped",1,,onion,finely chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
0.5 tsp dried chilli flakes,0.5,tsp,dried chilli flakes,
200 g wholemeal penne pasta,200,g,wholemeal penne pasta,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
100 ml red wine,100,ml,red wine,
0.5 tsp dried oregano,0.5,tsp,dried oregano,
1x 125 g bag young spinach leaves,1x,125 g bag,young spinach leaves,
"25 g parmesan or vegetarian alternative, grated",25,g,parmesan or vegetarian alternative,grated
450 g minced turkey,450,g,minced turkey,
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"1 small onion, chopped",1,small,onion,chopped
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
1 tbsp coarsely grated ginger,1,tbsp,coarsely grated ginger,
"1 red chilli, deseed and finely sliced",1,,red chilli,deseed and finely sliced
2 tsp each of ground cumin and coriander,2,tsp,each of ground cumin and coriander,
1 tbsp korma curry paste,1,tbsp,korma curry paste,
"500 g new potatoes, halved",500,g,new potatoes,halved
100 g spinach leaves,100,g,spinach leaves,
150 g 0% fat Greek yogurt,150,g,0% fat Greek yogurt,
"chapattis or naan bread, to serve",,,chapattis or naan bread,to serve
"3 onions, peeled",3,,onions,peeled
500 g minced lamb,500,g,minced lamb,
"zest and juice 1 unwaxed lemon, quartered",,,zest and juice 1 unwaxed lemon,quartered
1 tsp ground cumin,1,tsp,ground cumin,
1 tsp ground cinnamon,1,tsp,ground cinnamon,
pinch cayenne pepper,,,pinch cayenne pepper,
"small bunch flat-leaf parsley, chopped",,,small bunch flat-leaf parsley,chopped
2 tbsp olive oil,2,tbsp,olive oil,
"thumb-sized piece ginger, peeled and grated",,thumb-sized piece,ginger,peeled and grated
"1 red chilli, deseeded and finely chopped",1,,red chilli,deseeded and finely chopped
pinch saffron strands,,pinch,saffron strands,
250 ml lamb stock,250,ml,lamb stock,
1 tbsp tomato purée,1,tbsp,tomato purée,
100 g pitted black kalamata olive,100,g,pitted black kalamata olive,
"small bunch coriander, chopped",,small bunch,coriander,chopped
"couscous or fresh crusty bread, to serve",,,couscous or fresh crusty bread,to serve
600 ml milk,600,ml,milk,
1 sprig thyme,1,sprig,thyme,
600 g skinned white fish fillets,600,g,skinned white fish fillets,
55 g butter,55,g,butter,
2 tbsp plain flour,2,tbsp,plain flour,
"50 g block creamed coconut, roughly chopped",50,g,block creamed coconut,roughly chopped
salt and pepper,,,salt and pepper,
"1.5 limes, juiced",1.5,,limes,juiced
"leaves from a large bunch coriander, chopped",,,leaves from a large bunch coriander,chopped
"250 g young leaf spinach, washed",250,g,young leaf spinach,washed
"900 g sweet potatoes, peeled",900,g,sweet potatoes,peeled
40 g butter,40,g,butter,
good grating of nutmeg,,,good grating of nutmeg,
pinch of ground allspice,,,pinch of ground allspice,
salt and pepper,,,salt and pepper,
salt,,,salt,
225 g uncooked elbow macaroni,225,g,uncooked elbow macaroni,
0.5 cup &frac14;-inch diced celery,0.5,cup,&frac14;-inch diced celery,
"2 oz sharp Cheddar, cut into &frac14;-inch cubes",2,oz,sharp Cheddar,cut into &frac14;-inch cubes
0.25 cup thinly sliced scallions,0.25,cup,thinly sliced scallions,
0.25 cup sliced cornichon rounds,0.25,cup,sliced cornichon rounds,
2 tbsp mild Tennessee chow chow (optional),2,tbsp,mild Tennessee chow chow (optional),
1 cup mayonnaise,1,cup,mayonnaise,
"2x 6 oz cans chunked light tuna in water, drained",2x,6 oz cans,chunked light tuna in water,drained
"freshly ground black pepper, to taste",,,freshly ground black pepper,to taste
2 tbsp dark soy sauce,2,tbsp,dark soy sauce,
2 tbsp dry sherry (or Shaoxing cooking wine or apple juice),2,tbsp,dry sherry (or Shaoxing cooking wine or apple juice),
3 tbsp oyster sauce,3,tbsp,oyster sauce,
1 tsp caster sugar,1,tsp,caster sugar,
1 tsp sesame oil,1,tsp,sesame oil,
2 tsp cornflour,2,tsp,cornflour,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
300 g minced beef (12% fat),300,g,minced beef (12% fat),
"2 cloves garlic, finely sliced",2,cloves,garlic,finely sliced
"2.5 cm piece root ginger, peeled and shredded",2.5,cm piece,root ginger,peeled and shredded
1x 600 g pack sweet & crunchy stir fry veg or other stir fry pack,1x,600 g pack,sweet & crunchy stir fry veg or other stir fry pack,
1x 410 g pack fresh egg noodles,1x,410 g pack,fresh egg noodles,
1 tbsp olive or rapeseed oil,1,tbsp,olive or rapeseed oil,
"1 onion, finely chopped",1,,onion,finely chopped
"3 clove garlic, sliced",3,clove,garlic,sliced
1 tsp smoked paprika,1,tsp,smoked paprika,
0.5 tsp cumin,0.5,tsp,cumin,
1 tbsp dried thyme,1,tbsp,dried thyme,
"3 medium carrot, sliced (about 200 g)",3,medium,carrot,sliced (about 200 g)
"2 medium sticks celery, finely sliced (about 120 g)",2,medium sticks,celery,finely sliced (about 120 g)
"1 red pepper, chopped",1,,red pepper,chopped
"1 yellow pepper, chopped",1,,yellow pepper,chopped
2x 400 g tins tomatoes or peeled cherry tomatoes,2x,400 g tins,tomatoes or peeled cherry tomatoes,
250 ml vegetable stock,250,ml,vegetable stock,
"2 courgettes, sliced thickly (about 300 g)",2,,courgettes,sliced thickly (about 300 g)
2 sprigs fresh thyme,2,sprigs,fresh thyme,
250 g cooked lentil or 125 g dried lentils,250,g,cooked lentil or 125 g dried lentils,
1 tbsp sunflower oil,1,tbsp,sunflower oil,
2 tsp mild curry paste,2,tsp,mild curry paste,
"2 large boneless skinless chicken breast, cut into bite-size pieces",2,large,boneless skinless chicken breast,cut into bite-size pieces
"2 medium-sized sweet potatoes, peeled and cut into bite-size pieces",2,,medium-sized sweet potatoes,peeled and cut into bite-size pieces
4 tbsp red split lentils,4,tbsp,red split lentils,
300 ml chicken stock,300,ml,chicken stock,
1x 400 ml cans coconut milk,1x,400 ml cans,coconut milk,
175 g frozen peas,175,g,frozen peas,
1x 206 g pack cubetti di pancetta,1x,206 g,pack cubetti di pancetta,
2 tbsp olive oil,2,tbsp,olive oil,
"1 large onion, diced",1,large,onion,diced
"3 cloves garlic, chopped",3,cloves,garlic,chopped
350 g risotto rice,350,g,risotto rice,
150 ml white wine,150,ml,white wine,
"1.5 litres hot chicken stock or veg stock, made with 2 stock cubes",1.5,litres,hot chicken stock or veg stock,made with 2 stock cubes
125 g unsalted butter,125,g,unsalted butter,
300 g frozen peas,300,g,frozen peas,
1x 100 g bag baby leaf spinach,1x,100 g bag,baby leaf spinach,
"100 g Parmesan, grated",100,g,Parmesan,grated
"zest of 1 lemon, to garnish",,,zest of 1 lemon,to garnish
2 good pinches saffron threads,2,good pinches,saffron threads,
2 tbsp boiling water,2,tbsp,boiling water,
"600 g mini chicken fillets (or use boneless skinless chicken breasts), cut into thick strips",600,g,mini chicken fillets (or use boneless skinless chicken breasts),cut into thick strips
"40 g rosemary, leaves picked and very finely chopped",40,g,rosemary,leaves picked and very finely chopped
2 tbsp garlic oil,2,tbsp,garlic oil,
sea salt flakes and freshly ground black pepper,,,sea salt flakes and freshly ground black pepper,
vegetable oil,,,vegetable oil,
450 g cherry tomatoes,450,g,cherry tomatoes,
pinch of golden caster sugar,,pinch,of golden caster sugar,
"1 onion, chopped",1,,onion,chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"1 tsp dried or 1 tbsp chopped fresh oregano, plus extra to serve",1,tsp,dried or 1 tbsp chopped fresh oregano,plus extra to serve
5 tbsp vegetable stock,5,tbsp,vegetable stock,
350 g short pasta shapes such as penne,350,g,short pasta shapes such as penne,
2 tbsp olive oil,2,tbsp,olive oil,
"1 medium onion, sliced",1,medium,onion,sliced
"300 g mini Portobello mushrooms or chestnut mushrooms, sliced",300,g,mini Portobello mushrooms or chestnut mushrooms,sliced
"2 cloves garlic, crushed",2,cloves,garlic,crushed
1.5 tsp ground cumin,1.5,tsp,ground cumin,
1 tsp smoked paprika,1,tsp,smoked paprika,
"2x 400 g cans green lentils, drained and rinsed (drained weight 240g)",2x,400 g cans,green lentils,drained and rinsed (drained weight 240g)
1 tbsp soy sauce,1,tbsp,soy sauce,
1 tbsp balsamic vinegar,1,tbsp,balsamic vinegar,
"1 medium sweet potato, peeled and very thinly sliced",1,medium,sweet potato,peeled and very thinly sliced
"1 large potato, very thinly sliced",1,large,potato,very thinly sliced
"1 sprig thyme, leaves picked",1,sprig,thyme,leaves picked
2 skinless chicken breast fillets,2,,skinless chicken breast fillets,
2 tbsp olive oil,2,tbsp,olive oil,
"1 shallot, finely chopped",1,,shallot,finely chopped
"4 cloves garlic, finely chopped",4,cloves,garlic,finely chopped
1 tsp paprika,1,tsp,paprika,
juice of 1 lemon,,,juice of 1 lemon,
salt and ground black pepper,,,salt and ground black pepper,
"resh flat leaf parsley, fto garnish",,,resh flat leaf parsley,fto garnish
"lemon wedges, to serve",,,"lemon wedges, to serve",
1.5 mugs orzo pasta,1.5,mugs,orzo pasta,
1 chicken stock cube,1,,chicken stock cube,
1 tsp turmeric,1,tsp,turmeric,
1 tbsp olive oil,1,tbsp,olive oil,
"1 red pepper, chopped",1,,red pepper,chopped
"200 g chorizo sausage, diced",200,g,chorizo sausage,diced
300 g cooked prawns,300,g,cooked prawns,
"6 spring onions, chopped",6,,spring onions,chopped
"1 mug frozen peas, defrosted",1,mug,frozen peas,defrosted
2 tbsp chopped basil,2,tbsp,chopped basil,
Juice of lemon,,,Juice of lemon,
1 tbsp olive oil,1,tbsp,olive oil,
"300 g cherry tomatoes, halved",300,g,cherry tomatoes,halved
300 g wholewheat penne (or other pasta shape of your choice),300,g,wholewheat penne (or other pasta shape of your choice),
"2 cloves garlic, crushed",2,cloves,garlic,crushed
1 tbsp tomato puree,1,tbsp,tomato puree,
"75 g sundried tomatoes, sliced",75,g,sundried tomatoes,sliced
200 g young spinach,200,g,young spinach,
"200 g cooked chicken breast, shredded",200,g,cooked chicken breast,shredded
100 g half-fat creme fraiche,100,g,half-fat creme fraiche,
"0.5x 30 g pack basil, shredded",0.5x,30 g pack,basil, shredded
"50 g Parmesan, grated",50,g,Parmesan,grated
300 g lean minced beef,300,g,lean minced beef,
50 g wholemeal breadcrumbs,50,g,wholemeal breadcrumbs,
50 g carrot grated,50,g,carrot grated,
"1 small onion, grated",1,small,onion,grated
small handful chopped parsley leaves,,small handful,chopped parsley leaves,
1 tsp Worcestershire sauce,1,tsp,Worcestershire sauce,
4 wholemeal burger buns,4,,wholemeal burger buns,
handful salad leaves,,,handful salad leaves,
"tomato salsa, to serve",,,tomato salsa,to serve
300 g short pasta shapes,300,g,short pasta shapes,
"250 g green beans, trimmed",250,g,green beans,trimmed
250 g ripe tomatoes,250,g,ripe tomatoes,
200 g ripe brie cheese,200,g,ripe brie cheese,
"1 clove garlic, chopped",1,clove,garlic,chopped
juice of &frac12; lemon,,,juice of &frac12; lemon,
3 tbsp good olive oil,3,tbsp,good olive oil,
200 g petit pois,200,g,petit pois,
100 g parmesan,100,g,parmesan,
500 g orzo,500,g,orzo,
1 lemon,1,,lemon,
200 g spinach,200,g,spinach,
Bunch of basil,,,Bunch of basil,
Bunch of mint,,,Bunch of mint,
Garlic,,,Garlic,
40 g pine nuts,40,g,pine nuts,
"50 g white basmati rice, rinsed and drained",50,g,white basmati rice,rinsed and drained
"2 tbsp sunflower oil, plus extra for oiling",2,tbsp,sunflower oil,plus extra for oiling
"2 small onions, chopped",2,small,onions,chopped
450 g minced pork,450,g,minced pork,
"1 egg, lightly beaten",1,,egg,lightly beaten
0.25 tsp dried marjoram,0.25,tsp,dried marjoram,
1 tbsp chopped parsley leaves,1,tbsp,chopped parsley leaves,
1 tsp paprika,1,tsp,paprika,
2.5 tsp salt,2.5,tsp,salt,
0.25 tsp freshly ground black pepper,0.25,tsp,freshly ground black pepper,
"2 tbsp butter, softened",2,tbsp,butter,softened
1.5 tbsp plain flour,1.5,tbsp,plain flour,
1 tbsp cornflour,1,tbsp,cornflour,
6 tbsp tomato puree/paste,6,tbsp,tomato puree/paste,
2 tbsp sugar,2,tbsp,sugar,
0.25 tsp salt,0.25,tsp,salt,
2 tbsp red wine vinegar,2,tbsp,red wine vinegar,
4 tbsp sunflower oil,4,tbsp,sunflower oil,
"650 g braising steak, cut into 2.5 cm cubes",650,g,braising steak,cut into 2.5 cm cubes
2 tsp plain flour,2,tsp,plain flour,
2 tsp paprika,2,tsp,paprika,
300 ml beef stock,300,ml,beef stock,
"3 onions, chopped",3,,onions,chopped
"4 carrots, diced",4,,carrots,diced
"1 large potato, diced",1,large,potato,diced
1 bay leaf,1,,bay leaf,
1 tsp caraway seeds,1,tsp,caraway seeds,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
2 tbsp soured cream,2,tbsp,soured cream,
salt and pepper,,,salt and pepper,
500 g puff pastry,500,g,puff pastry,
500 g minced beef,500,g,minced beef,
"1 large onion, finely chopped",1,large,onion,finely chopped
a little olive oil,,,a little olive oil,
"1 red pepper, finely chopped",1,,red pepper,finely chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
1 chilli finely chopped,1,,chilli finely chopped,
400 g chopped tomatoes,400,g,chopped tomatoes,
"400 g red kidney beans, drained and rinsed",400,g,red kidney beans,drained and rinsed
0.5 tsp chilli flakes,0.5,tsp,chilli flakes,
2 tsp paprika,2,tsp,paprika,
generous splash of Worcestershire sauce,,generous splash,of Worcestershire sauce,
"225 g strong white bread flour, plus more to dust",225,g,strong white bread flour,plus more to dust
0.5 tsp salt,0.5,tsp,salt,
"225 g unsalted butter, chilled",225,g,unsalted butter,chilled
1 tsp lemon juice,1,tsp,lemon juice,
"1 large egg, lightly beaten",1,large,egg,lightly beaten
"4 spring onions, chopped",4,,spring onions,chopped
olive oil,,,olive oil,
30 g unsalted butter,30,g,unsalted butter,
2 tbsp plain flour,2,tbsp,plain flour,
250 ml whole milk,250,ml,whole milk,
50 ml dry white wine,50,ml,dry white wine,
"75 g Cheddar cheese, grated",75,g,Cheddar cheese,grated
1 tsp Dijon mustard,1,tsp,Dijon mustard,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"25 g chives, chopped",25,g,chives,chopped
75 g frozen peas,75,g,frozen peas,
75 g frozen sweetcorn,75,g,frozen sweetcorn,
300 g chopped mixed fish,300,g,chopped mixed fish,
100 g raw shelled prawns,100,g,raw shelled prawns,
sea salt and black pepper,,,sea salt and black pepper,
2 heaped tbsp Jamaican jerk paste,2,heaped tbsp,Jamaican jerk paste,
2 tbsp clear honey,2,tbsp,clear honey,
4 salmon fillets,4,,salmon fillets,
juice 2 limes,,,juice 2 limes,
"0.5 red cabbage, core removed thinly sliced",0.5,,red cabbage,core removed  thinly sliced
"1 firm but ripe mango, skin removed, thinly sliced",1,,firm but ripe mango,"skin removed, thinly sliced"
"1 red pepper, thinly sliced",1,,red pepper,thinly sliced
"6 spring onions, thinly sliced on an angle",6,,spring onions,thinly sliced on an angle
"small bunch coriander, leaves picked",,,small bunch coriander,leaves picked
2 tbsps butter,2,tbsps,butter,
"0.5 medium onion, cut in &frac12;-inch dice",0.5,medium,onion,cut in &frac12;-inch dice
"1 medium carrot, peeled cut in &frac14;-inch dice",1,medium,carrot,peeled  cut in &frac14;-inch dice
"2-3 slices deli ham, cut into &frac12;-inch pieces",2-3,slices,deli ham,cut into &frac12;-inch pieces
"2 cups cooked medium-grain rice, preferably day-old or cooked a little dry",2,cups,cooked medium-grain rice,preferably day-old or cooked a little dry
"2 tbsp ketchup, plus more for serving",2,tbsp,ketchup,plus more for serving
1 tsp soy sauce,1,tsp,soy sauce,
0.25 cup frozen peas,0.25,cup,frozen peas,
1 tbsp chicken stock or dashi (optional),1,tbsp,chicken stock or dashi (optional),
salt and pepper,,,salt and pepper,
"Canola or safflower oil, or other neutral oil",,,Canola or safflower oil,or other neutral oil
"1 tsp canola or safflower oil, or other neutral oil",1,tsp,canola or safflower oil,or other neutral oil
4 eggs,4,,eggs,
1 tsp dashi or water,1,tsp,dashi or water,
salt and pepper,,,salt and pepper,
500 g lean turkey breast mince,500,g,lean turkey breast mince,
"1 red pepper, deseeded and finely diced",1,,red pepper,deseeded and finely diced
"1 large courgette, trimmed and finely diced",1,large,courgette,trimmed and finely diced
"1 large carrot, grated",1,large,carrot,grated
1x 500 g jar Dolmio Original Bolognese Sauce,1x,500 g jar,Dolmio Original Bolognese Sauce,
200 g fusilli,200,g,fusilli,
50 g frozen peas,50,g,frozen peas,
50 g frozen sweetcorn,50,g,frozen sweetcorn,
"30 g grated Parmesan, to serve",30,g,grated Parmesan,to serve
1 tbsp extra virgin olive oil,1,tbsp,extra virgin olive oil,
"1 red onion, diced",1,,red onion,diced
"1 red capsicum, finely diced",1,,red capsicum,finely diced
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"400 g tinned brown lentils, rinsed and drained",400,g,tinned brown lentils,rinsed and drained
"1 small red chilli, sliced",1,small,red chilli,sliced
"3 tbsp taco seasoning, reduced salt",3,tbsp,taco seasoning,reduced salt
500 ml water,500,ml,water,
"400 g tinned tomatoes, diced",400,g,tinned tomatoes,diced
"100 grams wholemeal pasta, any shape",100,grams,wholemeal pasta,any shape
"120 g reduced-fat cheddar cheese, grated",120,g,reduced-fat cheddar cheese,grated
"25 g plain corn chips, crushed",25,g,plain corn chips,crushed
65 g reduced-fat Greek natural yoghurt,65,g,reduced-fat Greek natural yoghurt,
"2 tbsp fresh coriander, chopped",2,tbsp,fresh coriander,chopped
900 g new potatoes,900,g,new potatoes,
2 bulbs fennel,2,bulbs,fennel,
"0.5 lemon, juiced",0.5,,lemon,juiced
24 small good-quality black olives,24,small,good-quality black olives,
5 tbsp extra virgin olive oil,5,tbsp,extra virgin olive oil,
"12 sardines, cleaned and gutted",12,,sardines,cleaned and gutted
4 tbsp olive oil,4,tbsp,olive oil,
harissa,,,harissa,
"2 lemons, 1 juiced, 1 cut into wedges to serve",2,,lemons,"1 juiced, 1 cut into wedges to serve"
3 tbsp chopped parsley,3,tbsp,chopped parsley,
250 g packet egg noodles,250,g packet,egg noodles,
350 g broccoli florets,350,g,broccoli florets,
2 tbsp olive oil,2,tbsp,olive oil,
"2.5 cm piece ginger, grated",2.5,cm piece,ginger,grated
"4 cloves garlic, finely sliced",4,cloves,garlic,finely sliced
"2 boneless skinless chicken breasts, cut into thin strips",2,,boneless skinless chicken breasts,cut into thin strips
"1 bunch spring onions, trimmed and cut in half horizontally",1,bunch,spring onions,trimmed and cut in half horizontally
3 tbsp light soy sauce,3,tbsp,light soy sauce,
200 ml chicken stock,200,ml,chicken stock,
1x 790 g tin tomatillos,1x,790 g tin,tomatillos,
2 serrano or other medium-hot green chillis,2,,serrano or other medium-hot green chillis,
1 clove of garlic,1,clove,of garlic,
"1 small onion, chopped",1,small,onion,chopped
"bunch fresh coriander, finely chopped",,bunch,fresh coriander,finely chopped
100 ml chicken stock,100,ml,chicken stock,
8-12 soft corn tortillas,8-12,,soft corn tortillas,
"325 g cooked chicken, shredded",325,g,cooked chicken,shredded
150 ml double cream,150,ml,double cream,
"50 g Manchego cheese, grated",50,g,Manchego cheese,grated
