input,name,quantity,unit,preparation,comment
1/2 cup panko,panko,0.5,cup,,
"½ fresh hot chile pepper, preferably Scotch bonnet, seeded and minced",fresh hot chile pepper,0.5,,seeded and minced,preferably Scotch bonnet
2 teaspoons ground coriander,ground coriander,2,teaspoon,,
1½ pounds italian sausage,italian sausage,1.5,pound,,
"1¾ pounds lean, boneless beef stew meat, chuck or bottom round, trimmed of fat and cut into 1½-inch chunks",boneless beef stew meat,1.75,pound,trimmed of fat and cut into 1.5-inch chunk,"lean, chuck or bottom round"
2 tablespoons mango or other store-bought chutney,mango,2,tablespoon,,or other store-bought chutney
½ cup (4 ounces/113 grams) unsalted butter,unsalted butter,0.5 4 113,cup ounce gram,,(/)
"2 pounds (about 15) firm ripe green figs, sterns trimmed, cut into ½-inch-thick wedges",firm ripe green figs,2 15,pound,"sterns trimmed, cut into 0.5-inch-thick wedge",(about)
"3 parsnips, ends removed but not peeled, cut into medium dice",parsnips,3,,"ends removed but not peeled, cut into medium dice",
"Thumb-sized piece of fresh ginger, grated",fresh ginger,,thumb-sized piece ,grated,of
2 tablespoons thinly sliced green onion,green onion,2,tablespoon,thinly sliced ,
3 ounces fresh sweet and sour mix (recipe follows),fresh sweet and sour mix,3,ounce,,(recipe follows)
½ cup plus 2 teaspoons granulated sugar,granulated sugar,0.5,cup,,plus 2 teaspoon 
"2 orange, yellow or red bell peppers, cored, seeded, and cut into 1 in. (2.5 cm) pieces","orange, yellow or red bell peppers",2,,"cored, seeded, and cut into 1 in. (2.5 cm) piece",
1/3 cup (79 mL) mild or strong molasses,mild or strong molasses,0.333 79,cup mL,,()
1½ teaspoons powdered gelatin,powdered gelatin,1.5,teaspoon,,
"2 lemons, thinly sliced and seeds removed",lemons,2,,thinly sliced and seeds removed,
1¼ cups (156 g) flour,flour,1.25 156,cup g,,()
"1 cup flour, spread on a plate",flour,1,cup,,spread on a plate
5½ cups flour,flour,5.5,cup,,
"2 leeks, washed and sliced in half",leeks,2,,washed and sliced in half,
2 tablespoons sherry vinegar or red wine vinegar,sherry vinegar or red wine vinegar,2,tablespoon,,
1 scant cup (4 ounces) whole hazelnuts,whole hazelnuts,1 4,scant cup ounce,,()
Chocolate Curls,Chocolate Curls,,,,
"4 tablespoons unsalted butter, softened, plus 2 tablespoons unsalted butter, chilled",unsalted butter,4,tablespoon,softened,"plus 2 tablespoon unsalted butter, chilled"
"About 1/3 cup sugar, depending on the sweetness of the fruit",sugar,0.333,cup,,"About, depending on the sweetness of the fruit"
2 tablespoons fish sauce,fish sauce,2,tablespoon,,
"2 to 3 amaretti cookies, crushed, optional",amaretti cookies,2-3,,crushed,optional
1 tbsp (15 mL) turkey fat skimmed from drippings or vegetable oil,turkey fat skimmed from drippings or vegetable oil ,1 15,tbsp mL,,()
"¼ teaspoon kosher salt, plus a little more, if needed",kosher salt,0.25,teaspoon,,"plus a little more, if needed"
2 to 3 teaspoons cumin seeds,cumin seeds,2-3,teaspoon,,
"8 garlic cloves, peeled and finely chopped",garlic,8,clove,peeled and finely chopped,
"2 tablespoons white wine vinegar, optional",white wine vinegar,2,tablespoon,,optional
"3 scallions, sliced",scallions,3,,sliced,
"1 (4 pound) piece of swordfish, about 2-inches thick",swordfish,1 4,piece pound,,"of (), about 2-inches thick"
Optional: red wine vinegar,red wine vinegar,,,,Optional: 
Scant ½ teaspoon salt,salt,0.5,scant teaspoon,,
3 tablespoons finely chopped shallots,shallots,3,tablespoon,finely chopped ,
1 cup farfalle (bow tie pasta),farfalle,1,cup,,(bow tie pasta)
"6 salmon steaks, about 6 ounces each",salmon steaks,6 6,ounce,,about each
2¼ cups malt vinegar,malt vinegar,2.25,cup,,
2 tablespoons toasted pine nuts,pine nuts,2,tablespoon,toasted ,
1 tablespoon light com syrup,light com syrup,1,tablespoon,,
"5 tablespoons unsalted butter, melted and cooled",unsalted butter,5,tablespoon,melted and cooled,
1½ teaspoons coconut extract,coconut extract,1.5,teaspoon,,
"4 medium ripe tomatoes, cored, seeded, and finely diced",ripe tomatoes,4,medium,"cored, seeded, and finely diced",
"Four 7-ounce swordfish steaks, about 1 inch thick",swordfish steaks,4 7,ounce,,about 1 inch thick
½ tsp (2 mL) chili powder,chili powder,0.5 2,tsp ml,,()
"1¼ pounds large shrimp, peeled, leaving tail and final shell segment intact and deveined if you like",large shrimp,1.25,pound,"peeled, leaving tail and final shell segment intact and deveined if you like",
55g/2oz pine nuts,pine nuts,55 2,g oz,,/
"1 pound large, peeled shrimp (15 to 20 count)",large shrimp,1 15-20,pound count,peeled,()
"1 pound pumpkin or butternut squash, peeled, seeded and cubed",pumpkin or butternut squash,1,pound,"peeled, seeded and cubed",
"Pure olive oil, for frying",Pure olive oil,,,,for frying
¼ cup strawberry jam,strawberry jam,0.25,cup,,
"½ cup (125 ml) black olives, pitted and chopped (about 20 olives)",black olives,0.5 125 20,cup ml,pitted and chopped,"(),  (about olives)"
4 cups half-and-half,half-and-half,4,cup,,
2 ripe mangoes,ripe mangoes,2,,,
1 cup crumbled corn bread,corn bread,1,cup,crumbled ,
"4 oz (115g) shredded cold suet, shortening, or butter",suet,4 115,oz g,"cold, shredded","(), shortening, or butter"
"3 small firm eggplants, cut into ¼-inch slices",firm eggplants,3,small,cut into 0.25-inch slice,
3 cups half-and-half or heavy cream,half-and-half or heavy cream,3,cup,,
Chocolate,Chocolate,,,,
"1 shallot, peeled and thinly sliced",shallot,1,,peeled and thinly sliced,
"2 red bell peppers, diced",red bell peppers,2,,diced,
"1½ teaspoons cardamom seeds, finely ground in a spice grinder or mortar",cardamom seeds,1.5,teaspoon,finely ground in a spice grinder or mortar,
1 cup chicken or vegetable stock,chicken or vegetable stock,1,cup,,
2 tablespoons olive oil,olive oil,2,tablespoon,,
"10 oz oyster mushrooms, torn into strips (4 cups)",oyster mushrooms,10 4,oz cup,torn into strip ,()
8 ounces lump crabmeat,lump crabmeat,8,ounce,,
"1 large tart-sweet apple, such as Gala, peeled, cored, and thinly sliced",tart-sweet apple,1,large,"peeled, cored, and thinly sliced",such as Gala
2 cups finely chopped yellow onions,yellow onions,2,cup,finely chopped ,
Small pinch cayenne,cayenne,,small pinch,,
"1 canned chipotle chiles in adobo, chopped",canned chipotle chiles in adobo,1,,chopped,
"Freshly ground black pepper, optional",Freshly ground black pepper,,,,", optional"
¾ cup shredded Swiss cheese,Swiss cheese,0.75,cup,shredded ,
1 1/3 cups (6¼ ounces/175 grams) all-purpose flour,all-purpose flour,1.333 6.25 175,cup ounce gram,,(/)
3 whole artichokes,whole artichokes,3,,,
¾ cup matzoh meal,matzoh meal,0.75,cup,,
1large egg yolk,egg yolk,1,large,,
"4 large eggs, room temperature",eggs,4,large,room temperature,
6 whole heads garlic,garlic,6,whole head,,
½ cup plus 2 tablespoons (about 2 ounces) sliced unblanched almonds,almonds,0.5 2,cup ounce,"unblanched, sliced",plus 2 tablespoon (about)
pinch of saffron threads,saffron threads,,pinch,,of
2 lb (900g) boneless loin of lamb,boneless loin of lamb,2 900,lb g,,()
Butter and sugar for the pan,Butter and sugar,,,,for the pan
¾ cup (175 ml) chopped dates or ½ cup (125 ml) jaggery (sugur),dates,0.75 175,cup ml,chopped,() or 0.5 cup (125 ml) jaggery (sugur)
"4 portobello caps, stem and gills removed",portobello caps,4,,stem and gills removed,
2 tablespoons chopped fresh basil or 1½ teaspoons dried,fresh basil,2,tablespoon,chopped ,or 1.5 teaspoon dried
"1-2 fresh Thai, serrano, or cayenne chiles, stems removed and thinly sliced",fresh Thai,1-2,,stem removed and thinly sliced,"serrano, or cayenne chiles"
2 to 3 tablespoons orange juice,orange juice,2-3,tablespoon,,
2 tablespoons dried oregano,dried oregano,2,tablespoon,,
2¼ cups milk,milk,2.25,cup,,
Corn or canola oil for frying,Corn or canola oil,,,,for frying
"2 salmon fillets, about 1½ pounds each",salmon fillets,2 1.5,pound,,about each
1/8 teaspoon cream of tartar,cream of tartar,0.125,teaspoon,,
"Four 6-ounce boneless and skinless chicken breasts, trimmed and lightly pounded to uniform thickness",boneless and skinless chicken breasts,4 6,ounce,trimmed and lightly pounded to uniform thickness,
"½ cup extra virgin olive oil, plus oil for drizzling",extra virgin olive oil,0.5,cup,,plus oil for drizzling
¾ cup distilled white vinegar,distilled white vinegar,0.75,cup,,
2 tbsp (25 ml) crystallized ginger cut into thin slivers (optional),crystallized ginger,2 25,tbsp ml,cut into thin slivers,() (optional)
1 cup minus 2 tablespoons (180 grams) sugar,sugar,1 180,cup gram,,() minus 2 tablespoon 
"4 or 5 potatoes, peeled and sliced",potatoes,4-5,,peeled and sliced,
1 cup (4oz/115g) shredded Cheddar,Cheddar,1 4 115,cup oz g,shredded ,(/)
3 cups chicken stock,chicken stock,3,cup,,
"4 pounds fish frames, heads, and tails, thoroughly rinsed under cold running water, gills trimmed and discarded",fish frames,4,pound,"head, and tails, thoroughly rinsed under cold running water, gills trimmed and discarded",
2 tablespoons maple syrup,maple syrup,2,tablespoon,,
2 tablespoons sweetened condensed milk,sweetened condensed milk,2,tablespoon,,
5 cups ice,ice,5,cup,,
"3 cups granulated sugar (21 ounces, 600 grams)",granulated sugar,3 21 600,cup ounce gram,,()
½ batch Quickest Puff Pastry,Quickest Puff Pastry,0.5,batch ,,
"2 lemons, cut into eight wedges",lemons,2,,cut into 8 wedge,
"½ cup plain, dried bread crumbs","plain, dried bread crumbs",0.5,cup,,
10½ ounces dried rice vermicelli,dried rice vermicelli,10.5,ounce,,
1 teaspoon coarse salt,coarse salt,1,teaspoon,,
"5 pounds ripe tomatoes, chopped",ripe tomatoes,5,pound,chopped,
1 cup sesame seeds,sesame seeds,1,cup,,
1 tablespoon sugar,sugar,1,tablespoon,,
"½ finger fresh ginger, peeled and crushed",fresh ginger,0.5,finger ,peeled and crushed,
"3 Roma tomatoes, chopped",Roma tomatoes,3,,chopped,
2 cups fresh orange Juice,fresh orange Juice,2,cup,,
40 organic mini meatballs (1 lb 5 oz in weight),organic mini meatballs,40 1 5,lb oz,,(in weight)
"1½ lb (680g) ripe tomatoes, skinned, seeded, and chopped",ripe tomatoes,1.5 680,lb g,"skinned, seeded, and chopped",()
2 cups pine nuts,pine nuts,2,cup,,
"10 sprigs parsley, chopped, plus 8 whole sprigs, for garnish",parsley,10,sprig,chopped,"plus 8 whole sprig, for garnish"
"¼ jalapeno pepper, finely chopped",jalapeno pepper,0.25,,finely chopped,
"2 cloves garlic, crushed and mixed with 1-2 teaspoons cold water",garlic,2,clove,crushed and mixed with 1-2 teaspoon cold water,
1 cup dried bread crumbs,dried bread crumbs,1,cup,,
"1 red chile pepper, finely chopped",red chile pepper,1,,finely chopped,
Gelato Base,Gelato Base,,,,
½ cup canned or fresh coconut milk,coconut milk,0.5,cup,,canned or fresh 
Few sprigs of thyme (optional),thyme,few,sprig,,of (optional)
¾ cup pernod or Ricard,pernod or Ricard,0.75,cup,,
"3 3/4 cups confectioners' sugar, sifted",confectioners' sugar,3.75,cup,sifted,
5 tbsp olive oil,olive oil,5,tbsp,,
Strawberries,Strawberries,,,,
2 tablespoons mirin (sweet cooking wine),mirin,2,tablespoon,,(sweet cooking wine)
"3 tablespoons fresh rosemary, coarsely chopped",fresh rosemary,3,tablespoon,coarsely chopped,
"1 small to medium head cauliflower, cored and cut into medium florets",cauliflower,1,small to medium head,cored and cut into medium florets,
3¾ cups confectioners sugar,confectioners sugar,3.75,cup,,
1 teaspoon cardamom,cardamom,1,teaspoon,,
1/3 cup Hellmann’s or Best Foods Real Mayonnaise,Hellmann’s or Best Foods Real Mayonnaise,0.333,cup,,
About 1 1/3 lb (600g) watermelon,watermelon,1.333 600,lb g,,About ()
"2 lb (900g) baking potatoes, peeled and chunked",baking potatoes,2 900,lb g,peeled and chunked,()
"2 avocados, peeled, pitted, and cut into chunks or slices",avocados,2,,"peeled, pitted, and cut into chunk or slice",
¼ cup (1/2 stick) butter,butter,0.25,cup,,(0.5 stick)
"1½ pounds spinach, cooked and puréed",spinach,1.5,pound,cooked and puréed,
1 cup tom radicchio,tom radicchio,1,cup,,
"9 navel oranges, cut in half and thinly sliced",navel oranges,9,,cut in half and thinly sliced,
5 oz (130g) goat cheese,goat cheese,5 130,oz g,,()
1 tablespoon fresh thyme leaves,fresh thyme leaves,1,tablespoon,,
"1 tablespoon combined finely chopped fresh savory, thyme, and parsley","fresh savory, thyme and parsley",1,tablespoon,combined finely chopped ,
½ tsp (2 mL) salt or to taste,salt,0.5 2,tsp mL,,() or to taste
3 tablespoons toasted walnut oil (see Notes),toasted walnut oil,3,tablespoon,,(see Notes)
½ cup Lemon Garlic Butter (recipe follows) or ¾ cup Soft Garlic Anchovy Oil,Lemon Garlic Butter,0.5,cup,, (recipe follows) or 0.75 cup Soft Garlic Anchovy Oil
½ cup chopped dried mango pieces,dried mango pieces,0.5,cup,chopped ,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,to taste
1 ½ ounces 100 percent agave blanco tequila,100 percent agave blanco tequila,1.5,ounce,,
"1 shallot, finely minced",shallot,1,,finely minced,
"1 cup shallots, preferably Asian shallots, not peeled, halved lengthwise if large",shallots,1,cup,"not peeled, halved lengthwise if large",preferably Asian shallots
2 tablespoons balsamic vinegar (or use the brine used to soak the capers),balsamic vinegar,2,tablespoon,,(or use the brine used to soak the capers)
4 rabbit legs,rabbit legs,4,,,
"1 cup (250 mL) chopped or sliced almonds, walnuts or pecans","almonds, walnuts or pecans",1 250,cup mL,chopped or sliced ,()
½ teaspoon ground white pepper,ground white pepper,0.5,teaspoon,,
2 tablespoons thinly sliced scallion,scallion,2,tablespoon,thinly sliced ,
1½ teaspoons Tabasco sauce,Tabasco sauce,1.5,teaspoon,,
"1 cold, cooked whole chicken breast, sliced and shredded",whole chicken breast,1,,"cooked cold, sliced and shredded",
4 tablespoons chopped Italian flat-leaf parsley,Italian flat-leaf parsley,4,tablespoon,chopped ,
"½ shallot, finely minced",shallot,0.5,,finely minced,
2 tsp (10 mL) minced garlic,garlic,2 10,tsp mL,minced,()
"Boiled Lobster or over couscous any tuna, salmon, bass, or snapper dish","Boiled Lobster or over couscous any tuna, salmon, bass, or snapper dish",,,,
Amanda's Grilled Cheese Croutons,Amanda's Grilled Cheese Croutons,,,,
1 tablespoon kasoori methi (dried fenugreek leaves),kasoori methi,1,tablespoon,,(dried fenugreek leaf)
"A large egg, beaten",egg,,large,beaten,A
20 to 24 cloves,cloves,20-24,,,
"1 19-ounce can fava beans, drained and rinsed",fava beans,1 19,can ounce,drained and rinsed,
"1 lemon, cut into wedges and seeds removed",lemon,1,,cut into wedge and seeds removed,
"¾ cup (175 mL) grated coconut, preferably fresh (or frozen, thawed, or dry unsweetened coconut powder)",coconut,0.75 175,cup mL,grated ,"(), preferably fresh (or frozen, thawed, or dry unsweetened coconut powder)"
¾ cup unsweetened coconut milk,unsweetened coconut milk,0.75,cup,,
1 rounded tablespoon grated Parmesan cheese,Parmesan cheese,1,rounded tablespoon ,grated ,
1 small or ½ medium-large red onion (¼ pound),red onion,1 0.5 0.25,small medium-large pound,,or ()
2 small eggplants (about ½ pound each),eggplants,2 0.5,small pound,,(about each)
1 cup (237 mL) plain yogurt,plain yogurt,1 237,cup mL,,()
8 slices day-old brioche or challah,day-old brioche or challah,8,slice,,
"1 cup hearty red wine, such as Sangiovese, Zinfandel, or Shiraz",hearty red wine,1,cup,,"such as Sangiovese, Zinfandel, or Shiraz"
"1 Granny Smith apple, cored and cut into small dice",Granny Smith apple,1,,cored and cut into small dice,
"1 fennel bulb, cored and sliced",fennel,1,bulb,cored and sliced,
"2 medium carrots, peeled and finely chopped",carrots,2,medium,peeled and finely chopped,
3 cups chopped onion,onion,3,cup,chopped ,
"½ leek, trimmed, well washed and chopped",leek,0.5,,"trimmed, well washed and chopped",
"1 3-inch piece galangal, or fresh gingerroot",galangal,1 3,piece inch,,or fresh gingerroot
"½ zucchini, unpeeled, chopped",zucchini,0.5,,"unpeeled, chopped",
3 cups fish stock or chicken broth,fish stock or chicken broth,3,cup,,
"2 cloves garlic, peeled and thinly sliced",garlic,2,clove,peeled and thinly sliced,
"One whole, sweet watermelon",whole sweet watermelon,1,,,
¾ cup semisweet chocolate chips (plus more for sprinkling later),semisweet chocolate chips,0.75,cup,,(plus more for sprinkling later)
2 cups water or broth from the chick-peas (unless canned),water or broth from the chick-peas,2,cup,,(unless canned)
"1/3 cup champagne vinegar, plus more, if needed",champagne vinegar,0.333,cup,,"plus more, if needed"
1 1/4 sticks (140g) unsalted butter,unsalted butter,1.25 140,stick g,,()
1/3 cup schmaltz,schmaltz,0.333,cup,,
"¼ cup flaxseed, ground",flaxseed,0.25,cup,ground,
"1 teaspoon paprika, preferably sweet Hungarian",paprika,1,teaspoon,,preferably sweet Hungarian
4 cups chopped walnuts,walnuts,4,cup,chopped,
¼ cup / 25 g black cardamom pods,black cardamom pods, 0.25 25,cup g,,/
2 cups (400 g) granulated sugar,granulated sugar,2 400,cup g,,()
Cacao nibs for garnish,Cacao nibs,,,,for garnish
1 or 2 tablespoons extra-virgin olive oil,extra-virgin olive oil,1-2,tablespoon,,
2 teaspoons light corn syrup,light corn syrup,2,teaspoon,,
"1 lb 2oz (500g) sweet dessert apples, such as Golden Delicious or McIntosh",sweet dessert apples,1 2 500,lb oz g,,"(), such as Golden Delicious or McIntosh"
"1 cup (250 mL) pistachios, finely ground",pistachios,1 250,cup mL,finely ground,()
Leaves of 1 sprig fresh thyme,Leaves of fresh thyme,1,sprig,,
"3-4 cardamom pods, bruised",cardamom pods,3-4,,bruised,
½ cup fresh grated Parmesan cheese or Pecorino cheese,Parmesan cheese or Pecorino cheese,0.5,cup,fresh grated ,
1 tablespoon plus 1 teaspoon chopped fresh sage or 2 teaspoons dried sage,fresh sage,1,tablespoon,,"plus 1 teaspoon chopped, or 2 teaspoon dried sage"
"6 ripe plum tomatoes, coarsely chopped",ripe plum tomatoes,6,,coarsely chopped,
1 pound ground beef round,ground beef round,1,pound,,
"3 cups cooked, cold white rice",white rice,3,cup,"cooked, cold ",
3 tablespoons crushed garlic,garlic,3,tablespoon,crushed ,
4 tablespoons grated Parmesean (optional),Parmesean,4,tablespoon,grated ,(optional)
2 cups chopped fresh tomatoes with their juices (about 1 pound),fresh tomatoes with their juices,2 1,cup pound,chopped ,(about)
¼ tsp asafetida (hing) or more to taste 1 mL,asafetida (hing),0.25 1,tsp mL,, or more to taste
"4 ripe tomatoes, peeled, seeded, and chopped, or 2 cups canned tomatoes",ripe tomatoes,4,,"peeled, seeded, and chopped",or 2 cup canned tomatoes
2 cups thinly sliced onions (3 to 4 onions),onions,2 3-4,cup,thinly sliced ,(onions)
1½ teaspoons low-sodium soy sauce,low-sodium soy sauce,1.5,teaspoon,,
"2 scallions, thinly sliced crosswise",scallions,2,,thinly sliced crosswise,
"½ pound slab bacon, cut into 1-inch cubes",slab bacon,0.5,pound,cut into 1-inch cube,
"most of 1 clove garlic, crushed",garlic,1,clove,crushed,most of
1 black bean curd (about 1 pound),black bean curd,1 1,pound,,(about)
½ cup crema or sour cream,crema or sour cream,0.5,cup,,
"1¼ to 1½ pounds firm-fleshed fish steaks or fillets, such as tilapia, striped bass, or lake trout, or an ocean fish such as snapper or cod",firm-fleshed fish steaks or fillets,1.25-1.5,pound,,"such as tilapia, striped bass, or lake trout, or an ocean fish such as snapper or cod"
6 chiles guajillos,chiles guajillos,6,,,
4 cups chicken broth or water,chicken broth or water,4,cup,,
1/4 cup (59 mL) organic granulated cane sugar,organic granulated cane sugar,0.25 59,cup mL,,()
½ cup (plus four for shaping)/ 2.5 ounces/ 71 grams durum flour,durum flour,0.5 2.5 71,cup ounce gram,,(plus 4 for shaping)/ /
1 cup freshly grated horseradish,horseradish,1,cup,freshly grated ,
"½ cup (110 ml) strong, dark chicken or veal stock",strong,0.5 110,cup ml,,"(), dark chicken or veal stock"
"1 jalapeno (seeded and veined for less heat), finely chopped (optional)",jalapeno,1,,"finely chopped, seeded and veined for less heat",() (optional)
½ cup white sugar or sugar syrup,white sugar or sugar syrup,0.5,cup,,
1½ teaspoons Spanish sherry vinegar,Spanish sherry vinegar,1.5,teaspoon,,
"Butter, vegetable oil margarine, and/or solid vegetable shortening, for cooking","Butter, vegetable oil margarine, and/or solid vegetable shortening",,,,for cooking
"1 large onion, quartered and thinly sliced",onion,1,large,quartered and thinly sliced,
"1 orange, sliced",orange,1,,sliced,
1 medium-size onion,onion,1,medium-size,,
"½ cup (2 ounces) diced, drained, Dried Tomatoes in Olive Oil",Dried Tomatoes in Olive Oil,0.5 2,cup ounce,"diced, drained",()
1 cup coarsely chopped dried pitted dates (stems removed),dried dates,1,cup,"pitted, coarsely chopped, stem removed",()
"227 g/8 oz/1 cup/2 sticks unsalted butter, softened but not melting (70°F)",unsalted butter,227 8 1 2,g oz cup stick,softened but not melting,/// (70°F)
12 oz (350g) flat rice noodles,flat rice noodles,12 350,oz g,,()
1 pork roast (about 3 lbs/1.5 kg),pork roast,1 3 1.5,lb kg,,(about/)
"10 tbsp butter, at room temperature",butter,10,tbsp,at room temperature,
"1 (28- to 32-ounces) can whole plum tomatoes, drained, reserving juice, and chopped",whole plum tomatoes,1 28-32,can ounce,"drained, reserving juice, and chopped",()
"1 can (14 to 19 oz/398 to 540 ml) chickpeas, drained and rinsed, or 1 cup (250 ml) dried chickpeas, soaked, cooked and drained (see Legumes)",chickpeas,1 14-19 398-540,can oz ml,drained and rinsed,"(/), or 1 cup (250 ml) dried chickpeas, soaked, cooked and drained (see Legumes)"
1 tbsp brandy or rum,brandy or rum,1,tbsp,,
"1 small cooked beet, peeled, if necessary, and diced (optional)",beet,1,small,"cooked, peeled, if necessary, and diced ",(optional)
1 slice lemon,lemon,1,slice,,
"½ red bell pepper, diced",red bell pepper,0.5,,diced,
2 large cucumbers,cucumbers,2,large,,
"4 to 6 bell peppers, a mixture of green and red, cored, seeded, ribs removed, and cut into eighths",bell peppers,4-6,,"cored, seeded, rib removed, and cut into eighths",a mixture of green and red
2 pints brussel sprouts,brussel sprouts,2,pint,,
"4 tablespoons chopped dry-roasted, unsalted peanuts","dry-roasted, unsalted peanuts",4,tablespoon,chopped,
"½ each yellow, red, and green bell pepper, cored, seeded, and chopped","yellow, red, and green bell pepper",0.5,,"cored, seeded, and chopped",each
4 parsley branches,parsley branches,4,,,
"1 parsnip, turnip, or rutabaga, diced (about 1 cup)","parsnip, turnip, or rutabaga",1 1,cup,diced ,(about)
"Water, as needed",Water,,,,as needed
20 seedless red grapes,seedless red grapes,20,,,
1 cup green peas,green peas,1,cup,,
"6 amaretti cookies, crushed",amaretti cookies,6,,crushed,
12-16 ounces dried vermicelli or other rice noodles,dried vermicelli,12-16,ounce,,or other rice noodles
2 tablespoons apple juice,apple juice,2,tablespoon,,
"1 large shallot, minced (about 3 scant tablespoons)",shallot,1,large,minced ,(about 3 scant tablespoon)
"2 honeydew melons, halved and seeded",honeydew melons,2,,halved and seeded,
10-12 sprigs fresh parsley,fresh parsley,10-12,sprig,,
5 teaspoons (2 envelopes) active dry yeast,active dry yeast,5 2,teaspoon envelope,,()
"6 oz (175g) mozzarella cheese, thinly sliced",mozzarella cheese,6 175,oz g,thinly sliced,()
"1 cup split peas or lentils simmered in water to cover until tender, and drained",split peas or lentils,1,cup,simmered in water to cover until tender and drained,
"4 medium oranges, peeled and sliced into 1/8-inch rounds",oranges,4,medium,peeled and sliced into 0.125-inch rounds,
1 teaspoon ajwain,ajwain,1,teaspoon,,
Oil for oiling grill,Oil,,,,for oiling grill
3 tablespoons minced galangal,galangal,3,tablespoon,minced,
2½ cups coarsely chopped cooked turkey,turkey,2.5,cup,"cooked, coarsely chopped ",
"1¼ pounds carrots, sliced ¼-inch thick (about 4 cups)",carrots,1.25 4,pound cup,sliced 0.25-inch thick ,(about)
4 tablespoons tomato paste,tomato paste,4,tablespoon,,
"½ red bell pepper, seeded and cut into ½-inch strips",red bell pepper,0.5,,seeded and cut into 0.5-inch strip,
2 cups broccoli or alfalfa sprouts (4 ounces),broccoli or alfalfa sprouts,2 4,cup ounce,,()
2 cups canola oil,canola oil,2,cup,,
"¾ cup dark brown sugar, firmly packed",dark brown sugar,0.75,cup,,firmly packed
"1 or 2 fresh green Thai, cayenne, or serrano chiles, to taste, stems removed, finely chopped (do not remove the seeds)",fresh green Thai,1-2,,"stem removed, finely chopped (do not remove the seeds)","cayenne, or serrano chiles, to taste"
1 teaspoon cardamom seeds (removed from pods),cardamom seeds,1,teaspoon,removed from pods,()
1 tablespoon dark rum,dark rum,1,tablespoon,,
"¼ cup lemon juice (from about 1 lemon), or ¼ cup lime juice (from about 2 limes)",lemon juice,0.25,cup,,(from about 1 lemon) or 0.25 cup lime juice (from about 2 limes)
"½ cup red rémoulade sauce (see Shrimp Rémoulade with Two Sauces, )",red rémoulade sauce,0.5,cup,,(see Shrimp Rémoulade with 2 Sauces)
"2 cups Great Northern beans, picked over and soaked",Great Northern beans,2,cup,picked over and soaked,
"1 tablespoon lemon juice, preferably fresh",lemon juice,1,tablespoon,,preferably fresh
"1 small potato, boiled, peeled and mashed",potato,1,small,"boiled, peeled and mashed",
About 2 cups shredded radicchio,radicchio,2,cup,shredded,About
"1 large rib celery, cut into ¼-inch dice",celery,1,large rib,cut into 0.25-inch dice,
8 soft corn tortillas or purchased crisp folded taco shells,soft corn tortillas,8,,,or purchased crisp folded taco shells
4 sprigs fresh Italian parsley,fresh Italian parsley,4,sprig,,
A long loaf of bread,A long loaf of bread,,,,
"3 extra large eggs, lightly beaten",eggs,3,extra large ,lightly beaten,
1½ teaspoons whole saffron,whole saffron,1.5,teaspoon,,
"6 ounces thin egg noodles or linguine, broken into thirds",thin egg noodles or linguine,6,ounce,broken into thirds,
2¼ cups plus 3 tablespoons sugar,sugar,2.25,cup,,plus 3 tablespoon 
Coarse salt and freshly ground black pepper,coarse salt and freshly ground black pepper,,,,
"1¼ cups all-purpose flour, plus more for rolling out",all-purpose flour,1.25,cup,,plus more for rolling out
1 tsp cardamom seeds,cardamom seeds,1,tsp,,
2 tablespoons chopped fresh dill leaves,fresh dill leaves,2,tablespoon,chopped ,
"3 plump cloves garlic, peeled, halved, green germs removed, minced",garlic,3,plump clove ,"peeled, halved, green germs removed, minced",
¼ cup plus 2 tablespoons sugar,sugar,0.25,cup,,plus 2 tablespoon 
2 tablespoons minced smoked pork,smoked pork,2,tablespoon,minced ,
1½ teaspoons sherry vinegar,sherry vinegar,1.5,teaspoon,,
1 cup semisweet chocolate chips (we like Guittard or Ghirardelli),semisweet chocolate chips,1,cup,,(we like Guittard or Ghirardelli)
"2 pints ripe strawberries, lightly rinsed, patted dry, and hulled",ripe strawberries,2,pint,"lightly rinsed, patted dry, and hulled",
2 stalks of celery,celery,2,stalk,,of 
1½ pounds ground pork,ground pork,1.5,pound,,
"4 cups chicken stock, or as needed",chicken stock,4,cup,,or as needed
2 cups chocolate oil (below),chocolate oil (below),2,cup,,
1½ to 2 teaspoons balsamic vinegar,balsamic vinegar,1.5-2,teaspoon,,
"½ cup pine nuts, toasted, to serve",pine nuts,0.5,cup,toasted ,to serve
½ cup plain low-fat Greek yogurt,plain low-fat Greek yogurt,0.5,cup,,
"One 14.5-ounce can diced peeled tomatoes, drained",peeled tomatoes,1 14.5,can ounce,"diced, drained",
1 tablespoon minced fresh dill or 1½ teaspoons dried dill,fresh dill,1,tablespoon,minced ,or 1.5 teaspoon dried dill
¼ cup chopped Italian parsley,Italian parsley,0.25,cup,chopped ,
Lemon wedges and cilantro sprigs for garnish,Lemon wedges and cilantro sprigs,,,,for garnish
½ teaspoon red pepper flakes or cayenne,red pepper flakes or cayenne,0.5,teaspoon,,
¼ cup barley miso or brown rice miso,barley miso or brown rice miso,0.25,cup,,
1 heaped teaspoon smoked paprika,smoked paprika,1,heaped teaspoon,,
